@relation vehicle

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Max_length_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
85,64,6,116,van
90,80,11,159,van
89,76,10,156,van
91,80,8,148,van
94,85,10,157,van
95,84,10,145,van
94,85,10,158,van
93,62,7,131,van
93,84,11,156,van
85,51,5,119,van
89,81,43,155,van
93,75,7,140,van
91,66,9,134,van
95,66,8,133,van
91,88,9,149,van
93,70,7,127,van
97,66,8,128,van
86,58,5,117,van
90,63,7,131,van
96,77,8,140,van
88,60,7,128,van
97,91,10,151,van
89,89,11,151,van
96,70,8,137,van
88,76,8,137,van
90,78,11,161,van
88,58,6,127,van
90,77,10,157,van
93,82,9,144,van
83,49,5,122,van
83,62,6,122,van
89,74,9,157,van
94,82,10,159,van
89,85,10,152,van
96,80,9,146,van
89,85,11,158,van
89,51,6,118,van
97,62,7,130,van
84,70,9,136,van
92,58,6,122,van
89,68,8,133,van
84,53,5,123,van
83,53,6,132,van
93,64,7,135,van
86,66,7,122,van
93,79,8,144,van
91,76,8,132,van
90,75,11,160,van
85,80,9,147,van
87,81,9,147,van
91,66,9,126,van
83,59,7,132,van
95,85,9,153,van
100,90,9,157,van
94,91,12,157,van
90,72,8,136,van
89,74,7,136,van
94,87,10,157,van
93,85,12,155,van
90,66,9,137,van
90,81,46,150,van
86,70,9,133,van
98,66,7,130,van
92,66,7,139,van
90,85,9,152,van
86,75,10,161,van
98,88,10,158,van
97,87,9,156,van
89,58,7,122,van
90,69,7,135,van
95,92,11,160,van
90,78,11,160,van
95,82,9,145,van
95,83,10,162,van
96,58,6,133,van
98,78,8,142,van
94,68,7,128,van
86,62,7,122,van
88,55,7,132,van
89,84,11,159,van
88,53,3,118,van
91,64,8,129,van
91,70,25,140,van
86,62,6,116,van
86,78,9,142,van
93,85,10,155,van
87,64,10,133,van
85,66,5,120,van
85,71,8,143,van
94,85,49,155,van
90,78,11,160,van
96,85,10,155,van
93,64,9,134,van
94,66,8,133,van
96,87,10,154,van
88,84,11,154,van
94,87,10,157,van
93,70,9,127,van
86,69,8,138,van
98,68,8,131,van
94,82,10,155,van
89,79,9,144,van
86,60,5,119,van
88,84,12,155,van
95,82,11,159,van
85,57,6,114,van
98,70,8,130,van
97,88,10,157,van
93,83,10,157,van
89,63,6,123,van
88,64,8,130,van
89,68,8,139,van
92,66,7,139,van
92,70,6,139,van
93,64,8,136,van
94,84,10,156,van
85,47,3,117,van
91,60,6,119,van
93,78,8,137,van
90,72,8,137,van
90,81,9,150,van
89,84,9,149,van
87,81,10,146,van
92,62,8,127,van
84,70,7,137,van
90,85,11,159,van
86,76,8,142,van
90,85,11,161,van
89,77,10,156,van
94,66,9,131,van
94,81,9,145,van
91,77,8,139,van
87,52,6,115,van
89,80,11,160,van
89,81,11,156,van
90,62,6,128,van
86,60,7,119,van
91,82,10,143,van
92,82,9,146,van
93,78,8,139,van
88,51,5,119,van
87,64,10,133,van
88,66,6,123,van
89,66,7,131,van
89,78,11,160,van
100,85,11,163,van
98,68,7,134,van
88,85,11,157,van
89,83,48,158,van
90,85,10,163,van
90,86,49,153,van
89,85,10,153,van
95,88,11,159,van
85,68,6,130,van
96,88,9,151,van
87,66,8,140,van
91,84,9,149,van
88,80,8,146,van
89,51,5,120,van
93,63,8,132,van
85,68,5,128,van
86,68,9,138,van
96,88,10,155,van
91,78,9,147,van
89,85,11,155,van
89,70,6,136,van
95,76,10,151,van
92,60,5,114,van
90,73,11,161,van
94,87,11,158,van
89,77,9,144,van
84,80,11,156,van
90,73,11,161,van
94,72,9,133,van
83,73,8,142,van
87,53,4,118,van
85,73,8,143,van
94,68,7,127,van
93,88,9,150,van
95,104,9,191,saab
117,110,12,212,saab
88,58,5,148,saab
90,89,8,175,saab
97,105,12,221,saab
90,66,6,123,saab
109,109,10,207,saab
104,108,11,220,saab
93,76,8,164,saab
108,103,10,220,saab
107,108,12,218,saab
93,87,8,169,saab
115,100,12,196,saab
115,100,11,220,saab
86,78,7,135,saab
89,80,6,144,saab
105,108,12,215,saab
100,104,10,208,saab
91,79,9,163,saab
102,104,10,204,saab
92,76,7,159,saab
89,54,5,134,saab
104,96,10,187,saab
91,72,8,150,saab
103,105,11,210,saab
107,103,11,219,saab
101,101,10,217,saab
113,93,11,216,saab
98,101,9,197,saab
104,100,10,214,saab
85,50,4,115,saab
89,89,8,177,saab
108,103,11,208,saab
90,85,7,163,saab
106,98,10,215,saab
105,108,11,220,saab
99,89,8,186,saab
108,109,11,220,saab
106,107,10,207,saab
88,82,8,154,saab
108,103,10,206,saab
92,71,7,154,saab
92,86,7,158,saab
91,77,7,155,saab
98,96,10,188,saab
100,92,10,180,saab
90,90,10,181,saab
93,98,11,183,saab
111,103,11,211,saab
107,108,12,206,saab
109,103,11,222,saab
90,57,6,121,saab
92,78,8,153,saab
87,74,6,151,saab
91,72,7,149,saab
104,105,10,208,saab
110,104,10,211,saab
105,106,10,208,saab
95,71,9,157,saab
104,101,11,213,saab
109,96,9,198,saab
104,105,11,207,saab
105,105,11,211,saab
87,71,8,137,saab
93,76,7,149,saab
103,106,10,212,saab
88,77,8,140,saab
86,62,7,150,saab
107,103,11,213,saab
83,54,4,129,saab
89,85,8,169,saab
104,106,10,207,saab
91,75,6,144,saab
91,83,8,160,saab
96,78,7,174,saab
90,66,7,140,saab
104,100,10,216,saab
116,110,12,217,saab
82,66,7,132,saab
100,104,9,197,saab
96,101,9,192,saab
100,88,10,171,saab
93,98,9,185,saab
108,105,11,202,saab
102,105,10,201,saab
95,105,10,187,saab
94,77,8,158,saab
93,81,7,160,saab
98,90,9,177,saab
87,66,6,148,saab
91,83,8,142,saab
106,98,10,216,saab
85,72,5,132,saab
108,100,10,196,saab
109,109,12,221,saab
115,100,10,217,saab
98,109,11,199,saab
102,101,12,222,saab
97,88,9,175,saab
93,88,7,173,saab
107,108,11,219,saab
84,75,6,140,saab
86,66,6,136,saab
112,110,11,214,saab
110,104,12,213,saab
107,98,11,218,saab
110,102,11,213,saab
106,101,12,222,saab
92,83,6,160,saab
103,100,10,185,saab
107,98,11,218,saab
91,98,9,177,saab
98,90,9,178,saab
105,100,10,198,saab
89,80,7,161,saab
89,77,8,144,saab
85,75,7,147,saab
90,83,7,176,saab
85,53,6,116,saab
