@relation vehicle

@attribute Compactness numeric
@attribute Circularity numeric
@attribute Elongatedness numeric
@attribute Length_rectangular numeric
@attribute Major_skewness numeric
@attribute Class {van,saab,bus,opel}

@data
98,44,43,149,66,van
88,40,53,139,87,van
87,47,45,152,72,van
90,48,43,167,76,van
91,36,56,130,67,van
89,45,43,158,75,van
82,43,48,145,99,van
93,36,49,136,67,van
85,45,45,148,71,van
85,36,57,124,81,van
93,44,44,156,66,van
96,39,47,150,62,van
90,48,44,156,118,van
93,42,51,144,78,van
85,39,58,135,64,van
86,39,57,134,69,van
91,41,51,142,68,van
98,44,47,148,63,van
85,45,46,148,71,van
92,35,55,132,64,van
98,39,51,142,75,van
91,41,53,144,72,van
87,42,50,141,67,van
96,39,52,139,86,van
91,39,48,139,62,van
89,40,46,139,71,van
89,46,44,158,79,van
94,48,43,161,75,van
90,47,42,153,77,van
90,48,43,159,75,van
86,37,48,134,71,van
84,37,55,125,82,van
89,42,44,144,72,van
98,39,52,144,72,van
89,42,51,144,73,van
95,43,44,149,71,van
97,41,52,143,78,van
97,45,43,157,67,van
98,38,53,139,74,van
94,45,43,157,68,van
89,45,44,160,90,van
89,47,44,163,76,van
96,46,43,148,69,van
93,41,46,143,63,van
87,37,58,126,74,van
90,47,43,155,75,van
89,47,43,163,97,van
95,44,46,148,64,van
88,39,48,137,63,van
93,46,44,147,67,van
94,47,43,155,135,van
94,49,43,160,76,van
90,44,48,144,65,van
94,36,50,135,62,van
98,38,51,138,69,van
91,43,45,157,64,van
89,43,43,151,72,van
94,46,43,155,69,van
94,42,52,143,69,van
96,39,52,141,80,van
85,36,56,128,73,van
90,48,44,164,78,van
86,38,47,131,71,van
94,48,43,153,74,van
87,45,47,148,73,van
90,48,43,160,76,van
96,45,46,148,64,van
88,43,44,150,73,van
96,44,43,150,67,van
92,40,52,139,62,van
93,47,44,158,74,van
92,40,45,140,64,van
93,37,53,137,71,van
90,46,43,161,77,van
83,40,53,140,86,van
93,40,49,138,73,van
89,42,44,145,72,van
97,35,52,129,66,van
89,46,43,159,72,van
94,37,50,135,69,van
86,48,43,163,75,van
93,41,46,150,67,van
91,42,50,142,69,van
88,44,43,155,76,van
93,42,53,145,74,van
83,45,46,144,71,van
91,46,45,152,70,van
89,37,56,127,82,van
92,43,49,144,79,van
93,48,44,165,73,van
96,45,44,149,67,van
95,38,52,140,78,van
89,35,53,128,64,van
94,36,52,132,66,van
93,41,49,141,77,van
93,45,43,155,75,van
86,39,57,135,64,van
93,47,43,157,76,van
88,35,52,129,62,van
94,35,50,127,66,van
97,45,45,148,65,van
92,40,50,140,85,van
89,47,44,151,74,van
88,44,44,158,75,van
90,44,49,145,75,van
93,42,49,142,71,van
89,40,46,141,70,van
90,47,42,160,73,van
89,36,50,134,62,van
90,47,44,155,73,van
90,46,43,156,74,van
89,38,49,133,72,van
84,44,44,157,74,van
91,38,47,139,67,van
94,50,44,170,77,van
88,42,51,142,63,van
95,41,46,145,64,van
86,39,55,134,61,van
89,36,47,130,73,van
89,40,54,140,63,van
96,40,50,141,80,van
86,40,54,139,63,van
88,37,57,128,86,van
87,42,50,142,67,van
86,38,57,129,78,van
95,46,42,155,74,van
89,41,55,137,76,van
86,35,57,121,90,van
93,43,48,145,63,van
100,46,43,150,67,van
95,47,43,157,71,van
84,37,49,140,64,van
90,49,43,167,75,van
85,45,43,156,76,van
94,45,46,147,66,van
86,43,48,143,69,van
95,42,44,144,65,van
95,46,42,157,70,van
94,49,43,162,75,van
86,44,46,147,70,van
85,45,46,147,72,van
90,48,43,167,74,van
91,44,48,146,72,van
94,43,43,149,74,van
90,46,43,158,76,van
89,46,44,160,78,van
86,34,54,127,64,van
94,49,43,158,75,van
93,39,48,140,64,van
90,41,52,141,61,van
88,34,52,130,63,van
91,43,51,146,70,van
89,44,44,151,76,van
88,42,54,144,66,van
86,37,56,132,72,van
100,46,42,163,71,van
84,37,48,134,68,van
86,36,50,130,66,van
88,41,45,144,71,van
89,44,49,146,78,van
89,40,56,137,65,van
95,48,42,159,70,van
90,43,45,149,91,van
92,41,50,143,81,van
91,41,45,143,72,van
89,41,45,145,72,van
85,35,57,125,65,van
83,37,55,129,79,van
93,46,43,160,77,van
85,35,57,122,89,van
89,47,44,160,74,van
96,46,44,148,70,van
90,39,51,139,85,van
85,47,44,165,77,van
91,39,46,137,68,van
83,40,52,137,84,van
94,45,44,156,73,van
91,37,51,135,69,van
89,47,43,163,77,van
102,51,32,162,68,saab
104,50,32,158,73,saab
107,56,31,172,71,saab
91,43,45,140,72,saab
95,45,36,150,64,saab
104,53,32,166,74,saab
104,51,32,162,72,saab
93,47,38,151,66,saab
104,53,31,168,72,saab
90,49,37,154,70,saab
86,40,50,135,70,saab
91,36,42,126,65,saab
83,37,52,127,81,saab
105,51,35,162,64,saab
98,50,37,155,65,saab
97,45,42,149,63,saab
98,39,40,138,62,saab
108,54,32,162,71,saab
107,54,31,170,67,saab
109,54,30,175,71,saab
106,49,32,158,68,saab
89,40,37,133,70,saab
119,54,31,167,66,saab
109,53,31,169,72,saab
91,40,41,133,72,saab
113,48,33,151,64,saab
91,36,47,128,63,saab
86,40,49,133,74,saab
83,37,50,127,85,saab
102,54,32,164,71,saab
96,50,35,158,67,saab
94,40,39,139,61,saab
98,51,35,157,68,saab
