@relation wine

@attribute MalicAcid numeric
@attribute Proline numeric
@attribute Class {1,2,3}

@data
1.77,1195,1
1.72,1285,1
1.9,1375,1
2.16,1510,1
1.83,990,1
1.64,1045,1
1.67,1060,1
1.6,1015,1
1.78,1050,1
1.73,1150,1
1.7,970,1
1.53,1235,1
2.05,830,1
3.84,1035,1
1.81,1310,1
1.76,1450,1
1.73,1120,1
1.5,1285,1
1.59,1680,1
2.02,1060,1
1.8,1095,1
1.68,985,1
1.87,1547,1
1.63,780,1
1.81,845,1
1.35,1045,1
2.36,1185,1
2.59,735,1
1.65,1265,1
1.65,1105,1
1.71,1065,1
1.81,920,1
1.87,1290,1
1.95,1480,1
1.71,795,1
1.73,1260,1
1.77,885,1
1.57,1130,1
3.1,845,1
4.04,1080,1
1.75,1190,1
3.59,1065,1
1.86,1035,1
1.92,1280,1
1.64,880,1
1.66,1515,1
2.15,1295,1
3.99,760,1
1.73,1320,1
3.8,770,1
1.5,1020,1
1.68,1035,1
1.48,1280,1
1.88,428,2
3.43,564,2
2.08,710,2
1.61,870,2
1.81,714,2
0.94,520,2
1.09,886,2
1.61,345,2
0.98,450,2
1.21,678,2
1.34,562,2
1.52,937,2
1.07,660,2
1.17,510,2
1.63,342,2
0.94,750,2
4.3,580,2
1.75,488,2
1.47,495,2
1.1,680,2
1.73,510,2
3.86,515,2
1.19,718,2
1.67,985,2
0.92,278,2
1.39,385,2
2.43,325,2
1.99,345,2
2.16,378,2
1.66,472,2
2.06,680,2
1.25,630,2
1.29,312,2
3.17,406,2
1.13,630,2
1.83,480,2
1.72,415,2
0.9,392,2
1.33,625,2
3.87,463,2
1.61,495,2
1.53,495,2
1.67,562,2
5.8,380,2
1.35,680,2
1.45,355,2
3.74,562,2
1.01,502,2
1.36,450,2
1.73,672,2
2.12,625,2
4.43,365,2
2.4,625,2
1.41,428,2
2.89,500,2
4.31,380,2
2.83,290,2
2.05,465,2
2.13,466,2
0.89,520,2
0.99,750,2
1.53,352,2
3.43,372,2
1.51,450,2
3.37,685,3
5.65,740,3
2.56,780,3
1.9,425,3
3.57,830,3
1.35,630,3
5.04,415,3
3.03,880,3
3.88,855,3
3.03,510,3
1.24,650,3
3.91,750,3
4.95,550,3
4.1,560,3
3.45,675,3
4.12,480,3
4.36,520,3
3.3,675,3
2.67,480,3
4.72,720,3
5.51,515,3
3.27,570,3
2.46,695,3
2.76,615,3
1.68,660,3
3.55,600,3
3.17,520,3
2.58,750,3
2.96,590,3
3.24,650,3
3.26,680,3
5.19,725,3
2.51,660,3
2.81,600,3
3.83,520,3
3.59,580,3
2.31,560,3
1.67,620,3
3.12,500,3
2.99,530,3
4.61,625,3
2.59,840,3
4.28,835,3
