@relation wine

@attribute Alcohol numeric
@attribute Proline numeric
@attribute Class {1,2,3}

@data
14.19,1680,1
13.16,1185,1
13.63,1310,1
13.2,1050,1
14.22,970,1
13.88,1095,1
13.94,1260,1
13.56,1120,1
13.24,680,1
13.05,1105,1
14.2,1450,1
13.75,1320,1
14.83,1045,1
13.41,1035,1
13.07,1020,1
13.9,985,1
13.24,735,1
13.68,990,1
14.39,1290,1
14.06,780,1
13.74,1060,1
14.1,1060,1
13.48,920,1
13.72,1285,1
14.1,1510,1
14.23,1065,1
13.28,880,1
14.22,760,1
13.73,1285,1
13.83,1265,1
14.37,1480,1
13.05,830,1
13.39,1195,1
13.51,1095,1
13.5,845,1
14.38,1547,1
13.3,1285,1
13.58,1515,1
13.77,1375,1
13.71,1035,1
13.82,1190,1
13.87,915,1
13.86,1045,1
13.83,1130,1
13.29,1270,1
12.93,770,1
13.56,795,1
12.85,1015,1
13.64,845,1
14.75,1150,1
14.02,1035,1
14.21,1080,1
13.76,1235,1
12.34,438,2
11.64,680,2
12.52,325,2
11.87,380,2
12.37,520,2
12.17,355,2
12.08,710,2
11.76,607,2
12,564,2
12.47,937,2
12,278,2
12.29,870,2
13.05,515,2
11.96,886,2
13.49,472,2
12.08,480,2
12.67,450,2
12.42,345,2
13.86,410,2
11.03,407,2
12.08,385,2
11.82,495,2
13.11,502,2
13.34,750,2
12.42,315,2
12.07,378,2
12.08,630,2
11.79,466,2
12.25,510,2
12.29,290,2
12.37,420,2
13.03,392,2
11.56,465,2
12.77,372,2
12,450,2
12.22,312,2
12.29,406,2
11.45,625,2
12.37,510,2
12.42,365,2
12.72,714,2
12.29,428,2
11.65,562,2
11.84,500,2
12.37,678,2
11.82,415,2
12.69,495,2
12.04,580,2
12.37,342,2
11.41,434,2
11.81,625,2
12.08,625,2
12.37,660,2
12.16,495,2
13.05,380,2
11.66,428,2
12.43,352,2
12.33,680,2
11.62,345,2
11.84,520,2
12.72,488,2
11.46,562,2
12.64,450,2
12.7,463,2
13.36,780,3
13.45,695,3
12.93,600,3
12.84,590,3
12.87,625,3
12.81,560,3
12.25,855,3
13.84,480,3
12.77,470,3
13.11,425,3
13.52,520,3
14.13,560,3
13.49,580,3
13.88,415,3
12.25,720,3
13.5,500,3
13.4,750,3
13.17,725,3
13.32,650,3
12.51,650,3
12.36,520,3
12.7,600,3
13.27,835,3
13.71,740,3
12.58,640,3
12.82,685,3
12.86,630,3
13.78,615,3
13.69,680,3
13.17,840,3
12.45,880,3
13.16,830,3
13.58,750,3
12.6,695,3
12.79,480,3
14.16,660,3
13.23,675,3
12.88,530,3
13.73,520,3
13.62,550,3
12.53,515,3
12.2,510,3
13.08,550,3
13.4,630,3
