@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R3,6-9'

@attribute Diameter numeric
@attribute Shucked_weight numeric
@attribute Viscera_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.265,0.0995,0.0485,0.07,7
0.38,0.2175,0.095,0.19,11
0.425,0.362,0.196,0.27,14
0.32,0.1335,0.06,0.1,7
0.36,0.2595,0.096,0.16,10
0.36,0.2105,0.1055,0.15,10
0.4,0.246,0.13,0.175,7
0.495,0.416,0.224,0.485,13
0.45,0.481,0.2895,0.315,13
0.475,0.4425,0.221,0.28,15
0.47,0.363,0.194,0.305,10
0.47,0.4975,0.2405,0.345,12
0.375,0.2555,0.102,0.22,11
0.305,0.1145,0.0595,0.085,8
0.455,0.34,0.19,0.2425,11
0.38,0.245,0.1075,0.174,10
0.35,0.224,0.108,0.1565,10
0.485,0.544,0.297,0.345,12
0.395,0.308,0.169,0.255,7
0.4,0.459,0.1965,0.195,10
0.345,0.1655,0.095,0.135,9
0.335,0.171,0.071,0.12,8
0.28,0.122,0.052,0.08,7
0.365,0.1995,0.1625,0.22,10
0.09,0.0025,0.002,0.003,3
0.12,0.0075,0.0045,0.005,5
0.255,0.063,0.039,0.06,8
0.275,0.1225,0.0635,0.0905,8
0.285,0.0915,0.057,0.075,7
0.38,0.325,0.158,0.31,14
0.4,0.242,0.1325,0.205,17
0.505,0.501,0.279,0.355,12
0.435,0.3925,0.2355,0.275,10
0.52,0.4635,0.292,0.4,13
0.375,0.226,0.122,0.195,12
0.425,0.373,0.21,0.235,10
0.42,0.3515,0.152,0.215,12
0.355,0.2125,0.1045,0.15,8
0.495,0.528,0.2465,0.39,14
0.47,0.3605,0.224,0.36,15
0.455,0.344,0.129,0.375,21
0.45,0.38,0.1665,0.295,18
0.275,0.084,0.0435,0.09,7
0.295,0.134,0.0325,0.085,10
0.455,0.365,0.159,0.26,18
0.555,0.581,0.354,0.36,17
0.54,0.51,0.259,0.39,15
0.465,0.3865,0.224,0.265,12
0.405,0.2645,0.1415,0.181,11
0.35,0.1565,0.091,0.1345,9
0.485,0.435,0.209,0.3,19
0.22,0.061,0.0365,0.045,6
0.195,0.0385,0.0195,0.03,6
0.23,0.06,0.034,0.045,4
0.26,0.0935,0.0445,0.07,9
0.37,0.1845,0.1055,0.155,12
0.195,0.0315,0.018,0.027,8
0.5,0.4585,0.298,0.37,12
0.53,0.519,0.2625,0.44,13
0.4,0.2705,0.179,0.17,13
0.49,0.5565,0.247,0.365,11
0.355,0.216,0.133,0.115,13
0.52,0.526,0.2975,0.42,19
0.315,0.1225,0.0635,0.0835,10
0.24,0.0475,0.0355,0.06,9
0.255,0.06,0.0425,0.054,10
0.265,0.077,0.046,0.065,10
0.36,0.198,0.1065,0.165,9
0.265,0.05,0.041,0.063,8
0.235,0.1055,0.054,0.08,7
0.4,0.219,0.1365,0.195,13
0.33,0.12,0.084,0.105,11
0.305,0.1045,0.0615,0.09,12
0.415,0.2635,0.168,0.245,12
0.38,0.25,0.1915,0.265,23
0.375,0.2535,0.145,0.19,10
0.325,0.1535,0.1015,0.144,10
0.11,0.0065,0.0055,0.005,3
0.36,0.161,0.107,0.195,17
0.4,0.2735,0.159,0.255,13
0.4,0.261,0.2015,0.165,15
0.42,0.2785,0.186,0.215,14
0.415,0.275,0.1945,0.265,20
0.52,0.673,0.4805,0.45,17
0.42,0.301,0.181,0.28,14
0.445,0.3825,0.234,0.32,13
0.36,0.1725,0.1375,0.195,15
0.39,0.1975,0.13,0.1845,9
0.34,0.153,0.1155,0.13,10
0.25,0.0765,0.0345,0.049,7
0.25,0.0735,0.04,0.0575,6
0.27,0.075,0.0575,0.062,6
0.275,0.108,0.0445,0.0735,7
0.29,0.127,0.084,0.077,6
0.35,0.245,0.1405,0.1405,8
0.41,0.3355,0.129,0.214,9
0.435,0.4985,0.168,0.2385,9
0.48,0.498,0.228,0.33,10
0.48,0.5225,0.296,0.32,8
0.56,0.861,0.322,0.415,11
0.33,0.17,0.081,0.09,6
0.34,0.164,0.096,0.1,6
0.325,0.217,0.087,0.095,7
0.35,0.1695,0.0945,0.1195,7
0.37,0.261,0.098,0.143,7
0.375,0.3205,0.1065,0.17,6
0.36,0.194,0.099,0.115,8
0.405,0.2715,0.1605,0.186,7
0.45,0.5865,0.2205,0.25,11
0.46,0.4655,0.2095,0.2515,9
0.5,0.573,0.3035,0.315,9
0.5,0.4935,0.291,0.4,10
0.52,0.779,0.342,0.432,11
0.565,1.012,0.5225,0.5475,11
0.18,0.0245,0.0155,0.0225,5
0.265,0.09,0.0475,0.055,5
0.345,0.1675,0.1015,0.117,7
