@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R1,6-9'

@attribute Sex {M,F,I}
@attribute Shucked_weight numeric
@attribute Viscera_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
F,0.4275,0.214,0.27,12
M,0.3935,0.242,0.33,10
F,0.6055,0.2805,0.46,15
I,0.0315,0.0235,0.02,5
I,0.042,0.014,0.025,4
M,0.234,0.1015,0.135,8
F,0.48,0.225,0.425,20
F,0.282,0.1595,0.285,11
F,0.396,0.225,0.32,16
M,0.307,0.1525,0.26,12
M,0.214,0.132,0.145,8
F,0.291,0.1835,0.235,12
F,0.233,0.1585,0.18,11
F,0.3465,0.172,0.31,9
M,0.7665,0.261,0.78,18
I,0.086,0.056,0.068,7
M,0.094,0.0295,0.063,9
M,0.546,0.2615,0.635,16
M,0.4215,0.2475,0.34,13
F,0.53,0.2575,0.28,13
F,0.621,0.367,0.46,12
I,0.092,0.06,0.15,8
M,0.254,0.205,0.285,13
M,0.0755,0.0415,0.06,7
F,0.181,0.125,0.155,11
M,0.485,0.2775,0.34,15
F,0.3,0.1525,0.16,11
M,0.2185,0.0885,0.255,9
F,0.3155,0.1795,0.24,10
M,0.473,0.276,0.425,16
I,0.092,0.074,0.09,8
M,0.4215,0.244,0.355,19
F,0.585,0.453,0.6,19
M,0.207,0.1225,0.145,10
F,0.252,0.137,0.18,10
F,0.3115,0.152,0.2,10
F,0.3685,0.1985,0.24,12
F,0.518,0.358,0.505,14
F,0.405,0.2195,0.255,11
M,0.115,0.061,0.075,11
M,0.567,0.2735,0.41,13
M,0.4955,0.254,0.415,17
M,0.3485,0.1795,0.235,11
M,0.033,0.0215,0.03,5
F,0.099,0.051,0.085,10
I,0.3075,0.205,0.255,14
F,0.148,0.0805,0.1175,8
I,0.1975,0.0875,0.1175,14
F,0.5275,0.2355,0.35,11
I,0.2085,0.1,0.1655,15
I,0.3845,0.185,0.265,21
F,0.1695,0.081,0.14,9
F,0.4305,0.2245,0.42,16
M,0.1815,0.144,0.16,11
F,0.185,0.148,0.19,11
M,0.279,0.2055,0.195,11
I,0.0345,0.0205,0.025,5
M,0.1205,0.0595,0.1105,12
I,0.0095,0.0055,0.0085,4
M,0.3925,0.228,0.293,13
M,0.374,0.1695,0.23,13
F,0.34,0.226,0.265,17
F,0.3485,0.2395,0.278,17
M,0.2015,0.1505,0.19,15
M,0.1915,0.1285,0.1625,9
M,0.2875,0.2095,0.155,10
F,0.2855,0.179,0.235,12
I,0.071,0.0345,0.0535,7
F,0.653,0.1695,0.3205,10
F,0.668,0.2605,0.2715,9
F,0.7595,0.332,0.321,8
M,0.5905,0.212,0.453,15
F,0.784,0.391,0.455,12
F,0.833,0.3775,0.475,11
I,0.05,0.0265,0.043,4
I,0.053,0.0305,0.04,8
I,0.0705,0.044,0.055,7
I,0.0665,0.0455,0.045,5
I,0.1505,0.069,0.0795,7
I,0.157,0.0745,0.1,7
I,0.1635,0.061,0.091,6
I,0.191,0.127,0.137,7
F,0.23,0.106,0.1095,6
M,0.3145,0.1535,0.1565,6
F,0.367,0.2,0.23,8
M,0.5625,0.2565,0.295,10
M,0.4955,0.2745,0.29,9
F,0.5575,0.2255,0.29,7
F,0.585,0.2595,0.33,8
M,0.594,0.3595,0.485,10
F,0.7645,0.3615,0.553,12
F,1.1335,0.44,0.6,11
I,0.054,0.02,0.028,6
I,0.1165,0.0265,0.0635,6
I,0.1255,0.051,0.088,6
I,0.162,0.0865,0.1045,7
M,0.2485,0.117,0.131,6
I,0.2295,0.133,0.157,8
F,0.427,0.1855,0.175,8
F,0.466,0.229,0.265,7
M,0.547,0.1975,0.2295,8
M,0.481,0.232,0.24,8
F,0.5455,0.262,0.25,8
M,0.5315,0.2005,0.2475,8
F,0.6415,0.339,0.4245,9
F,0.624,0.3105,0.39,9
F,0.7945,0.3485,0.3695,9
I,0.0945,0.039,0.07,7
I,0.0865,0.042,0.07,8
I,0.2065,0.086,0.115,8
I,0.1425,0.073,0.113,11
I,0.211,0.11,0.15,8
I,0.214,0.1045,0.1495,8
I,0.2185,0.116,0.16,7
I,0.239,0.1375,0.185,9
I,0.3265,0.1295,0.16,7
I,0.337,0.144,0.205,13
I,0.233,0.1365,0.18,10
M,0.428,0.1415,0.2045,9
I,0.419,0.1205,0.21,9
I,0.3745,0.171,0.223,11
I,0.3135,0.1435,0.28,10
F,0.5565,0.3225,0.2695,10
M,0.352,0.13,0.1685,11
F,0.397,0.2525,0.2655,9
M,0.5315,0.199,0.2885,10
M,0.4455,0.189,0.295,11
M,0.6345,0.257,0.305,12
F,0.484,0.2115,0.355,10
M,0.644,0.372,0.406,15
M,0.4865,0.2995,0.4075,10
M,0.6165,0.3515,0.3725,10
F,0.7465,0.399,0.4975,11
F,1.232,0.519,0.612,14
I,0.1325,0.041,0.0615,6
I,0.188,0.0455,0.0825,6
I,0.1785,0.064,0.0855,8
I,0.2015,0.0905,0.088,6
I,0.229,0.1105,0.116,9
M,0.347,0.136,0.142,8
M,0.2485,0.105,0.1555,6
I,0.2695,0.096,0.17,8
F,0.4755,0.1835,0.1835,9
F,0.417,0.2875,0.38,9
F,0.477,0.236,0.275,8
F,0.6805,0.259,0.3245,10
F,0.5945,0.324,0.395,10
M,0.942,0.397,0.445,11
I,0.05,0.0175,0.0415,6
I,0.09,0.0245,0.055,5
I,0.1525,0.056,0.0835,8
I,0.1385,0.064,0.105,8
I,0.2455,0.147,0.173,8
M,0.282,0.1605,0.225,9
M,0.419,0.255,0.269,10
I,0.3995,0.1485,0.23,12
I,0.364,0.196,0.239,10
I,0.3475,0.1465,0.25,9
I,0.377,0.1925,0.235,8
F,0.575,0.196,0.305,9
F,0.7285,0.264,0.431,11
F,0.4835,0.2515,0.28,10
F,0.6025,0.2915,0.3085,12
M,0.6035,0.261,0.311,9
F,0.582,0.2695,0.313,12
M,0.611,0.309,0.418,12
M,0.5885,0.2215,0.3745,10
M,0.586,0.281,0.365,10
F,0.6045,0.3175,0.3965,10
M,0.419,0.2455,0.2365,9
M,0.5275,0.2535,0.344,11
M,0.672,0.326,0.315,9
I,0.0235,0.013,0.018,4
I,0.114,0.0345,0.11,7
I,0.1675,0.0625,0.1135,11
I,0.156,0.0555,0.105,8
I,0.181,0.0975,0.191,8
I,0.2555,0.156,0.143,10
I,0.305,0.231,0.244,10
M,0.332,0.1585,0.18,7
I,0.3975,0.158,0.255,9
F,0.3485,0.1925,0.22,9
M,0.3665,0.173,0.269,9
F,0.37,0.185,0.3005,10
M,0.4315,0.201,0.223,10
M,0.4605,0.302,0.355,9
F,0.5635,0.3065,0.3395,11
F,0.6195,0.2485,0.497,11
M,0.675,0.347,0.535,13
M,1.0815,0.4305,0.503,11
I,0.036,0.0185,0.03,7
I,0.128,0.063,0.0805,7
I,0.1865,0.0675,0.0985,7
M,0.2575,0.082,0.129,8
F,0.325,0.1855,0.196,9
F,0.2635,0.1565,0.185,9
M,0.4345,0.212,0.2475,9
I,0.1305,0.061,0.0725,8
M,0.25,0.1345,0.1635,8
I,0.2925,0.137,0.209,11
M,0.5575,0.2675,0.372,8
F,0.6835,0.2815,0.28,10
M,0.416,0.2105,0.365,14
F,0.1405,0.0725,0.08,7
M,0.1685,0.0755,0.15,8
F,0.2945,0.1625,0.215,10
M,0.2,0.0885,0.13,9
F,0.405,0.277,0.295,16
I,0.1685,0.0865,0.125,9
F,0.61,0.3315,0.41,12
F,0.414,0.311,0.3,9
I,0.0205,0.014,0.02,6
I,0.037,0.0255,0.045,5
I,0.0905,0.0545,0.07,11
M,0.175,0.096,0.13,7
M,0.4865,0.297,0.61,18
M,0.356,0.174,0.28,13
M,0.166,0.0935,0.135,8
F,0.581,0.2875,0.32,13
F,0.3465,0.189,0.295,13
M,0.6535,0.2835,0.58,15
M,0.3305,0.216,0.195,10
F,0.3125,0.179,0.175,10
F,0.4305,0.23,0.285,10
I,0.2755,0.1235,0.165,8
I,0.1145,0.0635,0.095,10
F,0.5775,0.2815,0.475,17
M,0.425,0.2025,0.36,23
F,0.2765,0.111,0.216,12
M,0.548,0.233,0.42,18
M,0.4825,0.242,0.31,11
M,0.0085,0.0055,0.01,3
F,0.145,0.0725,0.11,12
F,0.096,0.037,0.0735,10
M,0.009,0.005,0.0075,5
I,0.2165,0.1085,0.1785,9
F,0.1255,0.0655,0.095,10
I,0.062,0.039,0.055,9
M,0.186,0.107,0.145,9
F,0.1785,0.114,0.14,11
F,0.0745,0.0415,0.06,7
I,0.027,0.0185,0.0225,5
I,0.077,0.038,0.065,8
M,0.2715,0.1775,0.285,12
M,0.21,0.113,0.1505,8
I,0.198,0.0885,0.107,7
I,0.239,0.142,0.185,7
F,0.41,0.208,0.1505,6
M,0.33,0.1595,0.213,9
F,0.405,0.2215,0.2335,8
F,0.434,0.1995,0.185,8
F,0.4015,0.217,0.255,9
M,0.6055,0.2595,0.285,9
F,0.6095,0.2765,0.344,10
M,0.724,0.279,0.406,11
I,0.0135,0.008,0.0105,4
I,0.075,0.0385,0.06,6
I,0.14,0.0625,0.0825,8
I,0.2215,0.118,0.16,8
I,0.245,0.097,0.21,9
I,0.3045,0.114,0.19,9
I,0.3025,0.152,0.225,10
I,0.339,0.167,0.295,10
M,0.5055,0.2635,0.367,11
M,0.6895,0.2915,0.29,10
M,0.5395,0.282,0.285,10
M,0.6485,0.2705,0.45,12
F,0.6255,0.3375,0.3745,9
F,0.8265,0.417,0.461,9
I,0.1575,0.0795,0.1095,7
M,0.4535,0.2435,0.31,9
F,0.591,0.259,0.3485,9
I,0.0505,0.0265,0.038,6
I,0.07,0.0425,0.065,7
I,0.161,0.087,0.16,9
F,0.165,0.102,0.131,8
I,0.249,0.1065,0.152,8
F,0.559,0.259,0.3165,11
F,0.5725,0.207,0.355,11
M,0.6115,0.408,0.445,12
F,0.6215,0.3725,0.4535,11
M,0.618,0.2625,0.325,11
M,0.4625,0.1845,0.1965,9
M,0.678,0.292,0.266,11
M,1.2395,0.422,0.563,14
I,0.115,0.0645,0.0945,6
I,0.1485,0.0855,0.1455,8
I,0.182,0.099,0.16,9
I,0.237,0.1435,0.165,7
M,0.326,0.2615,0.245,9
F,0.4775,0.3035,0.3155,9
M,0.6955,0.2385,0.42,11
F,0.7765,0.302,0.401,10
M,0.5325,0.3045,0.4485,10
F,0.5415,0.3565,0.5965,14
F,1.0135,0.4655,0.48,11
M,0.3685,0.1245,0.345,11
I,0.0975,0.04,0.0725,7
I,0.088,0.0465,0.075,7
F,0.5105,0.271,0.352,9
F,0.5345,0.2995,0.345,13
F,0.6675,0.3125,0.71,24
F,0.5835,0.3515,0.396,10
F,0.291,0.133,0.195,15
F,0.426,0.2255,0.32,12
I,0.0605,0.033,0.045,5
F,0.2395,0.1255,0.18,9
F,0.1115,0.057,0.08,6
F,0.456,0.3205,0.49,15
M,0.4125,0.3075,0.545,16
M,0.258,0.171,0.255,8
M,0.2405,0.1625,0.265,13
F,0.396,0.2825,0.37,14
I,0.0605,0.042,0.045,5
M,0.169,0.1075,0.145,11
F,0.493,0.318,0.565,18
M,0.275,0.164,0.225,15
F,0.437,0.205,0.33,14
F,0.302,0.1805,0.265,12
F,0.1805,0.1165,0.11,9
F,0.243,0.1335,0.215,17
F,0.302,0.1565,0.25,16
I,0.3265,0.1615,0.165,13
I,0.171,0.118,0.158,8
F,0.4005,0.2345,0.335,19
M,0.124,0.069,0.09,9
I,0.307,0.2075,0.19,10
M,0.035,0.02,0.03,5
I,0.048,0.031,0.04,6
M,0.368,0.222,0.32,10
M,0.412,0.253,0.3,13
I,0.081,0.0465,0.053,6
I,0.131,0.072,0.093,7
M,1.1455,0.575,0.5235,13
F,0.1955,0.118,0.126,7
F,0.4445,0.171,0.225,8
M,0.502,0.2295,0.31,9
F,0.4495,0.2825,0.345,11
F,0.525,0.2415,0.405,10
F,0.8655,0.4095,0.565,10
I,0.1375,0.071,0.075,6
F,0.509,0.239,0.3065,8
I,0.2375,0.122,0.1535,8
M,0.5045,0.2635,0.335,12
F,0.7755,0.3965,0.461,11
I,0.015,0.009,0.0125,3
I,0.097,0.03,0.054,6
I,0.072,0.0355,0.0575,7
I,0.108,0.051,0.0625,7
I,0.229,0.103,0.1645,9
F,0.486,0.25,0.294,9
F,0.4905,0.2475,0.31,10
F,0.583,0.1255,0.4,8
F,0.4955,0.2645,0.32,12
M,0.7395,0.3505,0.405,10
I,0.0425,0.0185,0.035,7
I,0.123,0.081,0.125,8
I,0.1515,0.0935,0.1455,9
M,0.346,0.173,0.215,9
M,0.336,0.156,0.19,7
I,0.3535,0.176,0.236,10
M,0.481,0.2575,0.305,10
F,0.61,0.2675,0.3605,14
M,0.55,0.2695,0.32,10
M,0.5975,0.296,0.4,11
F,0.622,0.309,0.398,10
F,0.873,0.367,0.435,11
F,0.323,0.1325,0.164,7
M,0.3415,0.155,0.146,9
F,0.512,0.322,0.355,9
F,0.819,0.4025,0.4525,13
I,0.2425,0.088,0.1465,8
I,0.3395,0.129,0.1945,10
I,0.2845,0.1845,0.265,9
F,0.346,0.1715,0.2735,10
I,0.2815,0.139,0.21,9
F,0.5105,0.262,0.39,10
F,0.678,0.229,0.456,14
I,0.0595,0.0305,0.05,6
I,0.2435,0.119,0.175,8
I,0.012,0.0085,0.005,4
F,0.1255,0.0575,0.1035,7
M,0.282,0.186,0.275,12
F,0.236,0.183,0.255,11
I,0.056,0.035,0.05,5
F,0.273,0.112,0.295,13
M,0.7035,0.386,0.56,14
F,0.488,0.244,0.345,17
F,0.3455,0.1925,0.275,10
M,0.2055,0.1015,0.1085,15
M,0.0995,0.066,0.09,12
F,0.27,0.1455,0.225,20
I,0.2725,0.19,0.19,14
F,0.2355,0.171,0.27,13
F,0.2115,0.166,0.255,13
I,0.271,0.1125,0.1775,9
F,0.281,0.1255,0.22,12
I,0.123,0.0605,0.08,6
I,0.2035,0.13,0.135,7
I,0.115,0.043,0.055,6
F,0.3525,0.1835,0.2015,9
F,0.503,0.2105,0.2515,11
M,0.4865,0.259,0.285,10
M,0.8215,0.383,0.4705,11
I,0.449,0.166,0.215,10
M,0.4655,0.2195,0.28,11
M,0.46,0.1945,0.34,9
F,0.4675,0.3355,0.31,9
I,0.327,0.1445,0.174,8
I,0.4865,0.184,0.2755,10
M,0.2405,0.127,0.139,8
F,0.7755,0.35,0.4525,9
F,0.547,0.2665,0.2585,10
M,0.404,0.2275,0.255,8
I,0.331,0.14,0.24,10
