@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R1-2,9'

@attribute Sex {M,F,I}
@attribute Length numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
F,0.53,9
F,0.535,10
M,0.5,12
F,0.44,10
M,0.59,12
M,0.665,18
F,0.45,8
F,0.46,7
M,0.505,9
M,0.555,13
M,0.595,9
F,0.57,12
M,0.595,13
M,0.495,9
M,0.425,9
F,0.565,10
I,0.175,5
M,0.705,14
F,0.585,9
F,0.485,14
M,0.45,8
F,0.445,9
F,0.49,9
M,0.565,14
M,0.625,22
I,0.13,3
I,0.27,5
I,0.35,10
I,0.345,7
F,0.575,15
F,0.45,13
F,0.66,12
I,0.2,4
M,0.595,19
I,0.235,5
F,0.46,8
F,0.525,9
F,0.61,8
F,0.65,20
F,0.66,16
M,0.565,15
F,0.61,12
M,0.49,14
I,0.345,6
M,0.585,14
F,0.58,11
M,0.39,9
I,0.335,8
F,0.505,19
M,0.725,16
M,0.53,17
M,0.735,21
M,0.66,16
M,0.57,15
F,0.625,15
I,0.68,10
F,0.345,6
F,0.36,5
I,0.53,20
F,0.375,10
F,0.47,14
M,0.35,10
M,0.28,7
F,0.55,13
I,0.51,13
I,0.425,13
I,0.485,10
F,0.5,12
F,0.5,17
F,0.38,8
M,0.36,9
M,0.31,7
M,0.51,10
M,0.36,10
I,0.15,2
M,0.555,15
M,0.53,14
F,0.51,13
M,0.615,20
M,0.57,13
M,0.585,15
M,0.345,9
F,0.55,11
M,0.49,10
I,0.385,6
F,0.505,9
F,0.57,10
M,0.58,12
F,0.48,8
F,0.55,8
F,0.595,12
F,0.625,11
M,0.655,9
I,0.28,4
I,0.33,6
I,0.44,6
I,0.44,7
I,0.465,7
F,0.485,7
M,0.51,8
I,0.51,7
F,0.56,9
M,0.58,9
M,0.59,11
F,0.59,8
F,0.625,10
M,0.63,8
F,0.64,11
F,0.645,10
