@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R3,5-6,9'

@attribute Diameter numeric
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.265,0.2255,0.0995,7
0.38,0.5415,0.2175,11
0.425,0.8515,0.362,14
0.32,0.303,0.1335,7
0.36,0.5415,0.2595,10
0.36,0.4775,0.2105,10
0.4,0.583,0.246,7
0.495,1.285,0.416,13
0.45,1.098,0.481,13
0.475,1.0075,0.4425,15
0.47,0.922,0.363,10
0.47,1.1735,0.4975,12
0.375,0.6125,0.2555,11
0.305,0.2605,0.1145,8
0.455,0.797,0.34,11
0.38,0.549,0.245,10
0.35,0.515,0.224,10
0.485,1.2445,0.544,12
0.395,0.775,0.308,7
0.4,0.8145,0.459,10
0.345,0.4165,0.1655,9
0.335,0.369,0.171,8
0.28,0.2655,0.122,7
0.365,0.6345,0.1995,10
0.09,0.008,0.0025,3
0.12,0.021,0.0075,5
0.255,0.1655,0.063,8
0.275,0.2925,0.1225,8
0.285,0.2415,0.0915,7
0.38,0.9565,0.325,14
0.4,0.6445,0.242,17
0.505,1.2765,0.501,12
0.435,0.9055,0.3925,10
0.52,1.343,0.4635,13
0.375,0.5565,0.226,12
0.425,0.8445,0.373,10
0.42,0.7385,0.3515,12
0.355,0.479,0.2125,8
0.495,1.2385,0.528,14
0.47,1.0325,0.3605,15
0.455,0.943,0.344,21
0.45,0.9555,0.38,18
0.275,0.217,0.084,7
0.295,0.2715,0.134,10
0.455,0.8205,0.365,18
0.555,1.4385,0.581,17
0.54,1.221,0.51,15
0.465,0.9915,0.3865,12
0.405,0.627,0.2645,11
0.35,0.421,0.1565,9
0.485,1.0105,0.435,19
0.22,0.146,0.061,6
0.195,0.1,0.0385,6
0.23,0.147,0.06,4
0.26,0.218,0.0935,9
0.37,0.4705,0.1845,12
0.195,0.08,0.0315,8
0.5,1.1905,0.4585,12
0.53,1.326,0.519,13
0.4,0.659,0.2705,13
0.49,1.233,0.5565,11
0.355,0.4935,0.216,13
0.52,1.514,0.526,19
0.315,0.286,0.1225,10
0.24,0.155,0.0475,9
0.255,0.169,0.06,10
0.265,0.1835,0.077,10
0.36,0.5225,0.198,9
0.265,0.168,0.05,8
0.235,0.258,0.1055,7
0.4,0.5735,0.219,13
0.33,0.347,0.12,11
0.305,0.281,0.1045,12
0.415,0.74,0.2635,12
0.38,0.8165,0.25,23
0.375,0.636,0.2535,10
0.325,0.417,0.1535,10
0.11,0.018,0.0065,3
0.36,0.5005,0.161,17
0.4,0.77,0.2735,13
0.4,0.6515,0.261,15
0.42,0.7365,0.2785,14
0.415,0.8425,0.275,20
0.52,1.676,0.673,17
0.42,0.8055,0.301,14
0.445,1.1325,0.3825,13
0.36,0.537,0.1725,15
0.39,0.5755,0.1975,9
0.34,0.4195,0.153,10
0.25,0.1735,0.0765,7
0.25,0.183,0.0735,6
0.27,0.2055,0.075,6
0.275,0.24,0.108,7
0.29,0.304,0.127,6
0.35,0.547,0.245,8
0.41,0.7555,0.3355,9
0.435,0.9685,0.4985,9
0.48,1.11,0.498,10
0.48,1.2095,0.5225,8
0.56,1.7775,0.861,11
0.33,0.3595,0.17,6
0.34,0.382,0.164,6
0.325,0.425,0.217,7
0.35,0.4195,0.1695,7
0.37,0.534,0.261,7
0.375,0.6765,0.3205,6
0.36,0.439,0.194,8
0.405,0.6515,0.2715,7
0.45,1.114,0.5865,11
0.46,1.0045,0.4655,9
0.5,1.288,0.573,9
0.5,1.394,0.4935,10
0.52,1.636,0.779,11
0.565,2.198,1.012,11
0.18,0.0685,0.0245,5
0.265,0.2015,0.09,5
0.345,0.409,0.1675,7
0.35,0.4565,0.206,6
