@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R1,4,8-9'

@attribute Sex {M,F,I}
@attribute Height numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.125,0.165,9
F,0.14,0.21,14
M,0.1,0.115,9
M,0.095,0.075,11
F,0.2,0.49,13
M,0.105,0.125,8
I,0.095,0.075,7
M,0.12,0.185,8
F,0.13,0.165,9
F,0.165,0.28,11
F,0.105,0.13,9
I,0.08,0.105,9
F,0.125,0.21,11
I,0.08,0.07,6
F,0.175,0.62,12
F,0.15,0.285,12
M,0.18,0.325,13
M,0.17,0.36,12
M,0.155,0.245,12
F,0.17,0.275,13
F,0.145,0.18,11
I,0.105,0.1,10
I,0.075,0.035,7
M,0.16,0.275,17
M,0.15,0.235,14
F,0.215,0.55,22
M,0.155,0.205,10
M,0.18,0.325,17
I,0.085,0.03,4
I,0.08,0.035,5
M,0.145,0.3,14
M,0.14,0.245,12
M,0.18,0.35,18
I,0.12,0.14,9
M,0.15,0.26,12
F,0.11,0.155,7
M,0.145,0.285,11
F,0.165,0.33,18
M,0.155,0.325,20
F,0.175,0.33,14
F,0.19,0.4,12
F,0.16,0.2765,10
M,0.145,0.305,12
F,0.14,0.315,13
M,0.13,0.29,11
M,0.195,0.37,17
F,0.15,0.305,15
F,0.19,0.42,17
M,0.07,0.0325,5
I,0.15,0.16,10
F,0.115,0.155,11
F,0.1,0.11,11
I,0.125,0.2,11
I,0.17,0.195,10
M,0.15,0.24,12
F,0.14,0.225,9
F,0.195,0.335,16
I,0.14,0.2235,12
F,0.16,0.225,12
M,0.065,0.025,5
F,0.15,0.18,15
M,0.15,0.17,21
M,0.14,0.175,10
F,0.125,0.345,16
F,0.12,0.14,13
M,0.09,0.0795,11
I,0.09,0.032,7
M,0.12,0.14,10
M,0.185,0.35,13
M,0.12,0.31,15
M,0.145,0.2,15
M,0.165,0.3,13
M,0.15,0.215,12
M,0.145,0.234,15
M,0.155,0.214,11
M,0.135,0.185,10
I,0.06,0.023,5
I,0.07,0.054,6
I,0.1,0.106,6
I,0.11,0.109,7
M,0.125,0.1775,8
M,0.15,0.2875,10
M,0.13,0.194,10
M,0.16,0.325,9
M,0.165,0.41,12
M,0.165,0.315,9
I,0.065,0.017,3
I,0.075,0.05,6
I,0.09,0.09,7
I,0.115,0.1145,6
I,0.11,0.1135,7
I,0.105,0.119,7
M,0.125,0.15,9
F,0.15,0.202,8
F,0.135,0.205,8
F,0.14,0.275,9
F,0.13,0.18,8
M,0.14,0.24,8
M,0.15,0.2835,10
M,0.15,0.27,9
M,0.155,0.335,10
M,0.175,0.349,11
M,0.185,0.477,10
F,0.225,0.435,10
F,0.185,0.405,11
I,0.055,0.015,4
I,0.065,0.03,5
I,0.08,0.039,6
I,0.08,0.065,7
I,0.145,0.13,7
I,0.1,0.115,7
M,0.145,0.22,9
M,0.17,0.27,10
M,0.165,0.358,10
M,0.16,0.345,11
I,0.17,0.3595,9
F,0.19,0.3995,9
F,0.2,0.5215,10
M,0.145,0.2685,8
I,0.065,0.0225,5
I,0.07,0.04,5
I,0.07,0.0385,5
I,0.095,0.1045,8
I,0.1,0.11,8
I,0.135,0.175,9
I,0.135,0.227,8
M,0.15,0.219,8
F,0.15,0.253,8
I,0.13,0.26,11
F,0.155,0.2895,10
I,0.145,0.28,10
F,0.165,0.39,9
M,0.185,0.469,13
F,0.19,0.52,11
F,0.115,0.1335,7
M,0.105,0.1555,9
M,0.125,0.149,8
F,0.145,0.275,8
F,0.17,0.3315,9
I,0.13,0.251,8
M,0.165,0.388,10
I,0.09,0.0415,6
I,0.09,0.058,7
I,0.11,0.09,8
I,0.11,0.1205,7
I,0.125,0.125,8
I,0.105,0.19,8
I,0.13,0.225,10
I,0.13,0.18,9
I,0.125,0.22,8
I,0.15,0.217,9
I,0.14,0.206,8
I,0.145,0.2765,11
F,0.195,0.47,8
F,0.15,0.23,8
F,0.14,0.253,10
F,0.16,0.379,10
F,0.175,0.3705,10
F,0.18,0.3995,8
I,0.165,0.3615,13
F,0.19,0.36,10
F,0.16,0.32,11
F,0.195,0.48,12
M,0.205,0.511,13
M,0.115,0.12,7
M,0.15,0.296,9
M,0.155,0.273,9
M,0.17,0.276,10
M,0.125,0.159,7
F,0.135,0.1795,8
I,0.13,0.213,10
F,0.17,0.4155,10
M,0.165,0.251,9
M,0.195,0.3475,11
I,0.075,0.036,7
I,0.085,0.065,6
I,0.085,0.075,7
I,0.09,0.085,6
F,0.12,0.195,10
I,0.15,0.235,10
I,0.14,0.168,9
I,0.145,0.21,8
I,0.14,0.238,10
M,0.155,0.235,9
M,0.135,0.239,10
I,0.145,0.242,10
F,0.155,0.265,8
F,0.16,0.304,11
F,0.165,0.412,11
M,0.175,0.375,12
I,0.04,0.008,4
I,0.06,0.03,6
I,0.07,0.03,5
I,0.07,0.04,7
I,0.105,0.145,10
I,0.135,0.2035,9
M,0.16,0.2625,9
M,0.165,0.275,10
M,0.195,0.386,9
I,0.115,0.087,6
F,0.14,0.1785,8
F,0.13,0.2035,8
M,0.2,0.49,11
M,0.145,0.22,11
M,0.155,0.215,19
F,0.125,0.165,11
M,0.185,0.285,10
F,0.18,0.6,15
I,0.11,0.145,9
F,0.12,0.13,11
M,0.1,0.18,12
F,0.125,0.335,9
I,0.075,0.05,7
M,0.105,0.155,10
F,0.19,0.5855,18
M,0.165,0.49,12
I,0.085,0.085,6
M,0.185,0.35,12
F,0.235,0.395,14
I,0.11,0.12,13
I,0.08,0.03,6
F,0.2,0.585,21
M,0.16,0.295,19
F,0.235,0.52,13
F,0.195,0.53,13
M,0.095,0.075,7
F,0.115,0.16,8
I,0.1,0.085,11
M,0.175,0.32,10
M,0.185,0.445,20
I,0.1,0.1,9
F,0.105,0.1,7
F,0.09,0.095,9
F,0.145,0.285,10
I,0.1,0.125,7
F,0.135,0.26,23
I,0.09,0.045,7
F,0.175,0.265,11
I,0.17,0.32,14
I,0.155,0.19,14
I,0.165,0.14,16
F,0.185,0.32,10
M,0.085,0.06,13
I,0.14,0.185,11
M,0.14,0.14,9
F,0.105,0.0835,9
F,0.17,0.358,20
F,0.175,0.32,14
M,0.135,0.235,14
F,0.185,0.3065,11
M,0.13,0.105,9
I,0.105,0.083,6
M,0.13,0.211,8
M,0.19,0.199,9
M,0.16,0.292,9
M,0.2,0.54,15
F,0.19,0.43,10
F,0.165,0.435,10
I,0.065,0.013,4
I,0.05,0.02,5
I,0.055,0.031,5
I,0.12,0.1325,8
I,0.115,0.111,6
M,0.105,0.1225,9
I,0.11,0.1325,7
M,0.12,0.172,9
F,0.14,0.2295,8
F,0.165,0.355,10
M,0.155,0.292,8
M,0.16,0.3165,9
F,0.185,0.341,9
I,0.095,0.0715,6
I,0.115,0.113,7
I,0.13,0.157,8
F,0.14,0.2245,8
M,0.14,0.227,9
M,0.175,0.2725,10
F,0.155,0.3055,9
I,0.03,0.0105,3
I,0.095,0.1185,7
I,0.115,0.1315,8
I,0.13,0.195,8
F,0.15,0.275,8
M,0.185,0.315,9
M,0.165,0.3465,10
I,0.075,0.043,6
I,0.145,0.1895,7
F,0.16,0.299,9
I,0.09,0.0855,7
I,0.145,0.177,9
I,0.125,0.185,8
M,0.15,0.287,11
F,0.15,0.277,9
F,0.165,0.3885,10
M,0.18,0.315,9
M,0.175,0.4395,11
M,0.195,0.47,15
F,0.19,0.44,12
M,0.175,0.365,10
M,0.19,0.41,10
M,0.19,0.5305,13
F,0.13,0.1515,8
I,0.135,0.2055,8
F,0.205,0.726,12
I,0.065,0.02,4
I,0.09,0.075,6
I,0.105,0.1135,7
I,0.135,0.209,8
I,0.145,0.289,8
F,0.16,0.3225,9
F,0.185,0.406,11
M,0.165,0.4055,10
I,0.095,0.093,7
M,0.15,0.2505,9
I,0.08,0.01,5
F,0.125,0.245,9
M,0.16,0.28,13
M,0.12,0.145,9
F,0.13,0.165,12
M,0.23,0.665,16
F,0.17,0.325,14
F,0.16,0.315,14
F,0.19,0.365,14
M,0.2,0.47,16
M,0.15,0.275,11
M,0.19,0.42,15
F,0.125,0.145,9
I,0.105,0.11,6
F,0.145,0.31,12
M,0.155,0.255,17
M,0.125,0.17,12
M,0.155,0.26,11
M,0.13,0.193,9
F,0.19,0.49,11
F,0.165,0.355,13
M,0.09,0.0485,10
I,0.135,0.28,12
I,0.2,0.425,16
F,0.125,0.08,10
F,0.18,0.2,11
I,0.145,0.212,13
F,0.145,0.23,12
I,0.13,0.18,11
I,0.165,0.335,13
M,0.155,0.29,19
F,0.125,0.155,10
F,0.115,0.13,8
M,0.135,0.25,10
I,0.075,0.05,7
I,0.115,0.184,8
I,0.105,0.09,6
I,0.11,0.151,8
F,0.125,0.1915,7
M,0.19,0.365,8
F,0.195,0.353,9
I,0.115,0.087,6
I,0.09,0.08,6
I,0.09,0.11,8
F,0.12,0.1375,7
F,0.16,0.271,9
F,0.145,0.239,9
F,0.175,0.374,9
I,0.11,0.1025,7
F,0.17,0.27,10
I,0.125,0.151,8
I,0.125,0.168,10
F,0.125,0.205,10
I,0.17,0.31,11
F,0.195,0.375,9
M,0.21,0.6745,11
I,0.145,0.2455,8
M,0.18,0.3375,10
I,0.1,0.091,6
I,0.095,0.123,7
I,0.14,0.21,9
F,0.145,0.245,9
M,0.155,0.3175,11
M,0.155,0.345,9
F,0.175,0.45,13
M,0.175,0.512,12
F,0.175,0.465,10
M,0.175,0.374,11
F,0.145,0.32,9
F,0.18,0.445,18
F,0.16,0.205,9
M,0.165,0.25,15
F,0.11,0.13,12
F,0.125,0.12,10
I,0.165,0.275,11
I,0.14,0.253,10
F,0.215,0.425,16
I,0.06,0.018,6
F,0.115,0.18,11
F,0.155,0.263,10
I,0.07,0.035,6
I,0.095,0.066,6
F,0.115,0.18,7
M,0.155,0.33,10
I,0.135,0.1325,7
M,0.16,0.265,8
F,0.175,0.4295,11
M,0.155,0.269,11
F,0.185,0.499,11
F,0.16,0.35,11
I,0.11,0.149,8
I,0.125,0.206,9
M,0.13,0.298,9
M,0.18,0.381,9
F,0.15,0.386,11
F,0.18,0.5385,9
I,0.1,0.126,7
I,0.11,0.15,8
