@relation australian

@attribute A2 numeric
@attribute A8 {0,1}
@attribute A12 {1,2,3}
@attribute A13 numeric
@attribute Class {0,1}

@data
6917,0,2,70,0
2925,0,2,228,0
2083,0,2,260,0
2008,0,2,0,0
2358,0,2,136,0
3183,0,2,0,0
2717,0,2,92,0
3892,0,2,0,0
3358,0,1,420,0
1708,0,2,140,0
4275,1,2,0,0
1942,1,2,100,0
3517,0,2,0,0
2358,0,2,200,0
4325,1,2,760,0
3608,0,2,0,0
2292,0,2,120,0
3733,0,2,0,0
2292,0,2,160,0
2225,0,2,280,0
235,0,2,160,0
2742,0,2,720,0
3467,0,1,28,0
16,0,2,320,0
1708,0,2,140,0
2858,0,2,40,0
2308,0,1,0,0
4533,0,2,263,0
4033,0,2,184,0
3157,0,2,0,0
2167,1,2,180,0
1858,0,2,80,0
3225,0,2,160,0
3308,0,2,0,0
3158,0,2,320,0
2783,0,2,100,0
5242,0,2,0,0
20,0,2,144,0
4275,0,2,108,0
3392,1,2,320,0
2983,0,2,216,0
3942,0,1,400,0
2675,0,2,80,0
2475,0,2,280,0
2858,0,2,100,0
235,0,2,160,0
2783,1,2,75,0
3717,1,1,280,0
3875,0,2,76,0
2192,0,2,320,0
1742,0,2,60,0
225,1,2,80,0
2483,0,2,360,0
2633,0,2,140,0
3858,1,2,980,0
4875,1,2,0,0
3733,0,2,260,0
2117,0,2,280,0
1958,0,2,350,0
1883,0,2,200,0
2217,0,2,160,0
3483,0,1,200,0
195,0,2,80,0
2725,0,2,272,0
4158,1,2,160,0
5183,0,2,180,0
245,0,2,120,0
3025,0,1,100,0
3157,0,2,411,0
1517,0,2,600,0
2183,0,2,356,0
3175,0,2,160,0
5075,0,2,145,0
3908,0,2,480,0
3142,1,2,120,0
245,0,2,120,0
34,0,2,60,0
3358,0,2,180,0
23,0,2,200,0
3033,0,1,252,0
2267,0,2,400,0
1633,0,2,200,0
1733,0,2,0,0
395,0,2,0,0
3775,1,2,300,0
3408,0,2,460,0
3658,0,2,200,0
525,0,2,0,0
3157,1,1,320,0
2008,0,2,200,0
2542,1,2,200,0
2958,0,2,460,0
3425,1,2,163,0
3375,1,2,212,0
3575,0,2,220,0
2342,1,2,180,0
4808,0,2,100,0
2108,0,2,140,0
2458,1,2,260,0
4917,0,2,200,0
5683,0,2,0,0
3675,0,2,160,0
3157,0,2,184,0
1608,0,2,160,0
32,0,2,272,0
1817,0,2,320,0
2267,0,2,144,0
4092,1,2,130,0
2267,0,1,160,0
2275,0,2,220,0
35,0,2,0,0
2408,0,2,254,0
625,1,2,112,0
4092,1,2,176,0
3067,0,1,340,0
295,0,2,280,0
49,1,2,100,0
2067,0,1,240,0
4425,1,1,400,0
3058,0,1,80,0
5758,0,2,0,0
2375,0,2,128,0
2767,0,2,180,0
3233,0,2,232,0
3242,0,2,120,0
3558,0,2,231,0
5333,0,1,62,0
2442,0,2,320,0
4225,0,2,150,0
5858,0,2,320,0
245,1,2,180,0
2817,0,2,260,0
2558,0,2,340,0
2675,0,2,200,0
2975,0,2,300,0
2217,0,2,180,0
3157,1,2,0,0
4158,0,2,240,0
2108,0,2,260,0
3075,0,1,0,0
