@relation 'australian-weka.filters.unsupervised.attribute.Remove-V-R2,7-8,10,13,15'

@attribute A2 numeric
@attribute A7 numeric
@attribute A8 {0,1}
@attribute A10 numeric
@attribute A13 numeric
@attribute Class {0,1}

@data
1742,125,0,0,60,0
225,125,0,0,200,0
3317,204,1,1,180,1
4742,13875,1,2,519,1
2075,71,1,2,49,1
245,165,0,0,132,0
4317,225,0,0,141,0
245,15,1,0,280,1
195,4,0,0,380,0
215,5,1,0,100,0
2308,1,0,11,0,0
47,5165,1,9,0,1
3417,85,0,0,290,1
2225,85,0,0,0,0
3575,75,1,4,0,1
2275,25,1,7,100,1
2892,29,0,0,220,0
2083,1,0,0,260,0
4608,2375,1,8,396,1
1883,0,0,0,180,0
2567,121,1,67,140,1
2975,25,0,0,300,0
2942,25,0,2,400,0
3617,5,0,0,210,0
195,29,0,0,280,0
45,14,1,1,88,1
5642,285,1,40,0,1
6408,0,1,1,232,1
2242,75,1,4,0,1
1633,665,0,1,80,0
2175,25,0,0,180,0
34,1085,0,0,480,0
4825,175,1,3,120,1
3417,25,0,0,232,0
4425,1075,1,0,400,0
3892,5,0,0,300,0
1583,125,0,1,0,0
2267,2,0,2,200,0
3617,29,0,0,309,0
2267,225,0,0,0,1
2742,25,0,0,720,0
3408,125,1,0,443,0
5025,5,0,0,240,0
3175,0,0,0,160,0
205,6,1,0,340,1
2408,125,1,1,0,1
3142,5,1,0,120,0
2283,129,1,1,260,1
375,25,1,0,164,0
3633,1165,1,0,200,0
1967,2,1,2,80,1
2325,2375,1,3,0,1
25,45,1,0,120,0
1758,165,0,1,120,0
1825,1,0,1,120,0
3542,14,1,8,0,1
3192,604,1,3,311,1
595,175,1,5,60,1
4417,7375,1,3,0,1
2117,25,0,0,280,0
3417,45,1,12,0,1
3733,425,1,12,93,1
3667,9,1,0,102,1
32,4,1,0,393,1
235,45,0,0,160,0
41,125,1,23,455,1
1867,375,1,2,0,0
3157,875,1,0,928,0
2567,15,0,0,160,0
