@relation australian

@attribute A4 {1,2,3}
@attribute A8 {0,1}
@attribute A10 numeric
@attribute A11 {0,1}
@attribute A14 numeric
@attribute Class {0,1}

@data
2,0,0,1,4501,0
2,0,0,1,1,0
2,0,0,1,1,0
1,1,0,0,1,0
1,0,0,1,17,0
2,0,0,0,2011,0
2,0,0,1,1,0
1,0,0,0,1,0
2,0,0,1,1063,0
2,1,0,0,341,0
2,1,2,0,1,0
2,0,1,0,11,0
2,0,0,0,485,0
2,0,0,0,3,0
1,0,0,0,1,0
2,0,0,0,1,0
2,0,0,0,351,0
2,0,0,1,1,0
2,0,0,0,1,0
1,1,0,0,1,0
1,1,0,1,226,0
2,0,0,1,3,0
2,1,0,1,69,0
2,0,0,0,287,0
2,0,0,1,351,0
1,0,0,1,1,0
2,0,0,1,1,0
2,0,0,0,6,0
2,1,0,0,1,0
2,0,0,1,1,0
1,0,0,0,1,0
2,0,0,0,1,0
2,0,0,0,121,0
2,1,0,1,1,0
2,0,6,1,36,0
2,0,0,0,1,0
1,1,0,1,1,0
2,0,0,0,3553,0
1,0,0,0,1,0
2,0,5,0,147,0
2,0,0,0,1,0
1,0,0,1,1,0
1,0,0,1,1,0
1,0,0,0,1,0
2,0,0,1,56,0
2,0,0,1,1,0
1,0,0,0,18,0
2,1,0,1,1,0
1,0,0,0,1,0
1,0,0,1,3,0
2,0,0,0,1,0
1,0,0,0,1,0
1,1,1,0,21,0
2,0,0,0,1,0
1,0,4,0,2,0
2,0,0,0,1,0
2,1,0,0,1,0
2,1,5,1,6,0
2,0,1,1,4,0
2,0,0,0,6,0
2,0,0,0,151,0
2,0,0,0,1,0
2,1,0,1,1,0
2,0,4,0,1951,0
2,1,3,1,51,0
2,0,0,0,1,0
2,0,0,1,1,0
1,0,0,0,1,0
2,0,0,1,1,0
2,0,0,0,4,0
1,1,0,0,376,0
2,0,0,1,1,0
2,0,0,0,1,0
2,1,0,0,1,0
1,0,0,0,2,0
2,1,2,1,501,0
1,0,0,0,1,0
2,0,0,0,1,0
1,0,0,1,1,0
1,0,0,1,7,0
1,0,0,0,723,0
2,1,1,0,1,0
1,0,0,1,142,0
2,0,0,0,1,0
1,1,6,1,348,0
1,0,0,0,1,0
2,0,0,0,1,0
2,0,0,0,1,0
1,0,0,1,2,0
2,0,1,0,7,0
2,0,0,1,1,0
1,0,0,1,476,0
1,0,0,1,3,0
2,1,0,1,1,0
2,1,0,1,1,0
2,1,0,1,1,0
2,0,0,1,1,0
2,0,0,1,1,0
1,0,0,0,2,0
2,0,0,1,1,0
2,1,10,0,991,0
2,0,0,0,11,0
2,0,0,0,1,0
2,0,0,0,1,0
1,0,0,0,88,0
2,0,0,1,229,0
2,0,0,0,1,0
2,1,0,1,1,0
2,0,2,1,8,0
1,0,0,1,1,0
1,0,0,1,1001,0
2,0,0,0,1,0
2,1,0,0,1,0
2,1,0,1,1,0
1,0,1,1,81,0
2,0,0,0,238,0
2,0,0,0,1,0
1,0,0,0,1,0
1,0,0,0,1,0
1,0,0,1,1,0
2,0,0,1,1,0
1,1,3,0,148,0
2,0,0,0,5201,0
1,0,1,1,2,0
1,1,0,0,1,0
2,0,0,0,2,0
2,0,2,1,5,0
2,0,0,0,1,0
2,0,1,1,22,0
1,1,10,1,29,0
2,0,0,0,1,0
2,0,0,0,391,0
1,0,0,1,4001,0
2,0,0,0,1,0
2,0,1,1,11,0
2,0,0,1,1,0
2,1,0,0,1,0
1,0,0,1,1,0
1,0,0,0,5,0
1,0,0,1,61,0
