@relation australian

@attribute A2 numeric
@attribute A3 numeric
@attribute A6 numeric
@attribute A8 {0,1}
@attribute A13 numeric
@attribute Class {0,1}

@data
3242,2165,1,0,120,0
3733,2665,4,0,0,0
3157,1125,1,0,184,0
2325,12625,4,0,0,0
295,1085,4,0,280,0
2442,2,2,0,320,0
2067,835,4,0,240,0
5333,165,1,0,62,0
23,75,4,1,320,0
2525,1,4,0,200,0
2142,75,7,0,132,0
2567,221,4,1,188,0
3617,18125,4,0,320,0
2067,125,8,1,140,0
3008,104,5,1,132,0
25,12,4,1,120,0
2692,225,5,0,640,0
2683,54,1,0,100,0
2267,7,4,0,160,0
2292,3165,4,0,160,0
3142,155,4,1,120,0
3317,225,4,0,200,0
4117,125,4,0,0,0
2225,125,1,0,280,0
3458,0,4,0,184,0
3467,108,4,0,28,0
2067,529,4,1,160,0
3017,1085,4,0,170,0
3475,25,5,0,348,0
2217,225,4,0,160,0
2358,179,4,0,136,0
2517,3,4,0,0,0
235,15,4,0,160,0
45,4585,8,0,240,0
2617,125,8,0,0,0
1625,835,4,1,200,0
245,2415,4,0,120,0
3775,7,8,1,300,0
2167,1165,4,1,180,0
245,104,1,1,180,0
2192,11665,8,0,320,0
2267,75,4,0,200,0
6917,9,1,0,70,0
2617,2,3,0,276,0
1917,585,4,1,160,0
3558,75,4,0,231,0
195,9585,4,0,80,0
1575,375,4,0,120,0
4533,1,4,0,263,0
3125,1125,1,0,96,0
2567,325,8,0,416,0
1917,5415,8,0,80,0
215,115,4,1,100,0
3157,15,1,0,200,0
2375,71,4,0,240,0
245,13335,4,0,120,0
3958,5,1,0,17,0
2875,15,4,1,0,0
2408,9,4,0,0,0
2358,115,8,0,20,0
3183,25,4,1,523,0
3275,2335,8,0,292,0
2308,0,4,0,0,0
1583,7625,4,0,0,0
4275,4085,4,0,108,0
3517,375,1,0,0,0
3483,125,8,0,160,0
1608,335,1,0,160,0
295,2,8,0,256,0
1883,415,4,0,200,0
5233,1375,8,1,200,0
2375,415,4,0,128,0
3483,4,5,1,184,0
2617,835,4,0,100,0
4325,2521,8,1,760,0
525,7,8,0,0,0
1692,5,4,0,240,0
2767,75,8,0,220,0
2042,105,8,0,154,0
2858,354,5,1,171,0
3158,75,4,0,320,0
2758,3,4,0,280,0
4717,5835,4,0,465,0
3675,471,1,0,160,0
3917,25,8,0,200,0
225,125,4,0,200,0
3667,2,4,0,221,0
3367,125,4,0,120,0
3367,2165,4,0,120,0
3157,375,4,1,928,0
4058,329,4,0,400,0
22,7835,5,0,184,0
2958,475,4,0,460,0
1792,205,4,0,280,0
5075,585,1,0,145,0
3157,3,5,0,0,0
2083,5,2,0,260,0
5708,335,5,1,252,0
4083,35,5,0,1160,0
395,1625,4,0,0,0
2767,15,4,1,368,0
2275,115,4,0,0,0
215,975,4,1,140,0
20,7,4,0,0,0
3125,2835,1,0,176,0
2042,0,4,0,184,0
2667,14585,5,0,178,0
4092,5,4,0,130,0
23,1835,3,0,200,0
1592,2875,4,0,120,0
2358,585,1,0,120,0
1517,7,4,0,600,0
3108,15,4,0,160,0
3417,275,5,0,232,0
2067,415,4,0,0,0
695,6,1,0,0,0
245,175,4,0,132,0
2942,125,4,0,200,0
3157,4,4,0,411,0
265,271,4,0,80,0
20,125,4,0,140,0
3633,379,4,1,200,0
195,165,4,0,380,0
2225,46,4,0,280,0
2175,1175,4,0,180,0
3208,4,4,0,120,0
2183,154,4,0,356,0
3175,3,3,0,160,0
2217,12125,4,0,180,0
2783,4,8,1,75,0
3642,75,4,0,240,0
2267,335,4,0,160,0
16,165,4,0,320,0
3842,705,4,0,225,0
1692,335,4,0,200,0
2875,1165,4,1,280,0
4517,15,4,1,140,0
