@relation automobile

@attribute Drive-wheels {4wd,fwd,rwd}
@attribute Width numeric
@attribute Engine-type {dohc,dohcv,l,ohc,ohcf,ohcv,rotor}
@attribute Num-of-cylinders {eight,five,four,six,three,twelve,two}
@attribute Bore numeric
@attribute Price numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
rwd,67.2,ohc,four,3.78,12940,-2
rwd,67.2,ohc,four,3.62,18420,-2
rwd,67.2,ohc,four,3.78,15985,-2
fwd,66.5,ohc,four,3.31,9988,-1
rwd,70.3,ohc,five,3.58,25552,-1
rwd,68.9,ohc,four,3.78,16845,-1
fwd,65.4,ohc,four,3.17,9279,-1
rwd,68.9,ohc,six,3.01,22470,-1
fwd,66.5,ohc,four,3.27,10698,-1
fwd,66.5,ohc,four,3.31,8948,-1
rwd,68.9,ohcv,six,3.58,21485,-1
fwd,66.5,ohc,four,3.31,10898,-1
rwd,67.2,ohc,four,3.78,16515,-1
rwd,70.3,ohc,five,3.58,28248,-1
fwd,64.6,ohc,four,3.34,8921,-1
fwd,66.5,ohc,four,3.31,11248,-1
rwd,68.8,ohc,four,3.78,19045,-1
rwd,67.2,ohc,four,3.78,13415,-1
rwd,68.9,ohc,four,3.78,22625,-1
fwd,64.6,ohc,four,3.35,8921,-1
rwd,67.2,ohc,four,3.62,18950,-1
fwd,65.2,ohc,four,3.33,8949,0
fwd,66.5,ohc,four,3.39,11245,0
fwd,66.5,ohcv,six,3.43,13499,0
fwd,66.5,ohc,four,3.39,8495,0
fwd,64.4,ohc,four,3.27,7898,0
fwd,63.6,ohc,four,3.03,6575,0
4wd,65.4,ohcf,four,3.62,11694,0
fwd,66.5,ohc,four,3.39,10245,0
4wd,63.6,ohc,four,3.05,7898,0
fwd,65.2,ohc,four,3.15,9095,0
fwd,65.2,ohc,four,3.15,7895,0
fwd,65.4,ohcf,four,3.62,9960,0
rwd,68.4,l,four,3.46,15580,0
rwd,68.4,l,four,3.7,17950,0
fwd,65.2,ohc,four,3.33,9549,0
4wd,65.4,ohcf,four,3.62,11259,0
fwd,63.9,ohc,four,2.92,7295,0
rwd,68.4,l,four,3.7,16900,0
fwd,64.4,ohc,four,3.19,6938,0
rwd,68.4,l,four,3.7,13200,0
4wd,65.4,ohcf,four,3.62,8013,0
fwd,66.5,ohcv,six,3.43,13499,0
fwd,65.4,ohcf,four,3.62,7775,0
fwd,65.4,ohcf,four,3.62,7463,0
fwd,64.4,ohc,four,3.19,7738,0
fwd,64,ohc,four,2.91,7295,0
rwd,64.8,ohc,six,3.31,20970,0
fwd,66.5,ohcv,six,3.43,14399,0
fwd,63.6,ohc,four,3.05,6918,0
fwd,64.4,ohc,four,3.19,9258,0
rwd,70.3,ohc,five,3.58,28176,0
4wd,63.6,ohc,four,3.05,8778,0
fwd,65.2,ohc,four,3.15,12945,0
fwd,65.4,ohcf,four,3.62,7126,0
fwd,62.5,ohc,four,3.15,10295,0
rwd,68.3,l,four,3.61,18150,0
rwd,68.4,l,four,3.46,11900,0
fwd,64.4,ohc,four,3.19,8358,0
fwd,64.4,ohc,four,3.19,7198,0
