@relation banana-weka.filters.unsupervised.attribute.Remove-V-R2-3

@attribute At2 numeric
@attribute Class {-1.0,1.0}

@data
0.0937,1.0
1.93,1.0
-0.651,1.0
0.895,-1.0
-1.29,-1.0
0.626,-1.0
-1.37,1.0
-0.213,1.0
0.0024,1.0
1.63,1.0
-0.861,-1.0
-1.57,1.0
0.941,-1.0
1.13,-1.0
0.469,1.0
-0.7,1.0
1.52,-1.0
1.08,-1.0
-0.923,1.0
-1.3,-1.0
0.683,-1.0
0.614,-1.0
-0.615,1.0
-0.963,1.0
0.484,-1.0
-1.33,-1.0
1.42,1.0
0.512,1.0
0.79,-1.0
0.54,1.0
1.32,-1.0
-0.938,-1.0
-0.643,1.0
1.72,1.0
0.354,-1.0
-0.424,1.0
0.444,-1.0
0.951,1.0
-1.2,1.0
-1.21,-1.0
-1.05,-1.0
-1.32,1.0
0.305,1.0
-0.389,1.0
1,-1.0
1.28,-1.0
1.5,-1.0
0.344,1.0
-0.218,-1.0
0.178,1.0
0.298,-1.0
-1.5,-1.0
-1.02,1.0
-1.29,1.0
0.858,-1.0
0.189,1.0
-0.0433,-1.0
1.04,-1.0
-0.584,1.0
0.103,1.0
-0.0233,1.0
-0.909,1.0
1.26,-1.0
-1.24,-1.0
1.22,-1.0
-1.29,1.0
-0.388,1.0
-0.846,-1.0
0.109,-1.0
-0.727,1.0
-0.845,1.0
1.82,1.0
-1.36,-1.0
-0.26,-1.0
1.11,1.0
1.52,-1.0
-1.41,-1.0
-1.58,-1.0
-0.712,1.0
0.858,-1.0
-1.53,1.0
1.21,1.0
-0.212,1.0
-1.38,-1.0
-0.766,1.0
-0.506,1.0
0.186,-1.0
-0.0771,-1.0
0.193,1.0
1.2,-1.0
-2.24,1.0
2,-1.0
1.24,-1.0
-1.65,1.0
-1.3,-1.0
0.588,-1.0
-1.13,-1.0
1.45,-1.0
-1.43,-1.0
-0.723,1.0
-0.919,-1.0
-1.28,-1.0
0.996,-1.0
-0.479,1.0
-1.49,-1.0
1.3,1.0
0.342,-1.0
1.18,-1.0
-0.248,1.0
-0.323,1.0
-1.54,-1.0
0.972,-1.0
0.335,-1.0
-0.754,1.0
-0.118,1.0
0.966,1.0
-0.796,1.0
1.63,-1.0
-1.42,-1.0
1.96,1.0
-1.14,-1.0
1.04,-1.0
0.779,-1.0
-0.384,1.0
1.73,1.0
0.488,-1.0
-0.00833,1.0
-1.69,-1.0
-0.139,1.0
0.828,-1.0
-0.891,1.0
-0.648,1.0
1.69,1.0
-0.465,1.0
-0.994,-1.0
-0.663,1.0
0.484,-1.0
0.228,1.0
0.422,-1.0
-0.757,-1.0
0.466,1.0
-0.568,1.0
-0.503,1.0
-0.997,-1.0
-1.1,-1.0
0.429,-1.0
0.565,1.0
-0.328,1.0
-0.218,-1.0
0.36,1.0
-1.03,-1.0
-1.13,1.0
1.04,-1.0
-1.17,-1.0
-1.2,-1.0
-0.858,1.0
-1.36,1.0
1.02,-1.0
1.39,1.0
1.34,-1.0
1.45,-1.0
-0.334,1.0
-0.744,-1.0
1.55,1.0
-1.27,-1.0
-1.23,1.0
1.98,1.0
0.119,1.0
-1.38,-1.0
-1.38,-1.0
0.205,-1.0
1.31,-1.0
-0.255,1.0
0.184,1.0
0.455,1.0
-0.966,1.0
0.612,-1.0
0.952,-1.0
-1.14,1.0
-1.04,1.0
0.61,-1.0
-0.735,1.0
-1.15,-1.0
-0.208,1.0
1.03,-1.0
0.984,-1.0
1.02,-1.0
-1.19,1.0
-0.665,1.0
0.0487,-1.0
-0.241,1.0
-1.07,-1.0
0.276,1.0
-1.19,1.0
0.41,1.0
1.43,-1.0
0.75,1.0
0.502,1.0
0.0644,1.0
-0.471,1.0
0.401,-1.0
0.343,1.0
-1.44,-1.0
-0.942,-1.0
0.455,-1.0
0.583,-1.0
-1.22,-1.0
0.884,-1.0
-0.382,1.0
1.39,1.0
0.681,-1.0
1.33,1.0
-1.23,-1.0
-0.806,1.0
-1.37,-1.0
-1.33,1.0
-1.02,-1.0
-0.258,1.0
-0.19,1.0
0.643,-1.0
-0.689,1.0
0.562,-1.0
-1.07,-1.0
-0.102,1.0
-0.986,1.0
-1.43,-1.0
-1.69,-1.0
-0.746,-1.0
-1.08,-1.0
-0.941,-1.0
-0.0572,1.0
0.299,-1.0
0.335,-1.0
0.498,-1.0
-1.27,-1.0
-0.563,1.0
1.37,-1.0
-0.489,-1.0
0.837,-1.0
-0.555,1.0
0.918,-1.0
1.26,1.0
-1.16,-1.0
0.126,1.0
-0.962,1.0
-1.05,1.0
-0.998,-1.0
-0.568,1.0
1.1,1.0
0.789,1.0
-0.528,1.0
0.524,1.0
-1.38,-1.0
-0.997,-1.0
0.493,1.0
1.65,-1.0
-0.38,1.0
0.574,-1.0
-1.24,-1.0
1.07,-1.0
-1.05,1.0
-0.0308,1.0
1.5,-1.0
0.0541,-1.0
-0.514,1.0
-1.25,-1.0
-0.0692,1.0
-0.345,-1.0
-1.11,-1.0
0.0456,1.0
-1.48,-1.0
-1.15,-1.0
0.358,-1.0
1.22,-1.0
0.615,1.0
-1.1,1.0
1.34,-1.0
-1.26,-1.0
-0.731,1.0
0.776,-1.0
0.388,1.0
0.625,1.0
-0.00494,1.0
0.709,1.0
0.385,1.0
-0.622,1.0
1.12,-1.0
1.36,-1.0
-1.04,-1.0
1.41,1.0
-0.778,-1.0
1.03,-1.0
-1.09,-1.0
1.82,1.0
-0.0457,1.0
0.64,-1.0
-0.0477,1.0
-1.44,-1.0
-0.455,1.0
1.42,1.0
1.09,-1.0
0.409,1.0
-1.37,-1.0
-1,1.0
1.75,1.0
-1.14,-1.0
-0.641,-1.0
1.06,-1.0
1.37,1.0
2.01,-1.0
-1.33,-1.0
1.52,-1.0
1.36,1.0
0.124,1.0
-1.78,1.0
1.32,-1.0
-0.297,1.0
0.128,1.0
1.62,-1.0
0.744,-1.0
1.64,-1.0
0.687,-1.0
0.628,-1.0
1.8,-1.0
0.608,-1.0
-0.397,1.0
1.56,-1.0
-1.65,1.0
-1.02,1.0
1.4,-1.0
0.835,-1.0
0.57,-1.0
-1.23,-1.0
0.681,-1.0
0.207,1.0
1.2,1.0
0.256,1.0
-0.0325,1.0
-0.793,-1.0
1.99,-1.0
-1.35,-1.0
1.78,-1.0
1.48,1.0
0.358,-1.0
1.48,-1.0
-0.378,1.0
0.378,-1.0
-1.25,-1.0
-0.23,-1.0
-0.224,1.0
1.06,-1.0
2.11,1.0
-1.11,-1.0
1.28,-1.0
1.19,-1.0
1.19,-1.0
-1.09,-1.0
-1.42,-1.0
-1.02,-1.0
0.189,1.0
0.836,-1.0
-1.46,1.0
0.0734,-1.0
-0.277,-1.0
0.719,1.0
-0.0461,1.0
-0.102,1.0
1.5,1.0
0.0621,1.0
0.376,-1.0
-0.0366,1.0
-1.12,-1.0
-0.627,1.0
-1.18,-1.0
1.45,-1.0
-0.952,-1.0
-0.253,1.0
2.06,1.0
0.677,-1.0
1.45,-1.0
-0.723,1.0
1.63,1.0
-1.23,-1.0
-1.13,-1.0
0.23,-1.0
0.739,-1.0
1.75,-1.0
-0.873,1.0
-1.38,-1.0
1.28,1.0
0.92,-1.0
-0.639,-1.0
0.605,1.0
1.01,-1.0
-0.829,1.0
0.908,-1.0
1.25,1.0
0.752,-1.0
-0.308,-1.0
0.814,-1.0
-1.16,1.0
0.755,-1.0
0.151,-1.0
-1.07,1.0
0.0911,1.0
-0.518,-1.0
0.846,1.0
0.845,-1.0
0.441,-1.0
0.913,-1.0
1,-1.0
-0.447,1.0
0.257,-1.0
-0.895,-1.0
0.0847,1.0
1.38,-1.0
-0.908,1.0
0.698,-1.0
1.94,1.0
-0.0908,1.0
1.52,-1.0
0.273,-1.0
0.74,-1.0
-1.11,1.0
1.25,-1.0
1.13,1.0
0.315,-1.0
0.177,1.0
0.114,-1.0
-1.21,-1.0
-1.17,1.0
-0.917,-1.0
0.488,-1.0
-0.269,1.0
-1.55,-1.0
-0.983,-1.0
0.325,-1.0
0.211,-1.0
-1.1,-1.0
0.482,-1.0
0.88,-1.0
1.68,-1.0
-1.34,-1.0
1.24,-1.0
1.63,1.0
0.881,-1.0
-1.29,-1.0
-1.6,-1.0
0.373,-1.0
-0.255,1.0
-1.32,1.0
-1.45,-1.0
-1.27,-1.0
0.219,-1.0
1.76,-1.0
-1.14,-1.0
-1.34,-1.0
-1.14,1.0
-1.3,-1.0
-0.176,1.0
0.0331,1.0
-1.15,-1.0
0.37,-1.0
-0.72,-1.0
0.465,1.0
1.07,1.0
1.23,-1.0
-1.15,1.0
1.42,1.0
0.419,1.0
0.594,-1.0
1.1,-1.0
-0.869,-1.0
-0.68,1.0
-0.351,1.0
-1.78,1.0
0.866,-1.0
-1.45,-1.0
0.309,-1.0
1.82,1.0
-1.08,-1.0
0.564,-1.0
-0.336,1.0
0.0609,-1.0
0.771,-1.0
0.562,-1.0
-1.01,1.0
0.0545,-1.0
1.06,-1.0
0.507,-1.0
0.116,-1.0
1.57,1.0
-0.448,1.0
-1.15,-1.0
-1.7,1.0
0.595,-1.0
-1.47,1.0
-0.687,1.0
0.156,1.0
-0.119,1.0
-1.38,1.0
0.298,1.0
1.35,-1.0
1.41,-1.0
0.512,-1.0
-1.04,-1.0
0.49,1.0
-0.698,1.0
0.0285,1.0
0.558,-1.0
1.61,-1.0
0.333,1.0
0.254,-1.0
1.03,-1.0
-1.31,-1.0
-1.13,1.0
-0.0531,1.0
-0.804,1.0
0.288,1.0
-0.848,1.0
-1.25,-1.0
0.446,-1.0
1.1,-1.0
-0.0961,1.0
1.05,-1.0
0.561,1.0
-0.104,1.0
0.511,1.0
1.03,-1.0
-0.554,1.0
