@relation 'coil2000-weka.filters.unsupervised.attribute.Remove-V-R1-4,6-7,16-18,20,22-24,27,29,31,33,36,39-40,42-43,45,48-49,53,55,63-64,66-68,74,77,86'

@attribute MOSTYPE numeric
@attribute MAANTHUI numeric
@attribute MGEMOMV numeric
@attribute MGEMLEEF numeric
@attribute MGODRK numeric
@attribute MGODPR numeric
@attribute MOPLHOOG numeric
@attribute MOPLMIDD numeric
@attribute MOPLLAAG numeric
@attribute MBERZELF numeric
@attribute MBERMIDD numeric
@attribute MBERARBG numeric
@attribute MBERARBO numeric
@attribute MSKB2 numeric
@attribute MSKD numeric
@attribute MHKOOP numeric
@attribute MAUT2 numeric
@attribute MZPART numeric
@attribute MINK4575 numeric
@attribute MINK7512 numeric
@attribute MINKGEM numeric
@attribute MKOOPKLA numeric
@attribute PWABEDR numeric
@attribute PBESAUT numeric
@attribute PMOTSCO numeric
@attribute PWERKT numeric
@attribute PLEVEN numeric
@attribute PINBOED numeric
@attribute PBYSTAND numeric
@attribute AWABEDR numeric
@attribute AWALAND numeric
@attribute APERSAUT numeric
@attribute AWERKT numeric
@attribute APERSONG numeric
@attribute CARAVAN {0,1}

@data
23,1,2,1,0,5,0,5,4,0,4,2,2,2,2,0,3,0,3,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0
23,1,1,2,0,6,2,6,2,0,4,3,2,2,0,0,1,4,3,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0
13,1,4,2,2,4,5,4,1,0,3,0,1,1,0,5,1,4,6,0,4,6,0,0,0,0,0,0,0,0,0,1,0,0,0
33,2,3,3,0,6,1,2,7,0,3,3,4,1,1,8,0,1,7,0,4,3,0,0,0,0,4,0,0,0,0,1,0,0,0
3,1,2,3,3,3,4,3,3,0,1,1,3,1,3,9,0,5,4,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,2,4,2,4,1,5,4,0,3,1,4,4,0,7,3,4,3,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1
11,2,2,5,2,4,2,3,4,0,2,0,4,0,4,9,2,4,1,1,3,6,0,0,0,0,0,0,0,0,0,1,0,0,0
29,1,2,3,1,6,1,4,5,0,4,2,2,4,2,6,1,2,3,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,3,3,2,3,2,1,7,0,3,3,2,1,0,0,2,2,2,4,6,4,0,0,0,0,0,0,0,0,0,2,0,0,0
41,1,3,3,0,7,1,4,5,1,2,3,1,3,0,7,4,3,4,0,4,4,0,0,0,0,0,0,0,0,1,1,0,0,1
10,1,3,2,1,2,3,4,2,0,3,2,1,2,0,9,2,4,4,3,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2,3,1,5,2,2,6,1,2,4,2,2,1,5,1,2,2,0,3,6,0,0,0,0,0,0,0,0,0,1,0,0,0
39,1,3,3,1,6,0,5,4,0,0,5,4,0,0,9,1,2,3,1,4,5,0,0,0,0,0,0,0,0,0,1,0,0,0
35,1,2,3,0,5,3,1,6,0,3,3,2,2,0,7,0,1,2,0,3,5,0,0,0,0,0,0,0,0,0,0,0,1,0
33,1,2,4,0,6,0,1,8,2,0,6,0,2,0,6,2,1,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1,3,3,0,3,0,0,9,0,0,5,4,0,3,4,3,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0
33,1,3,3,0,6,1,2,6,0,4,2,4,2,2,7,0,2,5,0,4,3,0,0,0,0,0,0,0,0,0,2,0,0,0
8,1,4,3,2,5,4,4,2,1,5,2,1,3,1,8,0,3,4,3,5,7,0,0,0,0,0,0,0,0,0,1,0,0,0
10,1,3,3,0,4,4,3,3,1,4,1,2,1,1,3,2,6,3,2,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,2,3,1,5,0,3,6,0,4,2,4,4,1,5,2,0,2,0,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0
37,1,2,4,9,0,2,4,3,0,2,0,4,3,1,7,0,2,3,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,1,3,5,3,8,1,1,0,4,0,1,0,0,1,2,6,4,4,6,5,0,0,0,0,0,0,0,0,0,1,0,0,0
8,1,2,4,0,7,0,4,5,0,4,1,5,5,1,0,0,4,2,0,3,7,0,0,0,0,0,0,4,0,0,1,0,0,1
33,1,3,3,0,5,2,3,4,0,1,4,2,2,1,6,4,4,2,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,4,2,0,6,1,1,8,0,2,2,5,1,3,1,1,1,2,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0
35,1,2,3,1,5,2,2,6,1,2,4,2,2,1,5,1,2,2,0,3,5,0,0,0,0,0,0,0,0,0,2,0,0,1
8,1,3,2,2,5,2,5,3,0,4,2,2,3,0,6,2,3,7,0,5,7,0,0,0,0,0,0,0,0,0,1,0,0,0
33,2,3,3,0,5,0,2,7,2,0,6,0,2,0,7,4,1,3,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0
41,1,3,3,3,2,2,4,3,1,2,2,3,2,1,4,2,5,3,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,3,4,1,5,1,1,7,1,1,5,2,1,2,7,3,2,3,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1,2,3,0,4,1,5,3,0,2,1,5,5,1,6,0,2,1,3,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0
38,1,2,3,1,5,2,3,5,1,3,1,3,2,2,5,2,3,2,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,4,2,0,0,5,4,0,5,0,3,0,5,0,0,3,6,4,2,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0
