@relation crx

@attribute A8 numeric
@attribute A9 {t,f}
@attribute Class {positive,negative}

@data
25,t,positive
7415,t,positive
55,t,positive
1275,t,positive
1085,t,positive
8,t,positive
0,t,positive
575,f,positive
15,t,positive
14,t,positive
5,t,positive
6,t,positive
575,t,positive
5125,t,positive
2585,t,positive
55,t,positive
4335,t,positive
5,t,positive
65,t,positive
175,t,positive
375,t,positive
25,t,positive
20,t,positive
154,t,positive
125,t,positive
125,t,positive
5665,t,positive
5,t,positive
14415,t,positive
1085,t,positive
15,t,positive
15,t,positive
2625,t,positive
5165,t,positive
14,t,positive
585,t,positive
15,t,positive
835,t,positive
104,t,positive
25,t,positive
525,t,positive
15,t,positive
15,f,positive
275,t,positive
425,t,positive
1085,t,positive
375,t,positive
1335,t,positive
25,t,positive
65,t,positive
146,t,positive
75,t,positive
25,t,positive
7,t,positive
29,t,positive
625,t,positive
0,t,positive
3085,t,positive
475,t,positive
55,t,positive
5,t,positive
1665,t,positive
165,t,positive
2085,t,positive
2375,t,positive
4,t,positive
0,t,positive
171,t,positive
1335,t,positive
0,t,positive
8665,t,positive
15,f,positive
129,t,positive
5,t,positive
7585,t,positive
18,t,positive
254,t,positive
15,t,positive
429,t,positive
504,t,positive
5375,t,positive
4,t,positive
4,f,positive
175,t,positive
4,t,positive
146,t,positive
1,t,positive
1835,t,positive
3,t,positive
1625,t,positive
1585,t,positive
9,t,positive
175,t,positive
1085,t,positive
96,t,positive
175,t,positive
275,t,positive
11,t,positive
665,t,positive
204,t,positive
1665,t,positive
25,t,positive
415,t,positive
875,t,positive
175,t,positive
35,t,positive
55,t,positive
835,t,positive
6,t,positive
25,t,positive
121,t,positive
2375,t,positive
2585,t,positive
11,t,positive
1,t,positive
1415,t,positive
45,t,positive
20,t,positive
2165,f,positive
45,t,positive
4165,t,positive
75,t,positive
85,t,positive
229,t,positive
1,t,positive
4,f,positive
65,t,positive
125,t,positive
25,t,positive
35,t,positive
396,t,positive
3165,t,positive
5,t,positive
835,t,positive
5335,t,positive
285,t,positive
125,t,positive
4,t,positive
1,t,positive
15,t,positive
85,t,positive
1415,t,positive
1875,t,positive
4,t,positive
25,t,positive
5,t,positive
4,t,positive
15,t,positive
175,t,positive
4,t,positive
0,t,positive
71,t,positive
4625,t,positive
85,t,positive
317,t,positive
75,t,positive
625,t,positive
0,f,positive
125,t,positive
25,t,positive
5085,t,positive
225,t,positive
25,t,positive
2,t,positive
325,t,positive
1,t,positive
15,f,positive
85,t,positive
225,f,positive
125,t,positive
7,t,positive
246,f,positive
10,t,positive
85,f,positive
4,t,positive
25,t,positive
1625,t,positive
525,t,positive
46,t,positive
25,t,positive
4,t,positive
7375,t,positive
1,t,positive
125,t,positive
125,t,positive
225,t,positive
1585,t,positive
3085,t,positive
2125,t,positive
796,t,positive
0,t,positive
3,t,positive
415,t,positive
4,t,positive
25,t,positive
325,t,positive
85,t,positive
3165,t,positive
85,t,positive
175,t,positive
25,t,positive
8,t,positive
0,t,positive
604,t,positive
85,t,positive
665,t,positive
4,t,positive
125,t,positive
196,t,positive
2,t,positive
175,t,positive
15,t,positive
29,t,positive
85,t,positive
75,t,positive
0,t,positive
75,t,positive
375,f,positive
2,t,positive
21,f,positive
0,t,positive
425,t,positive
21,t,positive
35,t,positive
335,t,positive
29,t,positive
6,t,positive
2,t,positive
1415,t,positive
8625,t,positive
5,t,positive
225,t,positive
25,t,positive
5,t,positive
5,t,positive
129,t,positive
5,t,positive
65,t,positive
175,t,positive
45,t,positive
15,t,positive
175,t,positive
16,t,positive
2,t,positive
7875,t,positive
0,t,positive
3,t,positive
4,t,positive
3,t,positive
35,f,positive
1625,t,positive
75,t,positive
5,t,positive
35,t,positive
125,t,positive
54,t,positive
1275,t,positive
14,t,positive
13,t,positive
3125,t,positive
75,t,positive
15,t,positive
458,t,positive
155,t,positive
0,t,positive
121,t,positive
55,t,positive
2,f,negative
415,f,negative
