@relation crx

@attribute A1 {b,a}
@attribute A2 numeric
@attribute A9 {t,f}
@attribute A14 numeric
@attribute Class {positive,negative}

@data
b,2042,t,200,positive
b,3358,t,204,positive
b,3625,t,0,positive
b,205,t,200,positive
a,25,t,160,positive
b,2183,t,121,positive
a,4033,t,0,positive
a,2867,t,300,positive
b,2017,t,120,positive
b,3425,t,0,positive
a,2575,t,491,positive
b,3633,t,50,positive
a,2325,t,120,positive
b,425,t,52,positive
a,235,t,120,positive
b,2325,t,300,positive
b,4025,t,0,positive
b,1933,t,60,positive
b,5158,t,0,positive
b,4058,t,0,positive
a,41,t,455,positive
b,1617,f,0,positive
b,5433,t,0,positive
b,2667,t,120,positive
a,2167,t,0,positive
b,5592,t,0,positive
b,1917,t,120,positive
a,2283,t,140,positive
a,4775,t,0,positive
b,2617,t,0,positive
b,32,t,393,positive
b,185,t,120,positive
b,4192,t,220,positive
a,36,t,0,positive
a,3575,t,0,positive
a,3675,t,0,positive
b,4217,t,92,positive
a,2808,t,0,positive
a,1883,t,40,positive
b,2517,t,0,positive
b,2308,t,290,positive
a,23,t,300,positive
b,2567,t,140,positive
b,1917,f,500,positive
b,2925,t,168,positive
b,2442,t,120,positive
b,42,t,0,positive
a,2692,t,0,positive
b,3817,t,520,positive
b,3017,t,32,positive
b,2317,t,100,positive
b,3192,t,311,positive
b,2825,t,420,positive
a,205,t,340,positive
b,39,t,0,positive
b,2283,t,260,positive
b,2992,t,260,positive
b,3742,t,400,positive
b,525,t,0,positive
b,495,t,0,positive
b,42,t,400,positive
b,3317,t,180,positive
b,2825,t,396,positive
a,1583,t,100,positive
b,3317,t,164,positive
b,2042,t,100,positive
b,395,t,117,positive
a,1808,f,300,positive
b,2267,f,0,positive
b,2725,t,399,positive
a,245,t,280,positive
a,1883,t,240,positive
a,2408,t,0,positive
a,5708,t,0,positive
b,2433,t,100,positive
b,4433,t,320,positive
a,5867,t,43,positive
b,3167,t,303,positive
a,2083,t,100,positive
b,2517,t,0,positive
b,2775,t,260,positive
b,7342,t,0,positive
b,3733,t,93,positive
a,225,f,164,positive
b,4133,t,0,positive
