@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1,5,15,17,19,21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditAmount numeric
@attribute Housing {A152,A153,A151}
@attribute Job {A173,A172,A174,A171}
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
A11,1169,A152,A173,A192,1
A14,2835,A152,A173,A191,1
A14,426,A152,A172,A191,1
A13,1225,A152,A173,A192,1
A12,458,A152,A173,A191,1
A12,1537,A152,A173,A192,1
A14,8133,A152,A173,A191,1
A11,1526,A153,A174,A191,1
A14,1213,A152,A173,A192,1
A14,618,A152,A173,A191,1
A14,797,A152,A172,A191,2
A14,7855,A152,A173,A192,2
A12,639,A152,A173,A191,2
A14,2708,A152,A172,A191,1
A14,1240,A152,A173,A192,1
A13,5848,A152,A173,A191,1
A12,6967,A151,A174,A192,1
A12,3512,A152,A173,A192,1
A12,2064,A152,A174,A192,2
A14,1495,A152,A172,A191,1
A12,1424,A152,A173,A191,1
A12,625,A152,A172,A191,1
A11,3149,A153,A173,A191,1
A14,1291,A152,A173,A191,1
A14,3447,A152,A172,A191,1
A14,717,A152,A173,A191,1
A13,1925,A152,A173,A191,1
A14,4151,A152,A173,A191,1
A11,2149,A153,A173,A191,2
A14,1154,A152,A172,A191,1
A14,3368,A151,A173,A192,1
A13,1445,A152,A172,A191,1
A12,5381,A153,A171,A192,1
A11,2746,A152,A173,A191,2
A11,2910,A153,A174,A192,1
A12,5743,A153,A173,A192,1
A12,3213,A151,A173,A191,1
A12,4439,A152,A174,A192,1
A12,1136,A153,A173,A191,2
A14,4463,A152,A174,A192,2
A11,2406,A151,A173,A191,2
A14,3850,A152,A173,A191,1
A14,6070,A152,A173,A192,1
A14,1126,A151,A173,A192,1
A12,1967,A152,A173,A192,1
A12,1042,A152,A173,A191,2
A12,2762,A152,A173,A192,2
A12,11328,A152,A174,A192,2
A12,1484,A152,A173,A192,2
A14,660,A151,A172,A191,1
A14,1884,A152,A174,A192,1
A14,719,A152,A172,A191,2
A14,518,A152,A173,A191,1
A12,1245,A152,A173,A191,2
A12,1037,A152,A172,A191,1
A14,1237,A152,A173,A191,1
A12,368,A152,A173,A191,1
A11,2122,A151,A172,A191,1
A12,9034,A151,A174,A192,2
A11,3123,A152,A173,A191,2
A12,1216,A152,A173,A191,2
A14,1413,A152,A173,A191,1
A14,7127,A151,A173,A192,2
A11,1203,A152,A173,A192,1
A11,3190,A152,A173,A191,2
A11,2302,A151,A173,A191,2
A11,662,A152,A172,A192,1
A12,1534,A151,A173,A191,2
A14,1255,A152,A172,A191,1
A11,6999,A152,A173,A192,2
A12,1928,A152,A172,A191,2
A14,2578,A152,A173,A191,1
A11,3234,A151,A172,A192,2
A12,1082,A152,A172,A191,1
A11,1217,A152,A172,A192,2
A11,1358,A152,A174,A192,2
A11,741,A152,A173,A191,2
A11,3357,A152,A173,A191,1
A12,12204,A152,A174,A192,1
A11,750,A152,A171,A191,2
A14,1386,A152,A173,A191,2
A11,3973,A153,A173,A191,1
A14,5103,A153,A173,A192,1
A12,9857,A152,A172,A192,1
A11,4716,A152,A172,A191,1
A12,790,A152,A172,A191,1
A14,3380,A152,A173,A191,1
A11,2511,A151,A173,A191,1
A14,3275,A152,A174,A192,1
A13,2892,A153,A173,A191,1
A12,484,A152,A172,A191,1
A12,6681,A153,A173,A192,1
A14,601,A151,A172,A191,1
A14,1249,A152,A173,A191,1
A14,7678,A152,A173,A192,1
A13,1343,A152,A173,A191,1
A11,1382,A152,A173,A192,1
A14,1386,A151,A173,A192,1
A12,1743,A152,A172,A191,1
A14,1736,A152,A172,A191,1
