@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R1,3-4,10'

@attribute RI numeric
@attribute Mg numeric
@attribute Al numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.517551,3.65935,1.1888,1
1.517847,3.66833,1.15991,1
1.517938,3.5022,1.12139,1
1.517437,3.60098,1.14065,1
1.517528,3.47077,1.3814,1
1.52172,3.74017,0.8999,1
1.517369,3.61894,1.29152,1
1.518713,3.65935,1.56116,2
1.516458,3.60996,1.53869,2
1.515888,3.40791,1.58042,2
1.516526,3.56955,1.47128,2
1.516617,3.51118,1.43918,2
1.518417,3.74017,1.10855,2
1.516731,3.64139,1.52906,2
1.516594,3.17892,1.23053,2
1.516458,3.39893,1.25942,3
1.516708,3.56955,1.3814,3
1.5132,0,3.0185,5
1.518531,2.19112,1.66067,6
1.516389,0,2.73923,7
1.523656,1.83192,1.31078,7
1.51623,0,2.88047,7
