@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R1,3,8,10'

@attribute RI numeric
@attribute Mg numeric
@attribute Ba numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.517551,3.65935,0,1
1.517847,3.66833,0,1
1.517938,3.5022,0,1
1.517437,3.60098,0,1
1.517528,3.47077,0,1
1.52172,3.74017,0,1
1.517369,3.61894,0,1
1.518713,3.65935,0,2
1.516458,3.60996,0,2
1.515888,3.40791,0,2
1.516526,3.56955,0,2
1.516617,3.51118,0.5985,2
1.518417,3.74017,0,2
1.516731,3.64139,0,2
1.516594,3.17892,0,2
1.516458,3.39893,0,3
1.516708,3.56955,0,3
1.5132,0,0,5
1.518531,2.19112,0,6
1.516389,0,0.53865,7
1.523656,1.83192,1.67895,7
1.51623,0,1.06155,7
