@relation glass

@attribute RI numeric
@attribute Ca numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.52172,9.60488,1
1.517688,8.53964,1
1.522267,9.69096,1
1.517847,8.70104,1
1.52213,9.5726,1
1.519761,8.66876,1
1.52172,9.54032,1
1.51762,8.389,1
1.517665,8.21684,1
1.515888,8.04468,1
1.517825,8.75484,1
1.51762,8.4966,1
1.517551,8.63648,1
1.51869,8.83016,1
1.52197,9.15296,1
1.51566,8.57192,1
1.519055,8.75484,1
1.51762,8.56116,1
1.51762,7.82948,1
1.517506,8.59344,1
1.517642,8.52888,1
1.517847,8.48584,1
1.517779,9.02384,1
1.521515,9.85236,1
1.519009,9.00232,1
1.5191,8.89472,1
1.518986,8.90548,1
1.526663,9.82008,1
1.517209,8.43204,1
1.517415,8.0662,1
1.522221,10.2452,1
1.515957,8.0662,1
1.517551,8.27064,1
1.51926,9.1422,1
1.522107,9.74476,1
1.517551,8.23836,1
1.517506,8.51812,1
1.517779,8.59344,1
1.523201,10.568,1
1.517369,8.70104,1
1.51967,9.00232,1
1.517961,8.67952,1
1.518235,8.43204,1
1.517756,8.56116,1
1.522996,10.17516,1
1.517551,8.39976,1
1.521014,8.75484,1
1.52213,9.5726,1
1.517688,9.05612,1
1.512152,8.34596,1
1.517483,8.37824,1
1.521515,9.85236,1
1.517437,8.1738,1
1.518075,9.0346,1
1.517551,8.03392,1
1.521515,9.82008,1
1.5191,8.77636,1
1.517938,8.7656,1
1.517938,8.43204,1
1.51746,8.5504,1
1.517346,8.4428,1
1.519191,8.30292,1
1.517528,8.5504,1
1.520672,9.5726,2
1.516139,7.93708,2
1.516526,7.9586,2
1.516891,8.53964,2
1.517096,8.18456,2
1.518121,8.78712,2
1.517893,8.4428,2
1.515957,7.9048,2
1.527779,14.40384,2
1.518189,10.99292,2
1.516617,8.2276,2
1.517073,7.99088,2
1.518052,8.37824,2
1.516594,8.80864,2
1.518599,8.6042,2
1.516549,8.78712,2
1.515911,7.96936,2
1.52475,13.24176,2
1.515911,7.9586,2
1.515934,7.82948,2
1.516731,7.9048,2
1.515934,8.04468,2
1.516389,8.07696,2
1.515911,7.96936,2
1.518485,8.32444,2
1.531242,13.29556,2
1.527255,11.63852,2
1.516663,8.6042,2
1.518417,8.95928,2
1.518713,8.5504,2
1.524089,10.78848,2
1.522221,11.52016,2
1.516276,8.04468,2
1.518462,8.43204,2
1.518121,8.15228,2
1.518508,8.41052,2
1.515911,8.21684,2
1.516184,8.12,2
1.516891,8.10924,2
1.520809,9.85236,2
1.518918,8.20608,2
1.518394,8.67952,2
1.518121,8.12,2
1.520194,10.56252,2
1.516458,8.07696,2
1.526139,13.43544,2
1.516298,8.23836,2
1.516253,8.20608,2
1.515888,8.389,2
1.527392,14.96336,2
1.516458,8.03392,2
1.518462,8.2814,2
1.516048,8.27064,2
1.518417,9.13144,2
1.516731,8.03392,2
1.517073,7.88328,2
1.516868,8.09848,2
1.517118,8.10924,2
1.52664,14.6836,2
1.516731,7.99088,2
1.516321,7.89404,2
1.51828,8.31368,2
1.515683,8.03392,2
1.517301,9.22828,2
1.514089,7.07628,2
1.517437,8.89472,2
1.516458,8.09848,2
1.518007,8.20608,2
1.51664,8.03392,2
1.516458,8.58268,3
1.519351,8.89472,3
1.516936,8.78712,3
1.516093,8.32444,3
1.517961,8.80864,3
1.51664,8.37824,3
1.521264,9.48652,3
1.516435,8.52888,3
1.516093,8.3352,3
1.521219,9.64792,3
1.517779,8.927,3
1.516708,8.4428,3
1.517756,8.78712,3
1.517688,8.6042,3
1.518326,8.99156,3
1.515137,5.87116,5
1.5132,6.92564,5
1.520581,9.70172,5
1.521515,11.617,5
1.519943,11.31572,5
1.519146,10.08908,5
1.520421,12.49932,5
1.519692,11.53092,5
1.52172,11.41256,5
1.521196,11.27268,5
1.513155,6.95792,5
1.523679,12.24108,5
1.519169,10.88532,6
1.518531,9.32512,6
1.519055,9.5726,6
1.51828,9.26056,6
1.518872,9.9492,6
1.519374,9.76628,6
1.519692,11.21888,6
1.51115,6.64588,6
1.522472,9.75552,7
1.516503,8.47508,7
1.515091,8.3352,7
1.516845,8.39976,7
1.516139,8.66876,7
1.523656,8.61496,7
1.516526,8.927,7
1.516389,9.45424,7
1.517323,8.61496,7
1.515455,9.06688,7
1.518303,6.47372,7
1.51623,9.04536,7
1.517118,8.61496,7
1.516093,8.83016,7
1.515569,9.4112,7
1.517278,8.94852,7
1.516458,8.66876,7
1.51623,9.18524,7
1.511309,5.43,7
1.516572,8.2814,7
1.516162,8.7118,7
1.516822,8.51812,7
1.520649,8.4428,7
1.517187,8.52888,7
1.516025,8.75484,7
1.515319,9.07764,7
