@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R4,7,10'

@attribute Al numeric
@attribute Ca numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.12139,9.40044,1
1.15028,8.43204,1
1.27868,9.06688,1
1.56116,8.08772,1
1.1888,8.75484,1
1.53869,7.77568,1
1.30115,8.69028,1
1.35893,11.14356,2
1.42955,7.86176,2
0.82928,9.42196,2
1.32041,8.42128,2
1.74092,7.35604,2
0.99941,16.19,2
1.15028,8.51812,2
0.90953,9.1422,3
1.27868,8.64724,3
1.8308,10.17516,5
1.53869,7.59276,6
1.23053,8.83016,7
2.42144,8.389,7
2.21921,5.78508,7
