@relation glass

@attribute Na numeric
@attribute Mg numeric
@attribute Ba numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
12.7383,3.47975,0,1
13.58285,3.34954,0,1
13.88875,3.52914,0.11025,1
12.85135,3.47975,0.09135,1
13.7745,3.48873,0,1
13.4831,3.74017,0,1
12.858,3.56057,0,1
12.9777,3.53812,0,1
12.81145,3.53812,0,1
13.39,3.65935,0,1
13.90205,3.73119,0,1
13.3102,3.57853,0,1
12.991,3.47077,0,1
14.20795,3.82099,0,1
12.8713,3.47975,0,1
13.6028,3.61894,0,1
12.45235,2.71196,0,1
13.11735,3.57853,0,1
12.81145,3.56955,0,1
13.48975,3.47975,0,1
12.7915,3.60996,0,1
13.6427,4.49,0,1
13.2969,3.60098,0,1
12.55875,3.52016,0,1
12.7782,3.61894,0,1
13.21045,3.7716,0,1
13.1373,2.84217,0,1
13.72915,3.83895,0,1
13.2703,3.61894,0,1
13.52965,3.55159,0,1
13.21045,3.38995,0,1
12.57205,3.47077,0,1
13.0176,3.53812,0,1
12.73165,3.43036,0,1
12.87795,3.43036,0,1
14.7732,3.74915,0,1
14.3609,3.84793,0,1
13.9885,3.69976,0,1
12.8181,3.55159,0,1
13.4831,3.74017,0,1
13.5097,3.8614,0,1
13.21045,3.47975,0,1
13.21045,3.69078,0,1
13.29025,3.44832,0,1
12.79815,3.65935,0,1
14.16805,3.81201,0,1
13.68925,3.592,0,1
12.71835,3.46179,0,1
12.7915,3.5022,0,1
12.65185,3.56057,0,1
12.69175,3.53812,0,1
14.417,3.57853,0,1
13.4299,2.86911,0,1
12.67845,3.66833,0,1
13.1905,3.37199,0,1
13.19715,3.33158,0,1
13.21045,2.81074,0,1
14.20795,3.82099,0,1
13.80895,3.57853,0.68985,1
13.88875,3.60098,0,1
12.99765,3.60098,0,1
13.05085,3.65037,0,1
13.3767,3.5022,0,1
11.22875,0,0,2
13.23705,3.90181,0,2
12.85135,3.66833,0,2
13.40995,3.88834,0,2
13.35675,3.43036,0,2
13.23705,3.34056,0,2
13.8023,3.15198,0,2
12.85135,3.51118,0.5985,2
12.6718,2.87809,0,2
13.25035,3.44832,0,2
13.7225,0,0,2
12.7915,3.52016,0,2
13.1905,3.90181,0,2
12.858,3.52016,0,2
12.99765,3.79854,0,2
13.23705,3.48873,0,2
13.5496,2.08785,0.2709,2
13.922,3.52016,0,2
11.0226,0,0,2
12.7117,3.33158,0,2
14.4274,0,0,2
12.6186,2.76135,0,2
12.9378,3.60996,0,2
10.73,0,3.15,2
13.01095,3.5022,0,2
13.7491,1.01025,0,2
13.11735,3.40791,0,2
12.8979,3.43934,0,2
13.25035,3.75813,0,2
13.70255,0,0,2
12.93115,3.53812,0,2
13.8289,2.90054,0,2
12.991,3.17892,0,2
12.2994,0,0,2
13.33015,3.84793,0,2
13.0176,3.57853,0,2
13.09075,3.52016,0,2
13.5629,3.56955,0,2
13.7225,3.6818,0,2
13.19715,3.62792,0.09135,2
13.4831,3.47975,0,2
13.98185,1.35149,0,2
12.89125,3.61894,0,2
13.4033,3.48873,0,2
13.46315,3.82997,0,2
13.40995,3.55159,0,2
11.4482,0,0,2
12.5521,3.47975,0,2
14.85965,3.66833,0,2
12.95775,2.95891,0.1386,2
13.33015,3.53812,0,2
13.3368,3.56955,0,2
12.93115,3.65935,0,2
13.0176,3.56057,0,2
12.7516,2.85115,0.11025,2
12.3526,2.72094,0,2
12.93115,3.74017,0,2
13.2969,3.64139,0,2
13.78235,2.28092,0,2
13.0176,3.61894,0,2
13.2304,3.53812,0,2
13.4432,3.60996,0,2
13.09075,3.592,0,2
12.99765,3.47077,0,2
13.19715,3.6818,0,2
14.24785,3.08912,0,2
13.7092,3.92875,0,2
13.6427,3.87038,0,2
12.8181,3.52016,0,2
13.42325,3.39893,0,3
13.40995,3.38995,0,3
13.6427,3.53812,0.1512,3
13.03755,3.39893,0,3
13.52965,3.40791,0,3
14.188,3.78058,0,3
13.23705,3.56955,0,3
13.6427,3.65037,0,3
14.321,3.90181,0,3
12.15975,3.52016,0,3
13.50305,3.35852,0,3
14.0284,3.75813,0,3
13.33015,3.52914,0,3
13.64935,3.65935,0,3
13.33015,3.34056,0,3
13.1373,3.44832,0,3
13.0176,0,0,5
14.00845,2.68053,2.1987,5
12.97105,0.32777,0,5
12.858,0,0,5
11.02925,1.71069,0,5
12.85135,1.61191,0.2394,5
13.2703,0,0,5
12.99765,0,0,5
13.3767,0,0,5
12.63855,0,0,5
12.73165,1.84988,0,5
11.56125,1.88131,0,5
14.08825,2.19112,0,6
14.46065,2.24051,0,6
14.4008,1.74212,0,6
13.789,2.41113,0,6
14.5604,0,0,6
14.0018,2.38868,0,6
14.1481,0,0,6
17.38,0,0,6
14.93945,0,1.3797,7
14.95275,0,0.67095,7
14.36755,0,0.53865,7
15.15225,0,0.63,7
14.75325,0,1.59075,7
15.126,0,0.5292,7
14.38085,0,0.63945,7
14.3609,0,1.64115,7
13.8821,1.77804,0.75915,7
14.321,3.25974,1.62855,7
14.853,0,0.63945,7
15.79065,1.83192,1.67895,7
14.85965,2.2001,0,7
13.4432,3.34056,0,7
14.5604,0,1.5687,7
14.38085,0,1.5687,7
14.14145,0,1.06155,7
13.8688,0,0.80955,7
14.853,0,0.5607,7
14.2013,0,0.40005,7
13.68925,3.20137,1.1907,7
14.3875,0,2.8791,7
14.95275,0,1.5498,7
14.2279,0,1.6695,7
14.70005,0,0.6615,7
11.94695,0,0,7
