@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R1,3,9,11'

@attribute FLength numeric
@attribute FSize numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
31.6036,2.5185,6.3609,g
33.1818,2.4955,41.929,g
50.4829,3.3194,22.471,g
87.5837,3.9208,2.428,g
25.4762,2.4048,24.847,g
32.0586,2.5072,12.1807,g
29.3424,2.5496,39.189,g
73.2547,2.5545,23.149,g
27.4888,2.8639,23.5868,g
27.1044,2.4241,29.844,g
35.577,2.9805,2.0711,g
25.0056,2.2753,4.2353,g
24.3343,2.5302,10.288,g
78.6493,3.7751,3.227,g
77.5343,3.2671,1.892,g
20.5321,2.4829,44.9,g
43.1994,2.8011,7.6914,g
31.5256,2.3324,10.2785,g
46.5588,3.3971,12.727,g
86.5346,4.1111,4.8152,g
20.9663,2.3274,47.8491,g
22.2442,2.5735,6.6462,g
24.598,2.5955,8.0075,g
37.6758,3.6018,20.1948,g
108.261,3.9109,1.873,g
49.8142,2.372,14.103,g
62.7644,3.7026,4.1234,g
101.178,3.1982,3.1693,g
20.7417,2.4669,16.395,g
18.0693,2.3598,84.2593,g
34.1392,2.5599,13.7301,g
106.364,4.3237,0.624,g
55.8434,3.2007,5.4306,g
68.7354,2.9251,9.3666,g
31.5737,2.6258,29.603,g
47.0893,2.9763,2.621,g
19.7221,2.6248,31.983,g
71.9672,3.4757,2.8019,g
26.889,2.4433,18.419,g
39.4796,2.932,1.129,g
31.257,2.4456,1.9639,g
45.4678,2.9172,1.087,g
32.4134,2.5821,17.831,g
27.8936,2.8698,82.8799,g
86.7133,3.9639,0.6696,g
41.9654,2.7619,7.1441,g
80.5967,3.5604,5.9931,g
88.4638,3.444,0.533,g
92.6332,3.6898,0.123,g
94.1836,3.5029,2.957,g
19.8584,2.6405,20.1575,g
61.5098,3.0746,9.437,g
33.2252,2.5735,15.71,g
35.3335,2.6702,5.8315,g
38.2407,2.73,3.9659,g
23.1262,2.608,16.232,g
19.6147,2.0881,29.2598,g
68.2982,2.8918,6.3982,g
55.7546,3.1534,3.628,g
28.1635,2.42,17.1252,g
47.409,2.8382,2.939,g
92.3308,4.0213,0.6513,g
21.942,2.2041,21.49,g
58.0216,3.1546,3.131,g
16.3134,2.3304,9.3001,g
81.3975,3.4263,22.7735,g
83.8355,2.7392,4.6236,g
33.3819,2.4742,44.799,g
27.6167,2.2833,89.7323,g
26.3542,2.7292,21.6256,g
48.451,3.0013,8.691,g
55.9196,2.7694,2.646,g
18.9053,2.4322,33.344,g
26.6994,2.4495,9.393,g
21.5359,2.3865,15.312,g
132.954,3.1524,0.36,g
33.1141,2.953,47.7302,g
59.6587,3.0461,12.842,g
27.5407,2.3865,34.6822,g
13.1759,2.1287,8.886,g
32.8483,2.5843,4.565,g
43.7585,2.9206,8.3799,g
40.8706,3.0004,5.528,g
38.5385,2.8235,0.583,g
21.4514,2.3979,8.6808,g
93.2945,3.2695,1.851,g
37.6898,2.8347,1.57,g
13.2566,2.1717,15.671,g
20.1487,2.1658,28.6298,g
58.1603,3.4278,1.6337,g
27.9279,2.5205,12.21,g
43.0781,3.083,23.884,g
23.2333,2.3118,26.733,g
20.4899,2.1123,70.14,g
41.1907,3.1144,27.354,g
22.7173,2.1446,5.2051,g
30.9955,2.8591,32.5233,g
73.1549,3.5849,0.3485,g
22.4688,2.4232,59.4506,g
57.0078,3.033,7.705,g
21.947,2.4864,40.4341,g
60.9338,3.1011,13.807,g
53.652,2.8564,26.4137,g
28.5807,2.7131,13.2274,g
35.6259,2.5866,3.3842,g
50.3888,2.642,4.4298,g
26.5832,2.683,31.498,g
59.2595,3.5391,3.5017,g
28.7044,2.7352,49.667,g
36.7909,2.8748,8.0884,g
61.5025,3.3567,5.245,g
97.4967,3.5947,0.6868,g
21.565,2.4594,3.896,g
48.4003,3.1793,8.0926,g
25.5063,2.747,0.864,g
33.3412,2.9566,8.787,g
40.6004,2.7969,13.3149,g
85.7919,3.3679,0.2999,g
37.4704,2.4829,1.9409,g
39.6308,3.1149,3.026,g
41.4656,3.3477,13.0923,g
54.123,3.0609,6.339,g
67.6685,3.0214,2.3677,g
12.9656,2.1383,12.9511,g
17.2647,2.2695,24.6514,g
22.5585,2.5804,9.3268,g
41.2802,2.8993,14.077,g
28.2082,2.4099,64.547,g
77.5475,2.9077,0.641,g
46.5015,3.0881,19.163,g
24.4953,2.3927,5.0927,g
28.6908,2.8724,39.0498,g
41.8044,2.7348,22.3263,g
37.1967,3.2235,10.3638,g
63.1254,2.8762,6.9492,g
19.9774,2.4099,3.2309,g
33.6985,2.736,3.9292,g
60.0416,2.8392,2.7873,g
27.651,2.8222,23.851,g
67.7932,3.0607,6.105,g
22.6234,2.7037,3.197,g
29.8203,2.6075,17.7272,g
35.6496,3.299,2.205,g
65.9033,3.1472,1.308,g
32.9572,2.3766,21.1247,g
22.7815,2.4362,3.0779,g
84.9009,3.801,1.419,g
21.6421,2.2122,45.9906,g
87.3122,3.672,1.902,g
34.9461,2.7528,82.8542,g
37.9953,2.5916,10.0049,g
20.8491,2.316,65.8518,g
19.5955,2.1658,23.6345,g
27.4308,2.6618,9.3801,g
28.9745,2.5441,5.1486,g
29.8548,2.9784,26.9856,g
31.2684,2.2589,22.4698,g
26.3595,2.754,8.299,g
37.3484,2.781,0.4092,g
80.1881,3.3555,19.3195,g
23.7533,2.8299,14.2238,g
12.6396,2.1973,61.162,g
38.7824,3.2171,21.516,g
12.611,2.1189,5.0155,g
18.9883,2.4241,31.8054,g
74.4488,3.6405,0.1431,g
80.0227,4.0087,8.5037,g
90.4766,3.6727,0.141,g
112.725,4.6295,2.337,g
19.1463,2.3395,87.1479,g
21.2211,2.07,56.2975,g
12.5842,2.3493,35.09,g
51.1294,3.0615,1.0956,g
89.5857,4.2249,1.2147,g
21.5956,2.6527,52.6428,g
19.2814,2.3064,33.6702,g
30.2969,2.8325,37.42,g
88.6127,3.6393,1.8554,g
23.1655,2.659,24.7031,g
46.4868,3.0158,1.2932,g
33.0503,2.5192,10.277,g
95.598,3.3732,4.36,g
44.3036,2.3918,31.877,g
73.7512,3.4787,6.3353,g
35.989,2.4713,16.9615,g
19.8471,2.567,62.9714,g
21.1295,2.224,41.1662,g
27.6075,2.9472,31.557,g
56.4198,3.066,3.093,g
25.235,2.7324,40.5095,g
15.8344,2.3075,46.6386,g
25.7066,2.4362,84.4922,g
38.6408,3.0147,5.6601,g
24.5779,2.616,6.3722,g
58.0284,3.32,4.187,g
18.4436,2.1508,88.0294,g
55.7401,3.3886,1.7908,g
34.7943,2.7771,42.3246,g
78.8116,3.5756,2.442,g
31.7847,2.9791,10.4772,g
70.69,2.8865,1.638,g
38.3052,2.4306,29.98,g
24.8332,2.5949,4.833,g
12.6191,2.1945,81.1099,g
17.9549,2.2122,6.7579,g
42.6788,2.721,1.891,g
63.9494,3.4432,2.881,g
19.8544,2.2589,2.602,g
30.4034,2.5635,52.828,g
85.6655,3.6516,1.8868,g
20.2097,2.5391,66.05,g
44.5086,2.8951,11.329,g
