@relation magic

@attribute FSize numeric
@attribute FAlpha numeric
@attribute FDist numeric
@attribute Class {g,h}

@data
2.4814,12.7713,167.346,g
4.2992,8.6871,174.871,g
2.6469,27.4221,207.379,g
2.3064,3.675,197.338,g
2.224,36.1992,39.0858,g
2.8901,25.9201,187.995,g
3.5286,1.5716,278.802,g
2.8299,12.113,294.051,g
2.1569,0.623,203.47,g
3.3167,1.7621,312.997,g
2.3856,1.1388,158.909,g
3.2234,2.359,279.095,g
2.567,22.6203,113.863,g
2.4023,23.933,114.229,g
2.2,44.1499,72.3157,g
3.6258,4.6584,396.921,g
3.1921,2.582,188.983,g
3.0654,0.864,240.629,g
3.6501,1.7098,242.774,g
2.2227,12.616,132.303,g
3.3085,3.584,235.042,g
2.3936,43.6228,137.283,g
2.9363,7.132,180.522,g
2.1973,11.338,97.8178,g
3.1342,25.431,55.8725,g
2.5447,9.1148,165.213,g
2.9605,3.585,262.112,g
3.5739,0.837,268.427,g
2.7608,85.9814,182.217,g
2.6395,6.123,145.628,g
2.3201,46.146,227.002,g
2.2878,10.796,134.341,g
3.0941,14.756,228.618,g
2.7235,6.2944,171.584,g
3.0137,0.7342,213.539,g
3.6543,3.374,73.2469,g
2.7697,60.3897,80.0757,g
2.9325,16.472,174.252,g
2.4289,22.106,128.517,g
2.6972,76.963,69.2419,g
2.6435,36.155,216.059,g
2.5072,12.1807,193.794,g
2.2068,6.025,255.658,g
2.7821,4.2283,189.155,g
2.3945,73.12,93.218,g
2.2636,11.9354,131.532,g
2.7063,23.2507,159.405,g
2.5605,3.412,164.139,g
2.9071,11.785,192.709,g
2.1351,41.248,174.191,g
2.2516,77.826,138.523,g
2.2589,43.535,142.056,g
2.7024,7.3785,278.506,g
2.7046,3.5068,182.331,g
2.5058,62.628,246.336,g
3.4049,6.8425,342.796,g
2.3395,5.4707,196.336,g
2.8366,88.1553,99.3337,g
3.1252,3.086,214.333,g
2.64,2.975,168.353,g
2.1383,81.9378,225.729,g
2.9101,4.6306,149.58,g
2.1351,49.544,70.4909,g
2.3865,22.0967,244.987,g
2.3043,22.9044,109.935,g
2.5366,26.4744,162.703,g
2.2799,15.5879,160.131,g
2.7084,0.27,237.162,g
3.0624,1.7685,336.706,g
2.5905,9.754,240.869,g
3.1455,1.7762,152.068,g
3.3711,1.8521,198.577,g
2.6613,4.565,158.238,g
3.8022,6.4966,240.349,g
2.8567,61.0741,139.291,g
