@relation magic

@attribute FLength numeric
@attribute FM3Long numeric
@attribute FM3Trans numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
56.0798,53.4382,-14.2908,3.3089,g
42.9026,-17.8472,11.9466,9.3727,g
28.0113,22.754,-10.1259,0.4067,g
37.7991,10.3083,-5.1025,16.353,g
32.1296,-31.883,-13.4996,1.325,g
105.392,79.342,33.292,3.107,g
100.591,-53.7804,18.4263,1.0996,g
32.3228,16.9448,11.1982,4.6127,g
53.1378,51.4626,11.9776,5.6592,g
27.0634,16.597,-5.5194,31.108,g
18.8406,13.6196,4.7478,4.5583,g
85.1522,-69.7393,-16.911,3.625,g
27.699,26.1077,9.2445,36.5252,g
31.4487,-9.897,9.2871,21.501,g
21.023,16.4509,8.5136,26.38,g
24.9502,-13.7489,-15.501,19.429,g
29.4333,-23.0879,-7.1125,32.312,g
28.7177,-21.6171,-5.5786,8.54,g
109.8,121.024,28.0065,73.6804,g
19.2624,-17.6264,-9.6021,56.5669,g
19.4433,15.6273,7.9397,64.4617,g
117.58,116.825,-52.7223,9.964,g
25.9887,-14.2246,-0.0001,15.89,g
34.8617,26.449,10.0203,9.2301,g
35.6259,35.3644,13.2177,3.3842,g
29.2635,23.0514,-13.5395,18.469,g
52.1403,20.9483,5.5489,0.1304,g
54.8891,41.3788,10.6542,3.2776,g
33.3046,31.6559,14.9136,28.9934,g
76.8511,27.0457,14.8198,1.1889,g
22.7309,18.6712,11.1305,23.725,g
20.1827,8.5433,10.6587,40.1965,g
62.2195,43.2756,-11.0521,1.5585,g
33.9582,22.7188,-6.709,4.042,g
60.8614,32.1837,-15.2941,1.277,g
95.5353,-74.6842,15.1027,6.552,g
86.3828,79.6906,-29.3995,2.5861,g
19.516,9.6528,-8.9162,85.9912,g
28.6317,16.3698,-19.1094,17.9029,g
82.6154,46.5931,-18.1965,1.979,g
34.4984,18.3466,-11.8347,6.43,g
20.6591,-17.1314,-3.5068,14.135,g
90.3223,76.4706,16.4178,3.7332,g
82.8129,28.3339,14.6997,2.569,g
39.6409,29.8386,18.8084,25.219,g
19.1447,-10.0808,11.5903,24.6315,g
49.6982,45.7653,-10.9282,5.0099,g
19.4408,13.179,-8.4303,2.2614,g
54.2633,29.631,-7.9085,11.112,g
35.8471,24.8861,9.0144,4.111,g
41.1112,28.156,-7.8675,10.6379,g
20.0133,-18.3527,-7.6625,3.443,g
65.4261,50.6903,-10.2465,8.129,g
55.732,47.0535,8.8235,3.4037,g
68.9717,-35.2578,-11.3402,6.3019,g
26.9151,5.415,16.5563,17.608,g
26.1461,24.9239,7.5687,11.047,g
30.7086,-15.5523,3.8274,12.3433,g
16.9257,7.9115,7.2225,88.6483,g
34.0176,-22.934,13.1319,2.68,g
18.9001,-6.7595,-5.9985,42.667,g
24.8648,17.5205,10.9938,21.252,g
67.2302,59.9437,10.6782,13.9446,g
75.6786,64.9628,-26.2573,0.455,g
12.591,0.9276,11.4311,29.7285,g
20.7757,-16.4601,10.1672,0.513,g
25.1576,11.1073,7.8713,47.777,g
29.0494,-18.7681,-7.9116,9.703,g
76.1909,48.078,-19.0207,1.64,g
28.448,-13.9394,9.5932,23.302,g
97.9746,72.8553,-6.7243,2.449,g
27.4186,-16.4776,8.2719,4.681,g
43.0287,41.8777,7.8542,21.8794,g
69.3249,50.122,21.7806,5.8399,g
32.5175,-21.3123,16.818,13.229,g
34.5681,-30.5672,-15.4752,1.3098,g
49.5844,18.6067,11.7506,6.6105,g
15.5126,-3.1136,8.9209,25.1926,g
70.6387,62.719,-20.3426,2.3853,g
73.2547,34.5939,16.6915,23.149,g
22.0289,15.4486,7.0626,26.823,g
27.9558,9.3493,9.0105,28.2901,g
28.6836,23.8686,9.5612,40.8052,g
54.4375,12.2947,16.1308,2.6399,g
66.9651,47.805,13.6933,5.807,g
65.667,62.0176,-11.0031,16.903,g
47.7165,-28.5835,14.0365,0.0597,g
21.3579,-17.1612,10.8257,65.052,g
28.3612,20.8569,-10.9452,61.7,g
18.5424,6.543,-5.2262,74.4102,g
33.8469,20.7403,7.3487,8.7272,g
19.1712,16.6594,-13.8541,84.4501,g
77.7362,75.3898,16.1544,4.3928,g
61.8217,47.814,-6.6789,1.251,g
28.3287,17.9473,-5.6699,18.23,g
23.4077,17.995,-16.8746,8.293,g
32.8653,17.788,-13.386,12.413,g
42.423,21.3706,7.6462,6.304,g
16.4126,-4.7165,-4.0419,81.6802,g
30.9023,24.5736,-9.8571,10.6775,g
27.4917,21.1234,1.7764,4.18,g
54.1441,26.3055,-11.6284,16.2512,g
38.5118,20.7481,-13.8634,3.7331,g
84.5375,68.4071,4.6755,6.7811,g
38.869,-14.2822,12.1884,3.008,g
77.8674,73.206,13.3796,2.451,g
28.7879,-18.9643,10.1365,88.9008,g
27.0224,-22.4288,-13.123,0.812,g
18.7354,16.5115,-7.031,46.1771,g
64.8668,79.6906,9.9647,14.2272,g
15.5071,2.6585,8.4352,77.7643,g
25.1106,8.8261,-7.4514,26.4601,g
30.7934,14.3274,-10.6237,5.0435,g
94.7727,79.6719,9.2957,2.012,g
32.7377,17.2871,-8.9872,15.842,g
