@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R1,7-9,11'

@attribute FLength numeric
@attribute FM3Long numeric
@attribute FM3Trans numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
23.8172,-6.4633,-7.1513,10.449,g
60.458,-33.8765,28.8315,8.292,g
107.338,89.5136,-20.0479,3.312,g
87.4217,68.3446,-24.0948,0.3647,g
66.1331,50.5528,-12.7104,11.5159,g
19.5793,17.3916,-4.9889,13.17,g
92.5854,-48.92,6.7814,2.5099,g
21.6891,-17.6826,10.2235,1.5485,g
60.7883,-19.3902,13.1675,5.097,g
36.079,-17.1724,8.4708,26.3559,g
25.2455,11.1564,-7.5994,81.6368,g
57.1656,44.4537,14.2419,12.267,g
26.3353,-15.3203,-12.6072,27.835,g
45.8894,22.4139,-9.317,1.7371,g
32.5377,21.2875,15.2061,27.297,g
64.4081,41.2256,-11.1654,1.0067,g
45.8732,-19.3437,2.9659,4.6366,g
56.2479,36.6852,8.7702,0.556,g
22.8274,-12.0722,-7.9568,33.5573,g
18.9671,11.5546,-8.1819,31.4965,g
53.5736,58.4267,14.9922,7.596,g
74.4746,76.5354,-9.3669,5.847,g
29.669,-21.0367,-13.4138,12.24,g
50.1872,53.802,-10.5164,17.073,g
40.9468,-21.5671,-8.7772,3.655,g
18.1069,11.3674,-4.8388,45.778,g
18.0762,-10.1699,-11.3148,20.997,g
47.1637,40.5783,-6.9531,7.132,g
57.8911,-36.4026,14.4477,8.217,g
39.2852,37.0007,-4.512,11.679,g
29.4748,-15.1459,11.1788,10.721,g
26.7751,14.3378,-11.7582,66.0281,g
62.3261,49.8049,7.7899,73.9247,g
38.7558,14.8127,-9.8638,3.952,g
30.7339,-25.4043,-12.3432,4.661,g
37.4443,27.5978,-18.7103,7.341,g
58.6495,-38.1196,-12.0952,6.845,g
17.8663,13.3886,3.5509,23.3338,g
12.641,10.0579,-7.2618,31.8219,g
97.3151,80.0073,22.2258,2.984,g
23.8686,15.2242,-11.02,68.464,g
12.9651,5.9191,-11.4327,56.521,g
87.8842,29.1815,19.7623,4.122,g
27.0944,22.1001,10.4483,1.0148,g
35.7748,19.358,-13.7786,2.073,g
30.3594,-13.2944,5.16,0.2976,g
45.2808,-24.6513,-5.7971,3.4724,g
19.2296,-7.5664,4.2152,74.6152,g
18.2899,13.8627,10.3602,23.367,g
28.6991,23.5966,-11.1086,21.0958,g
70.217,46.3781,11.8901,8.293,g
23.8241,18.1984,-10.7838,0.572,g
85.6145,85.5687,-6.1278,1.57,g
30.694,20.2385,19.8442,37.1267,g
43.2557,16.1869,-6.1091,9.697,g
36.7372,37.0206,-2.9455,27.593,g
19.6229,11.422,8.841,10.1102,g
22.0837,-18.8925,10.7376,14.4397,g
13.3286,4.3614,11.7594,76.331,g
34.8904,31.9063,9.6898,10.5513,g
13.0451,-5.3863,10.2706,81.2793,g
44.4555,30.4447,-15.4645,7.651,g
43.9432,23.7578,20.2932,18.3709,g
23.1475,22.5903,-15.253,81.7955,g
71.967,52.2989,30.2453,6.811,g
30.5845,20.0241,-9.7223,21.175,g
23.9569,0,-8.8582,66.733,g
56.3022,42.6022,-11.2161,1.2986,g
32.0868,-19.4625,5.2032,8.974,g
18.2452,5.7769,6.3507,18.0235,g
24.8746,20.5957,14.1454,48.493,g
33.3237,-17.7864,-3.2959,42.108,g
50.0446,41.2236,-8.8082,2.5772,g
59.0164,59.9175,15.4044,1.3107,g
63.9201,39.0716,13.4314,0.035,g
83.9635,83.0857,12.3989,3.0278,g
49.737,-34.0836,12.4266,19.187,g
32.2947,26.7207,-12.7504,39.8253,g
22.0498,-12.7693,-4.7993,9.097,g
74.1398,32.8741,-11.5187,0.7406,g
29.4732,20.7717,4.0614,19.1106,g
20.4478,-12.5683,-9.8304,22.3269,g
66.0896,71.255,7.1436,8.2426,g
32.7978,26.8723,-8.4259,5.203,g
68.7092,34.6695,9.0485,1.0624,g
47.0589,-25.0953,-9.1615,15.2609,g
25.2701,13.0698,10,29.746,g
77.4731,43.6268,-9.7957,4.233,g
26.0503,19.0003,-9.2827,16.2105,g
86.9174,59.957,9.1471,1.0866,g
61.9494,47.9741,10.9651,0.853,g
42.9224,20.0999,1.9651,7.817,g
55.0826,42.2168,15.1545,3.919,g
48.1057,29.7204,19.7497,13.0285,g
19.0792,9.164,5.0535,75.0613,g
26.9835,-12.7168,6.3876,6.259,g
33.8356,26.5376,-8.9685,23.115,g
43.814,24.9308,13.7095,19.0193,g
106.821,78.9675,8.1705,1.9326,g
22.9072,9.6974,-3.5992,9.7478,g
67.3067,77.4819,-21.5674,5.761,g
37.0078,24.3286,10.5076,3.6622,g
