@relation magic

@attribute FLength numeric
@attribute FSize numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
12.7436,2.1599,39.403,g
34.6692,3.0631,8.705,g
59.3081,2.6906,3.037,g
26.9117,2.3979,18.547,g
23.6595,2.6425,24.255,g
35.1602,2.7734,5.54,g
57.0031,3.1854,29.8,g
20.4837,2.2405,45.65,g
18.9028,2.3674,64.045,g
109.581,3.1392,0.834,g
57.113,2.7122,1.299,g
46.6118,3.1575,1.0271,g
21.5433,2.5447,38.911,g
42.8206,2.8686,22.0916,g
23.3911,2.5729,19.703,g
24.1451,2.4764,78.7982,g
22.1144,2.2695,5.197,g
20.7099,2.2822,27.282,g
13.0354,2.2028,36.275,g
12.7568,2.1287,16.342,g
44.6175,2.9292,10.913,g
12.9651,2.1055,32.5129,g
27.254,2.7948,3.7435,g
82.6154,3.5741,1.979,g
64.3124,3.2968,1.42,g
34.2426,2.8971,11.5931,g
30.9737,2.6395,30.144,g
52.6722,3.2845,7.2741,g
59.2995,3.1974,11.448,g
24.5103,2.0473,14.1769,g
82.1086,4.0291,0.171,g
43.3949,2.9694,5.069,g
32.115,2.4735,7.1086,g
35.3166,2.894,78.04,g
41.0084,2.6656,11.2425,g
13.0095,2.0774,63.742,g
39.3506,3.0406,9.66,g
64.0613,2.9042,5.813,g
13.3184,2.2055,42.856,g
18.1548,2.2967,89.6759,g
55.1056,3.5842,1.1528,g
84.9312,3.548,1.1373,g
20.3406,2.1775,34.3656,g
68.222,2.8179,8.2019,g
53.1993,2.9724,4.7161,g
22.4868,2.4241,5.507,g
35.6053,3.1762,8.714,g
19.2724,2.4241,17.8512,g
64.3675,3.1679,8.17,g
22.3819,2.4976,6.24,g
43.4518,2.6799,7.1147,g
82.1558,3.4339,0.3795,g
85.411,2.9566,6.244,g
82.4094,3.0848,0.617,g
65.7938,3.372,1.8622,g
34.7035,2.8663,5.354,g
63.3379,3.4176,5.324,g
43.5163,3.0803,9.4008,g
13.0755,2.1222,25.914,g
25.8147,2.3674,0.206,g
19.7259,2.5353,7.3544,g
13.226,2.1569,84.0609,g
85.4782,3.9318,1.9366,g
82.1714,3.6005,0.1989,g
25.5909,2.1414,16.345,g
15.6621,2.3139,3.957,g
24.7931,2.7536,5.178,g
83.738,3.6126,1.4349,g
29.9919,2.6875,4.0005,g
86.049,3.0276,21.984,g
33.6236,2.5871,21.903,g
19.2975,2.2405,26.997,g
32.9078,2.5185,6.8937,g
72.0033,3.8963,0.346,g
