@relation magic

@attribute FLength numeric
@attribute FM3Trans numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
36.744,8.1484,25.831,g
24.6879,11.1678,3.4541,g
68.4649,-15.0091,6.348,g
35.7241,-10.4595,2.029,g
21.4397,-6.2677,84.1039,g
22.1817,7.6057,26.4744,g
33.6576,7.786,16.8909,g
69.8407,26.9454,4.3842,g
36.8172,9.4098,22.259,g
80.9821,-17.342,3.3473,g
25.9904,3.284,19.6912,g
47.4667,-11.3089,11.762,g
93.0951,-24.2614,1.18,g
34.546,4.9595,3.103,g
71.4248,-12.2948,4.457,g
35.3426,5.1165,18.8214,g
20.9442,-6.0589,12.268,g
80.1873,17.4462,0.9381,g
19.9501,5.2361,4.317,g
27.5367,4.372,12.596,g
20.7378,-5.8867,79.647,g
13.2147,-10.9879,58.2994,g
110.144,-21.1601,2.5168,g
46.7713,8.0244,6.4139,g
21.3925,6.3725,19.2595,g
21.6375,11.358,21.088,g
26.5225,12.5408,4.1489,g
107.338,-20.0479,3.312,g
48.4137,14.7127,0.3636,g
23.3631,8.5463,3.5191,g
32.5654,-6.3803,6.423,g
63.805,-18.4904,0.1897,g
29.1455,11.0887,7.2306,g
20.8589,-9.4188,36.551,g
39.2852,-4.512,11.679,g
57.4159,12.2177,14.6429,g
81.9918,-16.5316,3.5195,g
56.8961,12.2418,1.38,g
24.1251,-14.5139,35.433,g
12.8702,11.4866,83.1822,g
57.6632,10.1916,0.5765,g
40.8246,10.1302,9.868,g
13.1298,-11.6259,21.8775,g
24.0709,-9.6807,16.2665,g
37.3516,-11.6112,1.713,g
19.9198,-10.4492,45.987,g
24.2748,9.4007,9.6844,g
77.3151,13.4308,1.125,g
20.0648,-12.2239,5.373,g
74.2408,-23.7214,6.4966,g
107.508,-36.017,4.5595,g
39.2466,5.3645,18.4082,g
33.6473,-8.573,30.914,g
44.9628,8.393,7.5196,g
18.1038,2.9306,20.707,g
44.2587,-15.61,2.5856,g
21.7295,8.2894,46.5411,g
45.467,-6.9127,5.028,g
21.4822,-6.4328,13.7252,g
41.9723,14.302,0.094,g
27.4746,2.8676,18.2815,g
17.3491,6.4011,63.7649,g
32.5571,16.3219,11.3434,g
41.7791,6.9861,1.8949,g
19.6801,10.5324,35.5121,g
30.2879,11.6333,34.1383,g
28.6134,9.8838,1.338,g
26.1952,6.4945,2.396,g
39.4622,3.4627,14.006,g
26.4583,4.2376,3.3458,g
64.0183,16.6488,2.9665,g
26.2082,-6.0277,61.722,g
25.6901,9.2902,37.165,g
42.6261,16.2289,9.162,g
35.3852,8.6959,7.802,g
28.7643,3.0541,6.445,g
53.5834,-17.1899,15.8766,g
31.1542,11.7729,40.24,g
57.9795,21.4798,3.968,g
86.2726,14.5319,5.2854,g
91.5247,-12.6335,5.0549,g
36.9557,-6.5638,2.511,g
73.5065,31.2638,12.7952,g
46.9295,5.4989,8.4913,g
20.547,9.2539,15.1457,g
35.8045,-10.198,4.8668,g
83.9924,-22.6464,2.012,g
28.209,7.6222,24.821,g
20.617,6.3557,44.111,g
34.1813,6.518,4.2283,g
18.2209,8.1034,3.7849,g
28.1746,7.5284,47.407,g
36.5413,11.1602,21.303,g
95.2785,17.4341,4.9547,g
26.6852,8.545,1.048,g
48.2679,-20.2748,35.118,g
39.5203,-8.8694,0.0449,g
48.3669,-9.8737,1.99,g
20.061,7.8105,5.825,g
80.0032,13.4333,9.041,g
59.5295,-4.7392,2.942,g
90.8484,20.7582,2.5821,g
81.1628,-19.4008,1.577,g
85.8049,-11.7304,1.3536,g
41.6134,-13.3061,18.278,g
43.7342,12.8509,5.3918,g
46.2571,8.7595,2.516,g
22.8025,8.281,4.3154,g
48.7737,16.0386,5.401,g
23.5773,-9.9121,36.7094,g
20.4322,9.5125,89.0757,g
26.611,-8.2908,29.5051,g
31.838,8.99,53.953,g
21.7287,-9.904,35.7407,g
26.564,1.8099,37.7264,g
19.5683,-7.9696,29.1592,g
46.0957,14.2109,9.399,g
38.5289,-15.6061,0.804,g
46.3641,-10.1393,10.4919,g
23.8851,15.855,17.1681,g
95.7927,-36.7337,0.68,g
67.1109,23.9805,2.7181,g
89.6414,21.9294,10.52,g
75.6635,21.5497,11.3729,g
20.8245,9.1903,10.312,g
26.7054,-7.1125,29.945,g
30.2651,4.2471,8.3257,g
53.2936,3.0146,4.709,g
91.9495,22.0904,4.1635,g
22.9908,-8.3812,37.988,g
53.5601,10.4452,4.9638,g
20.2916,-8.0088,67.912,g
32.7808,-5.3045,12.7713,g
18.8573,11.3681,88.8278,g
35.2812,-14.707,4.4652,g
25.579,16.8807,24.588,g
22.0241,3.5137,31.042,g
20.9043,-6.088,9.432,g
98.0655,-14.8935,0.712,g
66.9411,-9.8085,5.633,g
117.16,-14.3856,0.181,g
50.6985,24.9434,9.5042,g
21.3719,8.0277,10.636,g
23.1882,13.4023,9.004,g
23.0347,10.1494,89.1927,g
36.2882,-13.8824,0.1809,g
25.1812,-12.3468,36.429,g
35.0964,3.9355,1.837,g
100.493,21.4862,2.818,g
41.7932,-12.1405,13.6362,g
