@relation 'optdigits-weka.filters.unsupervised.attribute.Remove-V-R2,5-6,9,13,20,22,25,27-28,31,33,35,40,43-44,46,48-49,52,59-60,62,65'

@attribute Atr-1 numeric
@attribute Atr-4 numeric
@attribute Atr-5 numeric
@attribute Atr-8 numeric
@attribute Atr-12 numeric
@attribute Atr-19 numeric
@attribute Atr-21 numeric
@attribute Atr-24 numeric
@attribute Atr-26 numeric
@attribute Atr-27 numeric
@attribute Atr-30 numeric
@attribute Atr-32 numeric
@attribute Atr-34 numeric
@attribute Atr-39 numeric
@attribute Atr-42 numeric
@attribute Atr-43 numeric
@attribute Atr-45 numeric
@attribute Atr-47 numeric
@attribute Atr-48 numeric
@attribute Atr-51 numeric
@attribute Atr-58 numeric
@attribute Atr-59 numeric
@attribute Atr-61 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
0,8,7,0,12,12,0,0,14,12,0,0,0,0,0,0,12,0,0,7,4,13,0,5
0,14,16,0,8,0,15,0,15,16,14,0,11,0,0,15,0,0,0,13,10,12,0,7
0,13,13,0,1,3,13,0,15,15,0,0,13,0,11,5,9,0,0,11,1,13,4,8
0,1,0,0,6,16,0,0,13,16,0,0,9,0,0,7,5,0,0,9,4,15,16,1
0,11,3,0,16,10,0,0,14,16,1,0,8,0,1,0,12,0,0,6,7,12,6,3
0,16,8,0,11,4,6,0,8,15,1,0,2,0,9,1,9,0,0,8,6,14,5,3
0,6,0,0,13,0,12,0,12,0,6,0,12,0,15,0,15,0,0,7,4,15,0,0
0,11,0,0,3,5,0,0,16,9,0,0,16,0,16,3,1,0,0,9,2,14,12,6
0,5,0,0,16,0,4,0,1,0,0,0,0,0,0,6,0,0,0,16,9,10,6,2
0,16,9,0,9,0,15,0,0,13,0,0,0,0,0,0,16,0,0,7,10,10,0,3
2,14,2,0,16,1,6,0,0,5,0,0,0,0,7,16,0,0,0,16,16,16,16,2
0,16,14,0,7,2,9,0,15,9,8,0,6,0,0,0,10,0,0,8,0,13,0,9
0,15,4,0,10,2,14,0,13,0,8,0,12,0,15,4,15,0,0,12,2,11,2,0
0,16,12,0,11,3,13,0,15,15,0,0,5,0,6,13,16,0,0,13,1,14,11,8
0,11,0,0,15,0,4,0,16,14,0,0,7,0,0,0,9,0,0,10,5,16,3,5
0,4,0,0,2,8,0,0,12,4,0,0,16,0,16,11,15,0,0,9,3,11,13,6
0,15,1,0,12,15,3,0,16,4,15,0,13,0,16,16,11,0,0,13,0,7,2,4
