@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,3-4,7,10-11'

@attribute Height numeric
@attribute Area numeric
@attribute Eccen numeric
@attribute Mean_tr numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
6,18,500,2.25,4,1
5,10,0.4,8,1,1
4,72,4.5,2.57,7,1
10,340,3.4,1.71,59,1
10,1000,10,2.53,172,1
9,675,8.333,2.19,79,1
2,138,34.5,10.75,8,2
11,847,7,2.43,120,1
1,57,57,3.71,7,2
10,1520,15.2,2.17,208,1
2,34,8.5,6.67,3,2
6,162,4.5,2.78,9,1
7,105,2.143,3.09,11,1
11,99,0.818,6,8,1
9,495,6.111,1.92,77,1
9,126,1.556,1.78,9,1
8,280,4.375,1.66,64,1
9,720,8.889,1.85,114,1
8,672,10.5,1.79,101,1
7,98,2,18,1,1
8,208,3.25,1.77,44,1
9,324,4,3.02,61,1
6,276,7.667,2,30,1
11,231,1.909,3.96,24,1
10,380,3.8,2.83,59,1
11,1100,9.091,1.9,156,1
8,656,10.25,2.51,104,1
8,320,5,2.08,60,1
8,360,5.625,2.44,54,1
1,9,9,7,1,2
44,132,0.068,2.47,32,4
3,639,71,11.94,17,2
10,240,2.4,2.06,31,1
12,1008,7,1.91,149,1
10,630,6.3,2.2,84,1
1,75,75,11.5,6,2
9,306,3.778,2.1,42,1
12,96,0.667,46,1,1
12,84,0.583,5.22,9,1
14,252,1.286,3.33,12,1
11,1078,8.909,2.8,122,1
9,63,0.778,2.2,10,1
9,405,5,2.77,62,1
10,380,3.8,2.78,59,1
9,324,4,3.45,55,1
9,198,2.444,1.93,40,1
9,288,3.556,2.16,51,1
11,1375,11.364,3.03,196,1
9,360,4.444,2.85,61,1
9,396,4.889,2.97,60,1
9,423,5.222,2.75,57,1
7,294,6,2.61,33,1
6,66,1.833,1.3,10,1
11,1078,8.909,2.61,164,1
1,23,23,19,1,2
8,424,6.625,1.64,87,1
12,492,3.417,2.06,69,1
8,600,9.375,1.95,115,1
8,288,4.5,3.04,53,1
8,568,8.875,1.83,102,1
9,333,4.111,2.03,65,1
9,900,11.111,1.91,130,1
9,729,9,1.97,125,1
9,756,9.333,1.83,103,1
9,243,3,1.87,45,1
9,297,3.667,1.85,68,1
6,42,1.167,10,1,2
9,423,5.222,1.95,62,1
9,414,5.111,2.18,55,1
9,1098,13.556,2.73,152,1
1,36,36,4.2,5,2
8,256,4,1.81,57,1
9,423,5.222,1.99,86,1
9,324,4,3.16,58,1
10,1000,10,2.64,168,1
10,1010,10.1,2.92,153,1
12,1416,9.833,2.06,175,1
10,1260,12.6,2.98,193,1
8,168,2.625,2.92,12,1
7,14,0.286,2.25,4,1
7,98,2,2.67,12,1
11,99,0.818,5.75,8,1
9,324,4,1.75,65,1
9,720,8.889,2.09,115,1
9,297,3.667,1.84,57,1
8,88,1.375,1.63,24,1
11,814,6.727,2.21,98,1
8,424,6.625,1.63,86,1
11,682,5.636,1.62,92,1
1,84,84,19.25,4,2
8,320,5,2.7,54,1
8,328,5.125,1.92,60,1
7,301,6.143,3.48,21,1
22,1584,3.273,8.64,86,1
8,568,8.875,1.86,95,1
7,343,7,2.08,49,1
6,258,7.167,1.77,30,1
10,480,4.8,2.5,60,1
13,13,0.077,13,1,4
5,195,7.8,1.74,38,1
13,13,0.077,13,1,4
10,330,3.3,3.25,40,1
10,860,8.6,2.44,149,1
12,1236,8.583,2.55,171,1
18,3024,9.333,2.34,241,1
14,3038,15.5,2.12,383,1
10,350,3.5,1.87,63,1
9,405,5,2.17,52,1
9,558,6.889,2.23,87,1
9,360,4.444,3.08,59,1
5,195,7.8,2.46,39,1
14,1624,8.286,2.12,207,1
9,117,1.444,3.26,19,1
8,104,1.625,4.69,13,1
10,610,6.1,3.13,95,1
12,6000,41.667,2.45,646,1
11,374,3.091,2.78,49,1
6,594,16.5,1.46,123,1
3,81,9,1.77,22,1
12,4968,34.5,2.3,675,1
