@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,3,11'

@attribute Height numeric
@attribute Area numeric
@attribute Class {1,2,3,4,5}

@data
5,30,1
2,40,2
9,108,1
8,760,1
12,168,1
3,339,2
98,294,4
11,715,1
10,440,1
1,27,1
2,38,1
5,45,1
8,184,1
8,368,1
19,38,4
8,352,1
8,320,1
8,360,1
8,328,1
2,224,2
8,344,1
10,80,1
8,160,1
10,830,1
12,876,1
9,738,1
1,36,2
12,1392,1
9,837,1
7,63,1
10,380,1
9,324,1
11,737,1
9,738,1
11,946,1
9,54,1
10,980,1
11,1100,1
9,387,1
9,423,1
1,55,2
2,128,2
8,256,1
12,276,1
9,423,1
10,180,1
1,17,2
28,9240,2
212,98368,5
9,54,1
9,378,1
1,18,2
9,414,1
9,576,1
9,900,1
14,4200,1
8,360,1
7,217,1
7,406,1
10,190,1
11,88,1
9,207,1
9,729,1
12,1404,1
5,115,1
4,128,1
5,80,1
11,737,1
1,45,2
2,100,2
9,891,1
9,675,1
12,324,1
9,747,1
11,1276,1
8,24,1
8,472,1
9,189,1
8,664,1
8,48,1
9,324,1
8,64,1
21,42,2
8,568,1
9,981,1
8,512,1
9,1197,1
6,600,1
13,2821,1
14,14,4
6,534,1
11,781,1
25,10250,1
10,340,1
13,1963,1
12,792,1
7,7,4
8,368,1
9,837,1
9,1071,1
3,270,1
9,1548,1
8,1040,1
13,5317,1
12,1704,1
6,540,1
9,693,1
13,390,1
6,606,1
33,5280,1
13,754,1
9,117,1
12,444,1
5,580,1
7,322,1
8,864,1
5,250,1
47,13442,5
8,856,1
11,3707,1
8,488,1
38,15580,1
7,119,1
8,560,1
11,990,1
6,306,1
11,4543,1
17,1020,5
10,500,1
14,2604,1
3,9,1
7,84,1
7,182,1
8,40,5
9,2439,1
9,1782,1
7,455,1
6,102,1
11,2981,1
8,8,5
8,80,1
4,36,1
10,1000,1
7,35,1
8,1960,1
10,600,1
7,119,1
8,368,1
8,2104,1
1,10,1
7,63,1
4,24,1
6,168,1
14,406,1
8,88,1
6,78,1
7,287,1
6,66,1
4,48,1
9,207,1
5,65,1
1,27,2
9,153,1
7,112,1
10,530,1
6,42,1
7,126,1
9,414,1
8,216,1
7,28,1
7,231,1
7,56,1
7,189,1
8,376,1
9,198,1
9,45,1
8,648,1
5,75,1
7,287,1
10,490,1
7,35,1
6,66,1
9,504,1
5,25,1
9,369,1
7,98,1
7,63,1
7,336,1
7,147,1
9,486,1
9,351,1
6,42,1
7,98,1
7,273,1
7,147,1
7,77,1
7,112,1
7,147,1
7,56,1
7,77,1
9,270,1
5,55,1
7,147,1
7,266,1
7,98,1
6,84,1
6,144,1
6,78,1
7,98,1
6,90,1
6,42,1
8,320,1
9,234,1
7,112,1
9,153,1
7,1449,1
9,252,1
6,228,1
9,351,1
7,315,1
7,413,1
9,927,1
6,78,1
9,162,1
7,70,1
5,135,1
7,364,1
9,180,1
7,77,1
5,160,1
7,77,1
7,126,1
9,162,1
7,119,1
7,245,1
5,55,1
7,280,1
7,287,1
9,396,1
7,56,1
9,315,1
10,120,5
8,80,1
12,3252,1
16,336,5
8,128,1
53,2544,5
9,207,1
5,35,2
8,80,1
9,36,5
12,48,5
8,96,1
10,350,1
8,288,1
9,504,1
11,132,1
10,410,1
8,448,1
11,1474,1
1,19,2
8,64,1
7,161,1
8,96,1
9,2448,1
8,112,1
8,200,1
8,64,1
11,484,1
8,56,1
8,112,1
11,341,1
7,217,1
8,656,1
8,144,1
5,20,1
11,2640,1
8,160,1
9,144,1
6,84,1
8,168,1
11,594,1
8,96,1
9,306,1
7,105,1
10,360,1
8,176,1
11,2563,1
10,230,1
8,96,1
8,224,1
10,440,1
8,344,1
9,252,1
7,98,1
20,780,5
10,410,1
7,133,1
7,14,1
3,9,1
4,12,1
10,90,1
7,70,1
5,65,1
8,128,1
7,245,1
6,222,1
8,176,1
8,272,1
8,152,1
7,49,1
9,477,1
8,40,1
10,230,1
8,104,1
8,96,1
8,264,1
10,2620,1
8,296,1
10,300,1
10,260,1
10,580,1
10,2510,1
