@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R4,8-9,11'

@attribute Eccen numeric
@attribute Blackpix numeric
@attribute Blackand numeric
@attribute Class {1,2,3,4,5}

@data
1.4,15,31,1
19.667,84,84,2
2.333,81,146,1
10.222,237,733,1
9.222,212,634,1
8.444,210,603,1
0.375,10,10,1
24,60,65,2
4.111,175,299,1
2.333,55,144,1
4.889,182,371,1
5.222,116,316,1
8,8,8,2
8.5,11,34,1
0.636,46,77,1
0.818,47,63,1
9.8,383,818,1
7.636,242,758,1
11,241,729,1
6.625,152,416,1
5.167,174,491,1
4.714,33,195,1
2.625,57,113,1
9.333,218,598,1
3.875,81,196,1
13.556,372,1040,1
0.727,33,53,1
4,178,296,1
32,23,32,2
8.375,204,400,1
2.125,48,109,1
9.375,249,546,1
4.111,199,315,1
10.1,471,902,1
4.889,184,374,1
0.045,130,180,4
13.1,597,1115,1
61,61,61,2
15.25,222,634,1
4.778,146,357,1
1.52,7861,17452,5
9.8,439,863,1
9.111,280,649,1
6.4,329,618,1
4,198,300,1
3.667,136,292,1
0.667,28,96,1
2.625,52,125,1
2.1,73,159,1
3.4,132,303,1
77,31,77,2
13,632,1113,1
4.429,58,155,1
14,8,14,2
3.25,77,197,1
2.167,86,259,1
98,92,98,2
5,181,363,1
5.375,128,329,1
2.25,31,117,1
3.75,16,48,1
7.111,183,471,1
3.909,159,356,1
0.857,21,23,1
0.013,76,76,4
4.125,83,186,1
9.9,439,903,1
12.5,570,1078,1
5.833,112,198,1
14,13,14,2
0.75,55,71,1
0.727,62,88,1
14,13,14,2
4.333,156,324,1
8.545,266,625,1
11,278,736,1
5.083,184,546,1
6.25,101,320,1
17.286,230,547,1
0.8,54,80,1
0.8,46,71,1
1.222,34,99,1
10.25,235,551,1
1.333,46,108,1
7,161,515,1
2.889,70,223,1
4.125,103,257,1
5.375,170,328,1
4.778,176,348,1
8.091,166,691,1
3.1,93,252,1
0.059,17,17,4
12.1,448,1056,1
0.077,13,13,4
0.043,23,23,4
23.125,348,975,1
3.667,112,250,1
7.5,321,682,1
16.286,202,591,1
9.067,489,1526,1
25.857,400,961,1
7.417,458,939,1
29.857,1525,3625,1
7.8,80,169,1
28.5,179,446,1
2.125,72,116,1
7.6,360,607,1
11.625,241,621,1
11.889,344,843,1
11.692,617,1410,1
3.136,784,1287,1
16.5,328,922,1
14.667,637,1265,1
2.083,96,193,1
2.429,49,96,1
9.375,225,516,1
8.75,167,512,1
9,147,428,1
29.692,1437,3301,1
2.727,125,244,1
7.5,338,645,1
0.1,10,10,4
2.368,208,498,1
0.833,53,95,1
29.333,619,1455,1
1.4,8,21,5
19.7,482,1479,1
1.357,34,144,5
3.429,17,50,5
0.571,8,10,1
34,404,1172,1
0.7,11,42,5
27.1,509,1803,1
3.238,74,156,5
16.875,83,317,1
27.1,469,1510,1
23.4,441,1437,1
14.7,247,809,1
4.143,57,171,1
9.364,177,653,1
1.875,36,77,1
11.5,116,308,1
2.6,20,54,1
10.6,59,162,1
1.5,20,74,1
2.333,23,78,1
1.9,27,62,1
2,32,98,1
1.286,22,57,1
2,29,88,1
5.429,80,226,1
24.444,456,1501,1
3,50,125,1
1.571,28,71,1
6.571,114,322,1
2.8,29,66,1
26.2,469,1587,1
2.857,51,122,1
9.429,136,427,1
6,131,414,1
3.167,41,81,1
6.571,98,240,1
0.889,16,53,1
5.5,49,161,1
5.714,94,272,1
1.4,16,35,1
1.571,25,72,1
1.857,33,91,1
0.571,8,28,1
1.857,31,77,1
1.571,28,71,1
1.143,19,49,1
2.6,31,61,1
2.429,40,108,1
4.286,69,210,1
1.889,36,99,1
2.111,50,117,1
2.857,32,121,1
1.833,20,64,1
3.375,61,188,1
3,45,109,1
1.2,13,29,1
5,31,74,1
4.857,68,180,1
2.222,42,90,1
2.125,27,82,1
4.714,61,195,1
3.143,38,136,1
3.714,35,114,1
1.286,22,47,1
1.222,22,73,1
7.286,101,325,1
2.857,50,98,1
2.143,36,105,1
4.889,95,307,1
1,15,47,1
1,9,15,1
2.714,53,133,1
0.6,8,15,1
5,66,230,1
2.857,35,83,1
9.111,181,415,1
0.8,10,14,1
4.714,81,221,1
2.125,31,120,1
3.286,45,133,1
3.286,52,135,1
6.714,85,251,1
9.667,96,259,1
6.429,75,211,1
1.429,24,55,1
2.111,47,110,1
6.4,67,157,1
6.75,79,317,1
7.714,115,331,1
3.5,88,170,1
0.75,60,163,5
1.625,46,102,1
2.25,61,128,1
3.75,108,189,1
1.571,9,38,5
2.375,59,152,1
1.333,40,108,1
2,67,177,1
2.909,118,350,1
0.619,46,84,1
0.385,21,36,5
3,65,176,1
1,29,74,1
0.5,14,19,5
3.3,105,250,1
1,28,71,1
1.25,34,74,1
4.778,133,380,1
3.75,92,236,1
2.444,53,118,1
27.111,520,1758,1
1.125,33,71,1
3.889,120,254,1
2.111,67,142,1
2.5,102,170,1
1.625,42,103,1
