@relation page-blocks

@attribute Height numeric
@attribute Blackpix numeric
@attribute Blackand numeric
@attribute Class {1,2,3,4,5}

@data
10,172,445,1
13,160,462,1
7,15,57,1
8,115,316,1
8,306,1143,1
10,889,3646,1
11,153,437,1
7,23,56,1
5,9,15,1
11,405,902,1
6,37,100,1
8,114,424,1
7,39,86,1
7,21,54,1
6,19,51,1
6,53,95,1
7,26,43,1
12,354,960,1
9,148,495,1
17,2162,4117,1
7,33,91,1
23,341,808,1
9,120,349,1
11,778,2038,1
7,59,126,1
9,144,322,1
9,107,212,1
6,16,43,1
12,453,1572,1
6,19,42,1
13,1724,3029,1
10,378,878,1
8,51,109,1
8,271,1112,1
8,219,465,1
12,353,790,1
11,611,892,1
5,240,529,1
8,265,534,1
8,311,628,1
7,17,49,1
9,159,272,1
4,7,7,1
10,575,1103,1
10,30,30,1
9,226,513,1
5,17,39,1
8,365,693,1
9,41,121,1
10,321,897,1
10,1052,1916,1
7,251,549,1
10,304,695,1
23,8027,8533,1
8,18,40,1
10,449,1293,1
14,580,759,1
10,261,766,1
11,279,627,1
9,704,3052,1
7,390,1126,1
10,174,487,1
3,8,8,1
7,64,120,1
7,119,328,1
11,342,693,1
9,268,518,1
7,60,140,1
7,20,62,1
5,164,354,1
16,2508,4219,1
10,449,874,1
4,13,56,1
7,246,1042,1
10,68,127,1
9,58,129,1
8,141,382,1
24,6828,7295,1
10,121,253,1
8,595,2307,1
8,325,1156,1
7,66,296,1
12,284,784,1
7,38,112,1
8,13,25,1
13,1019,1934,1
9,235,597,1
9,41,108,1
8,56,134,1
14,181,268,1
10,368,900,1
7,31,75,1
16,2514,3820,1
7,27,117,1
18,563,1190,1
8,100,227,1
6,249,531,1
6,48,82,1
12,812,1965,1
27,2610,4860,1
14,2094,3262,1
5,19,45,1
7,34,89,1
10,301,373,1
11,93,176,1
5,23,53,1
14,570,750,1
6,12,18,1
11,146,196,1
9,594,2013,1
11,102,197,1
5,45,74,1
9,712,2590,1
9,361,1537,1
10,60,62,1
7,63,186,1
7,9,28,1
11,337,915,1
9,140,361,1
9,218,679,1
8,45,91,1
9,233,709,1
11,98,198,1
14,1050,1804,1
7,82,210,1
13,852,1296,1
7,31,72,1
8,73,154,1
9,151,384,1
5,25,42,1
9,151,321,1
17,164,316,1
7,122,285,1
7,58,156,1
12,132,228,1
10,758,2980,1
8,58,134,1
7,16,49,1
8,390,836,1
7,87,391,1
9,88,196,1
7,38,124,1
10,35,89,1
8,30,62,1
9,119,286,1
15,294,610,1
11,133,366,1
9,407,1324,1
8,469,1764,1
6,28,61,1
8,119,336,1
9,354,1077,1
28,3270,6057,1
9,409,905,1
8,137,532,1
8,244,500,1
9,344,667,1
10,592,1390,1
5,27,39,1
9,91,244,1
10,47,110,1
6,24,75,1
12,207,376,1
11,681,1470,1
9,84,238,1
7,50,124,1
7,30,90,1
4,52,117,1
8,55,128,1
25,851,1868,1
9,793,3063,1
9,130,352,1
8,48,182,1
11,145,428,1
6,15,32,1
8,72,189,1
23,2885,3036,1
7,27,74,1
7,66,254,1
8,398,1607,1
6,15,36,1
11,293,492,1
10,91,145,1
9,205,483,1
8,277,485,1
7,24,93,1
10,105,221,1
3,11,11,1
10,99,118,1
14,1664,3168,1
7,32,79,1
11,269,779,1
9,46,108,1
8,69,217,1
9,106,187,1
9,611,1202,1
7,62,106,1
9,55,114,1
8,61,124,1
82,7618,12923,1
9,38,115,1
12,44,141,1
9,94,181,1
7,68,199,1
8,90,217,1
36,2126,4382,1
8,48,151,1
10,335,918,1
10,159,356,1
8,99,178,1
7,210,668,1
9,126,345,1
10,76,172,1
25,416,1328,1
8,143,377,1
6,56,144,1
6,16,24,1
6,150,493,1
10,57,169,1
8,57,187,1
7,30,76,1
7,30,68,1
1,7,31,1
6,47,150,1
8,116,258,1
11,55,99,1
9,567,1172,1
10,378,1423,1
9,811,3208,1
3,7,7,1
9,546,1237,1
10,575,1107,1
5,110,397,1
9,48,108,1
7,9,19,1
10,124,283,1
12,1409,2771,1
10,30,104,1
7,27,106,1
8,93,179,1
12,1079,2130,1
7,33,77,1
24,5363,10409,1
7,33,103,1
7,103,247,1
8,51,97,1
9,136,327,1
8,286,1043,1
7,15,28,1
6,15,23,1
8,246,858,1
12,239,559,1
5,8,11,1
7,19,42,1
10,97,136,1
10,508,1108,1
9,186,884,1
8,26,73,1
9,240,658,1
7,143,354,1
4,10,12,1
8,247,1111,1
9,180,299,1
6,31,80,1
8,18,24,1
16,1956,3225,1
6,87,317,1
9,331,801,1
7,19,77,1
11,431,891,1
7,32,106,1
10,14,36,1
7,65,225,1
11,324,930,1
24,2683,2859,1
16,1157,2198,1
10,132,284,1
10,73,157,1
9,196,412,1
10,201,499,1
11,619,1635,1
13,1080,2371,1
5,25,55,1
7,45,110,1
7,61,129,1
17,1548,1666,1
9,69,231,1
6,27,46,1
8,460,1621,1
8,473,969,1
8,246,753,1
8,370,1220,1
4,18,38,1
10,173,375,1
11,649,887,1
13,1820,4453,1
12,1833,3818,1
7,512,1854,1
9,199,821,1
7,53,151,1
5,75,319,1
10,733,3150,1
7,65,139,1
8,20,44,1
7,36,105,1
9,260,650,1
8,42,98,1
8,38,72,1
8,47,184,1
8,122,364,1
11,39,41,1
8,77,218,1
9,260,589,1
8,84,161,1
7,23,57,1
9,276,639,1
6,13,24,1
24,3799,4075,1
14,495,800,1
7,28,59,1
10,589,1069,1
14,1902,2979,1
7,240,535,1
9,46,143,1
8,21,56,1
9,127,269,1
7,20,62,1
11,483,1616,1
6,25,52,1
7,88,256,1
10,118,249,1
8,15,28,1
1,7,40,1
9,286,804,1
9,87,194,1
7,48,134,1
9,305,546,1
9,887,3257,1
10,118,163,1
7,37,98,1
7,27,67,1
8,169,593,1
5,58,216,1
4,28,71,1
8,564,1213,1
18,145,203,1
7,80,223,1
7,62,146,1
9,559,1542,1
12,59,93,1
7,19,117,1
8,44,95,1
9,787,3190,1
10,128,268,1
8,73,146,1
12,142,364,1
9,351,845,1
9,189,746,1
8,16,40,1
17,147,289,1
8,147,431,1
5,7,12,1
11,607,1323,1
9,48,108,1
8,25,54,1
10,246,682,1
12,515,1449,1
6,87,168,1
9,124,256,1
11,350,1007,1
11,149,481,1
8,47,85,1
9,269,619,1
10,559,2139,1
11,520,732,1
8,38,89,1
6,67,182,1
6,193,405,1
7,53,130,1
8,242,1246,1
8,17,53,1
6,26,71,1
10,152,281,1
17,2355,3680,1
9,92,162,1
8,26,31,1
5,46,122,1
10,40,80,1
8,28,53,1
9,283,567,1
8,106,248,1
7,32,107,1
10,48,160,1
6,14,24,1
5,22,40,1
11,198,508,1
12,343,984,1
7,80,200,1
8,85,214,1
3,13,13,1
9,45,185,1
9,66,162,1
7,279,1224,1
10,133,263,1
8,354,687,1
9,39,147,1
9,308,621,1
13,1475,3049,1
11,48,88,1
9,71,235,1
7,340,850,1
8,86,182,1
7,93,301,1
8,191,565,1
9,452,1033,1
9,106,277,1
24,2168,2282,1
8,154,472,1
10,99,201,1
13,1492,3591,1
9,106,143,1
4,16,42,1
25,791,2198,1
8,40,90,1
11,338,1061,1
17,1671,1802,1
8,15,23,1
7,79,259,1
8,60,107,1
14,1636,2682,1
11,289,567,1
10,92,157,1
13,1421,3095,1
9,103,250,1
10,278,339,1
7,29,77,1
5,32,70,1
8,143,383,1
5,13,26,1
9,658,2694,1
6,49,151,1
7,54,103,1
1,20,104,1
11,297,943,1
9,99,311,1
25,2181,3988,1
9,261,457,1
5,24,49,1
10,193,586,1
8,74,284,1
7,142,337,1
9,97,274,1
9,80,246,1
6,42,110,1
10,72,205,1
8,103,177,1
6,154,541,1
9,57,116,1
11,589,1152,1
10,116,389,1
5,39,61,1
6,30,93,1
7,34,82,1
10,258,628,1
14,693,1248,1
9,326,1508,1
11,591,1872,1
8,23,56,1
9,243,643,1
5,22,38,1
11,132,363,1
8,326,659,1
9,215,764,1
9,250,679,1
5,9,9,1
10,99,224,1
8,73,248,1
10,186,396,1
9,47,151,1
9,230,494,1
1,15,35,1
11,66,108,1
24,2063,3987,1
9,150,343,1
8,61,112,1
10,109,290,1
9,82,291,1
8,87,204,1
9,282,496,1
13,1046,1887,1
8,106,230,1
10,55,182,1
7,73,200,1
8,59,101,1
5,53,174,1
10,98,233,1
9,295,755,1
8,230,467,1
13,469,1039,1
7,74,346,1
5,30,71,1
24,1718,3822,1
9,178,701,1
8,720,1382,1
12,773,1857,1
10,506,995,1
14,1341,2022,1
9,72,192,1
7,18,49,1
8,58,197,1
9,189,722,1
5,218,455,1
13,163,484,1
8,42,123,1
9,107,143,1
6,16,33,1
8,715,1389,1
7,262,476,1
9,9,9,1
10,492,1974,1
10,38,124,1
1,8,10,1
7,15,42,1
28,623,895,1
6,114,385,1
12,418,946,1
8,100,237,1
6,183,331,1
7,191,692,1
11,527,1752,1
8,58,160,1
3,8,12,1
11,81,254,1
9,866,1961,1
12,172,556,1
7,109,266,1
9,832,3214,1
8,183,472,1
8,15,23,1
11,76,173,1
10,575,2013,1
8,26,57,1
10,128,301,1
5,36,73,1
7,39,121,1
7,141,359,1
6,162,402,1
10,1151,2097,1
10,147,289,1
1,20,47,1
7,197,929,1
8,119,236,1
6,416,1400,1
7,106,274,1
10,64,197,1
9,75,213,1
8,28,57,1
8,84,150,1
7,60,166,1
12,81,94,1
7,40,92,1
7,319,718,1
7,213,640,1
8,95,236,1
6,34,59,1
9,238,575,1
12,544,765,1
8,20,36,1
8,97,326,1
6,45,136,1
9,243,776,1
71,227,659,1
5,64,192,1
9,217,978,1
3,7,7,1
11,341,1045,1
4,55,92,1
8,47,101,1
11,130,244,1
6,20,76,1
6,25,61,1
9,152,307,1
8,101,208,1
8,32,109,1
7,137,285,1
9,85,211,1
8,270,883,1
14,422,1054,1
7,45,140,1
9,308,761,1
6,41,118,1
11,232,629,1
8,107,326,1
16,2357,3685,1
6,82,531,1
7,93,387,1
6,155,310,1
7,9,35,1
7,43,119,1
12,182,332,1
8,27,64,1
10,533,2027,1
9,105,232,1
11,66,111,1
9,440,1485,1
5,41,120,1
10,163,434,1
7,34,109,1
10,284,1160,1
12,153,215,1
7,48,92,1
5,11,30,1
9,694,1309,1
8,32,66,1
8,236,549,1
10,113,306,1
9,153,383,1
10,133,290,1
10,204,336,1
