@relation page-blocks

@attribute Height numeric
@attribute Lenght numeric
@attribute Class {1,2,3,4,5}

@data
8,44,1
13,58,1
9,508,1
7,9,1
10,11,1
7,13,1
7,43,1
6,12,1
10,40,1
8,275,1
5,14,1
10,13,1
10,61,1
19,455,1
13,354,1
8,36,1
9,238,1
13,228,1
7,41,1
7,109,1
9,19,1
6,95,1
7,14,1
9,23,1
8,16,1
12,497,1
12,285,1
10,259,1
5,4,1
10,79,1
10,126,1
10,96,1
11,261,1
18,24,1
7,2,1
7,15,1
10,46,1
10,430,1
10,31,1
13,38,1
11,94,1
5,12,1
6,4,1
10,126,1
6,59,1
10,99,1
10,47,1
9,167,1
9,19,1
1,60,1
9,45,1
7,19,1
8,37,1
9,80,1
9,56,1
9,33,1
10,6,1
10,19,1
9,161,1
14,203,1
8,86,1
8,14,1
11,85,1
8,508,1
8,10,1
13,37,1
11,100,1
8,13,1
9,75,1
11,42,1
6,4,1
10,34,1
10,44,1
9,32,1
8,58,1
7,40,1
9,151,1
10,101,1
10,234,1
6,13,1
12,115,1
9,20,1
1,7,1
8,1,1
8,42,1
9,311,1
8,20,1
11,33,1
16,227,1
8,14,1
25,491,1
6,31,1
9,331,1
9,166,1
8,46,1
15,61,1
5,94,1
8,25,1
9,41,1
8,15,1
10,38,1
8,22,1
9,17,1
7,32,1
6,8,1
8,271,1
8,14,1
9,353,1
10,97,1
17,24,1
8,15,1
6,13,1
11,183,1
10,12,1
9,38,1
7,144,1
6,7,1
5,36,1
8,30,1
9,510,1
8,63,1
8,5,1
12,8,1
7,223,1
6,184,1
59,84,1
14,185,1
3,424,1
8,40,1
11,104,1
8,12,1
7,30,1
10,35,1
7,33,1
10,46,1
7,43,1
9,21,1
10,271,1
7,11,1
6,93,1
5,14,1
5,4,1
7,5,1
5,6,1
9,39,1
24,209,1
8,75,1
74,183,1
10,58,1
6,54,1
7,23,1
8,6,1
8,12,1
10,53,1
7,23,1
9,20,1
11,8,1
5,8,1
12,71,1
7,121,1
9,40,1
6,49,1
