@relation penbased

@attribute At12 numeric
@attribute At14 numeric
@attribute At15 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
43,91,38,0
85,100,19,0
72,100,3,0
92,85,0,0
79,100,39,0
60,93,25,0
70,100,28,0
73,100,13,0
74,100,5,0
53,93,32,0
38,88,43,0
51,93,38,0
100,68,29,0
99,100,0,0
55,89,21,0
76,100,39,0
79,100,30,0
27,66,62,0
44,84,49,0
100,81,31,0
59,89,30,0
28,71,57,0
40,81,49,0
55,100,26,0
69,100,0,0
79,95,0,0
100,84,7,0
79,100,5,0
56,94,36,0
69,100,12,0
100,100,14,0
60,90,11,0
59,97,36,0
100,91,0,0
56,92,18,0
70,100,35,0
76,100,0,0
73,100,16,0
46,86,48,0
96,79,0,0
55,95,39,0
52,91,44,0
94,97,10,0
45,82,37,0
64,91,9,0
96,100,0,0
61,100,29,0
61,90,26,0
45,87,34,0
100,90,3,0
100,91,0,0
15,60,70,0
62,100,36,0
89,100,7,0
60,96,32,0
70,100,5,0
100,91,0,0
69,100,18,0
100,90,0,0
71,100,20,0
42,79,36,0
44,80,23,0
77,99,0,0
12,48,88,0
81,100,1,0
67,100,39,0
76,100,24,0
42,81,46,0
71,100,16,0
75,100,13,0
73,100,4,0
82,100,15,0
51,90,27,0
53,85,45,0
65,95,13,0
70,100,4,0
95,100,0,0
71,100,0,0
95,100,0,0
64,100,25,0
95,100,2,0
100,96,11,0
42,83,58,0
100,74,32,0
60,96,16,0
0,21,100,0
100,64,8,0
95,100,0,0
71,100,0,0
12,52,88,0
49,93,3,0
43,88,40,0
91,100,0,0
67,100,27,0
35,74,42,0
92,100,0,0
100,100,8,0
81,100,13,0
67,100,34,0
46,81,21,0
47,100,36,0
83,100,0,0
65,94,0,0
51,87,45,0
53,87,11,0
59,96,25,0
100,95,0,0
84,100,2,0
100,76,1,0
100,83,12,0
66,90,23,0
69,100,5,0
100,70,11,0
14,55,85,0
65,100,33,0
79,100,0,0
42,80,40,0
63,100,37,0
100,73,0,0
100,99,10,0
100,60,5,0
72,100,18,0
44,85,55,0
66,78,0,0
31,72,66,0
78,100,7,0
77,100,16,0
94,45,36,0
53,93,51,0
69,100,20,0
26,68,67,0
20,60,79,0
92,95,4,0
41,82,64,0
85,100,0,0
88,100,13,0
87,100,0,0
100,92,0,0
65,97,8,0
72,100,0,0
0,22,78,0
60,94,26,0
60,98,32,0
33,76,48,0
100,56,0,0
30,78,63,0
100,89,11,0
100,100,0,0
67,100,21,0
68,100,16,0
