@relation penbased

@attribute At2 numeric
@attribute At8 numeric
@attribute At11 numeric
@attribute At14 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
90,20,57,73,0
100,0,100,90,0
78,3,99,100,0
100,6,100,64,0
96,0,100,100,0
81,17,85,98,0
52,58,74,100,0
88,0,100,100,0
71,12,84,100,0
100,0,100,51,0
100,0,100,98,0
100,0,100,90,0
96,0,100,84,0
87,0,82,100,0
93,0,85,100,0
91,0,86,100,0
61,31,67,69,0
93,0,95,100,0
99,0,83,99,0
62,32,65,70,0
93,0,100,100,0
99,2,100,82,0
49,31,75,90,0
75,0,90,100,0
89,0,100,100,0
97,14,95,65,0
100,0,100,79,0
100,22,95,61,0
77,0,100,79,0
89,0,100,100,0
84,0,100,100,0
87,9,70,95,0
100,25,81,53,0
96,0,100,100,0
95,4,100,100,0
58,17,72,100,0
98,10,88,70,0
91,0,100,100,0
100,0,100,93,0
100,0,100,86,0
99,0,100,99,0
91,0,100,100,0
54,17,89,100,0
83,0,100,100,0
100,0,95,93,0
85,0,100,85,0
92,0,81,100,0
88,0,85,100,0
78,19,99,63,0
87,0,100,100,0
100,15,94,64,0
88,0,100,100,0
100,0,39,71,0
45,30,72,88,0
95,29,69,50,0
100,0,93,83,0
100,0,100,75,0
97,0,100,100,0
98,100,33,31,0
74,14,67,78,0
81,0,100,88,0
100,0,100,91,0
82,0,100,86,0
100,0,100,86,0
86,0,97,100,0
79,0,100,86,0
65,0,100,100,0
100,0,100,92,0
100,0,100,92,0
83,0,100,100,0
100,0,100,87,0
68,10,82,100,0
100,0,100,100,0
83,0,89,100,0
100,0,92,85,0
84,7,93,100,0
96,0,100,100,0
75,0,85,100,0
100,0,100,98,0
96,0,100,100,0
89,0,85,100,0
87,0,100,81,0
67,16,96,100,0
63,4,79,100,0
100,0,100,88,0
81,10,92,100,0
92,0,100,100,0
92,43,13,68,0
95,0,100,100,0
100,0,100,86,0
82,7,80,100,0
57,22,61,99,0
96,0,100,100,0
75,0,100,70,0
