@relation 'penbased-weka.filters.unsupervised.attribute.Remove-V-R4-5,9-10,13,16-17'

@attribute At4 numeric
@attribute At5 numeric
@attribute At9 numeric
@attribute At10 numeric
@attribute At13 numeric
@attribute At16 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
50,72,4,17,32,100,5
100,100,81,38,32,17,3
100,0,15,53,0,0,1
42,16,100,40,44,73,0
67,97,14,70,96,0,9
54,59,11,28,28,100,5
100,100,82,50,42,13,3
100,26,47,0,38,58,8
76,0,91,29,74,0,4
100,25,80,62,64,0,9
88,2,51,0,55,7,6
100,55,0,0,65,1,2
57,88,15,0,12,100,5
67,0,100,32,42,62,0
41,12,88,29,72,91,0
60,0,89,28,68,69,0
65,0,100,57,81,25,0
60,53,13,29,27,100,5
77,0,100,47,87,0,4
71,100,0,71,74,0,9
83,0,71,0,86,98,0
99,93,39,17,0,38,7
100,100,90,36,49,12,3
88,79,38,30,34,0,1
84,0,80,33,79,0,4
91,100,86,52,43,0,3
79,26,1,0,58,19,6
74,40,84,91,43,0,4
100,100,92,38,49,0,3
90,5,100,70,68,0,4
100,21,68,0,29,81,8
100,52,32,0,50,39,7
61,59,59,21,48,0,1
100,24,69,8,45,64,8
100,80,54,45,63,4,3
44,33,100,65,22,20,0
78,25,30,0,65,21,6
67,42,100,98,65,0,1
66,64,10,16,43,94,5
100,100,32,0,70,23,7
100,56,66,42,73,0,3
100,63,0,0,59,3,2
77,100,2,59,44,0,9
73,100,0,0,90,95,8
94,68,94,62,51,0,2
100,0,60,0,89,92,0
100,57,92,68,38,0,9
64,4,100,46,12,25,0
94,38,0,18,55,24,6
100,32,44,7,52,3,1
87,100,85,20,0,2,1
52,77,0,0,14,100,5
49,70,14,38,49,100,5
77,71,78,80,60,0,9
100,4,63,0,27,78,8
29,43,66,57,50,74,8
38,45,100,57,37,72,0
57,60,12,16,30,100,5
100,79,67,48,62,10,3
100,0,91,0,46,87,8
100,90,75,51,60,1,3
79,18,64,62,43,19,9
100,100,69,20,30,36,7
100,85,100,38,41,4,3
2,68,81,75,7,22,0
100,100,51,0,56,55,8
