@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R2-4,6'

@attribute Ao numeric
@attribute Dcl numeric
@attribute Iy numeric
@attribute Class {0,1}

@data
0.867,1.3,1.041,0
0.609,0.474,1.427,1
2.271,1.699,-0.369,1
1.405,2.477,-0.701,1
2.479,1.064,-0.317,0
0.548,0.795,0.836,1
0.688,1.513,0.699,1
0.514,0.49,-0.625,0
0.594,0.326,-0.808,1
2.083,0.492,0.283,0
0.647,1.387,0.556,1
2.167,0.646,0.475,0
-0.275,-0.111,0.09,0
0.502,0.188,0.151,0
0.496,0.514,1.117,1
0.581,2.031,1.122,1
0.437,-0.109,-0.082,0
0.274,0.403,1.157,0
0.463,0.654,1.13,1
0.917,1.098,2.418,1
3.191,-0.499,-0.204,0
1.955,-0.489,0.2,0
2.129,-0.441,0.434,0
1.117,0.534,-0.587,1
0.804,-0.156,0.109,0
1.566,1.314,0.474,0
2.408,-0.62,-0.267,0
1.237,0.848,1.092,0
0.552,0.725,1.926,1
0.987,2.322,-0.656,0
0.766,-0.584,2.249,1
3.162,-0.393,-0.255,0
0.779,1.472,1.167,1
1.313,1.405,-0.574,1
0.915,2.528,-0.668,1
1.903,-0.309,0.223,0
1.027,2.416,1.356,0
2.063,-0.427,0.231,0
1.505,0.909,0.437,0
2.6,-0.411,0.303,0
1.16,1.638,0.621,0
1.929,2.448,-0.626,0
0.456,0.442,-0.498,1
0.614,0.964,2.308,0
1.281,0.901,1.925,1
2.725,-0.47,-0.186,0
1.239,0.352,0.147,0
1.716,-0.243,-0.108,0
2.496,-0.402,0.24,0
0.667,1.827,1.038,0
0.688,-0.133,-0.089,0
0.336,0.45,-0.608,0
0.779,0.25,-0.105,0
0.552,0.265,0.6,1
1.489,1.166,0.601,0
0.378,1.547,0.796,1
1.931,1.916,-0.618,0
1.717,0.516,0.312,0
2.272,-0.433,-0.186,0
0.184,0.869,-0.496,1
3.177,-0.509,-0.212,0
0.459,0.986,0,0
0.961,1.246,0.865,1
0.872,0.503,1.212,0
0.584,1.436,0.621,1
2.025,0.903,0.524,1
1.811,0.896,0.463,0
1.501,0.56,1.513,0
2.693,-0.415,-0.174,0
1.064,1.877,-0.556,1
0.597,0.979,2.278,1
2.197,1.393,-0.351,0
0.363,-0.091,0.09,0
2.686,-0.421,0.465,0
0.719,-1.064,2.032,0
0.786,0.953,-0.399,1
0.672,-0.1,0.078,0
0.598,1.368,0.634,0
0.875,0.376,-0.095,0
1.734,0.932,0.734,0
2.844,-0.424,0.422,0
0.611,0.697,2.181,0
1.513,2.206,-0.545,0
0.411,0.718,-0.632,1
-0.254,0.12,0.135,0
3.66,-0.606,-0.343,0
0.809,-0.855,1.768,1
1.252,0.462,0.437,0
3.087,-0.664,-0.29,0
0.335,0.508,1.478,0
0.656,0.181,0.117,0
1.091,-0.152,-0.072,0
0.49,0.812,2.008,0
1.573,0.795,0.349,0
1.38,0.337,-0.154,0
0.45,1.335,1.317,1
1.078,1.058,1.277,1
2.011,0.847,0.308,0
2.938,-0.677,-0.248,0
1.312,0.99,0.464,0
1.16,0.396,0.394,0
1.858,1.334,-0.432,0
1.522,1.144,-0.469,0
0.545,1.334,2.268,0
1.392,1.834,-0.615,0
0.531,-0.134,-0.093,0
0.885,1.375,-0.405,1
1.413,0.5,0.195,0
2.202,-0.38,-0.156,0
1.405,-0.344,-0.113,0
3.034,-0.423,-0.182,0
0.674,-0.091,-0.059,0
3.048,0.828,0.7,0
2.29,-0.316,-0.155,0
0.588,0.602,0.68,0
3.136,0.601,0.879,0
0.689,2.035,1.434,1
2.585,-0.426,0.701,0
1.584,1.4,0.571,0
0.901,-0.659,-0.638,1
1.26,1.809,0.906,1
0.566,1.358,0.719,0
-0.317,0.15,-0.072,0
0.68,0.408,0.754,1
1.529,-0.416,0.391,1
