@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R2,4,6'

@attribute Ao numeric
@attribute Iy numeric
@attribute Class {0,1}

@data
1.689,-0.252,0
0.311,1.978,0
-0.235,0.137,0
0.711,1.138,1
0.705,1.27,1
2.467,-0.213,0
1.273,0.733,1
0.885,-0.425,1
0.585,2.188,1
2.308,-0.189,0
0.807,-0.703,0
2.498,0.347,0
1.292,0.455,0
2.27,0.636,1
1.135,-0.448,0
0.547,0.463,0
0.377,0.108,0
-0.31,0.612,0
1.739,0.369,0
3.025,-0.302,0
1.379,0.799,0
0.577,1.883,0
1.064,-0.309,0
2.567,-0.26,0
0.772,1.13,1
2.31,-0.157,0
2.482,0.553,0
1.039,-0.81,0
0.538,0.777,1
1.143,-0.54,1
2.773,-0.168,0
1.18,0.683,0
0.527,0.925,0
0.413,0.544,0
0.831,-0.308,0
2.426,1.775,0
1.132,-0.56,0
0.509,1.97,0
1.433,-0.198,0
1.247,-0.914,0
0.307,1.045,1
0.499,0.939,1
0.36,-1.093,0
2.143,0.306,0
0.539,0.125,0
0.8,0.737,0
0.757,0.896,0
0.606,2.28,0
1.028,-0.768,0
1.5,0.959,1
1.025,0.613,0
1.966,0.319,0
2.012,0.371,0
0.904,-0.803,0
2.526,-0.466,0
2.373,-0.3,1
0.335,0.887,1
0.593,1.936,1
1.543,-0.193,0
1.636,-0.134,0
0.381,0.93,0
0.747,1.08,1
0.726,1.448,1
1.219,0.12,0
2.138,0.57,0
2.223,0.713,1
3.489,0.344,0
0.825,-0.527,0
0.516,1.92,1
3.124,-0.285,0
1.892,0.715,0
0.694,0.798,0
0.612,2.024,0
2.242,0.684,1
1.654,-0.351,0
0.685,0.871,0
0.807,1.762,0
0.402,0.635,1
-0.277,0.122,0
0.581,0.089,0
-0.271,-0.078,0
0.351,-0.052,0
2.158,0.695,0
1.723,-0.502,0
2.466,0.345,0
2.256,-0.157,0
3.053,0.388,0
0.562,-0.096,0
0.628,0.719,0
2.268,0.189,0
0.795,1.06,0
0.421,1.066,1
0.882,0.112,0
2.737,-0.185,0
1.272,-0.461,0
0.495,1.268,1
1.242,-0.34,0
1.58,0.498,0
2.548,1.353,0
0.404,0.1,0
0.394,1.837,0
2.254,-0.215,0
0.457,0.674,0
0.421,-0.265,0
0.532,1.668,0
1.972,-0.185,0
0.871,0.884,1
2.399,0.288,0
0.939,1.636,1
0.526,1.262,1
0.5,1.001,0
0.61,1.854,0
0.785,1.012,1
1.57,-0.115,0
1.809,-0.138,0
1.282,0.335,0
1.445,-0.728,0
-0.285,0.114,0
0.808,1.937,0
0.728,-0.281,0
0.402,-0.607,0
0.991,1.083,1
2.02,0.22,0
2.187,-0.179,0
0.311,-0.347,0
1.037,0.772,1
1.041,0.522,0
-0.206,-0.537,0
0.402,-0.298,0
2.594,-0.513,0
1.416,0.143,0
3.515,0.333,0
0.671,1.258,1
0.335,1.496,1
1.619,-0.428,1
2.033,1.162,0
0.884,0.104,0
1.887,-0.292,0
0.727,1.152,1
1.095,-0.514,0
0.651,0.073,0
0.567,0.957,1
2.128,-0.614,0
0.423,1.862,0
0.611,0.807,1
0.599,0.893,1
1.011,1.292,1
1.226,1.086,1
1.474,-0.045,0
2.362,0.298,0
1.364,0.658,0
0.359,1.857,1
1.435,-0.086,0
0.613,0.093,0
-0.438,-0.886,1
3.293,0.312,0
1.061,1.11,0
1.053,0.57,1
1.965,0.375,0
2.603,0.986,1
2.437,0.398,0
2.181,0.329,0
2.404,0.491,0
1.103,-0.509,1
1.631,0.345,0
1.516,0.236,0
0.625,0.618,1
0.224,-0.207,0
2.901,0.25,0
0.34,0.085,0
0.596,0.648,1
0.675,1.531,1
0.486,1.473,1
0.772,1.827,1
2.06,-0.191,0
0.718,0.716,0
1.105,-0.358,0
1.627,0.172,0
2.88,0.65,1
0.481,0.109,0
0.804,1.278,1
0.788,2.166,1
0.493,1.885,0
0.824,1.792,1
0.487,1.094,1
1.187,1.122,1
0.337,1.485,0
2.823,0.7,1
0.633,-0.626,1
1.004,0.976,0
2.565,-0.261,0
0.731,1.803,1
0.58,2.097,1
0.581,1.122,1
-0.234,-0.073,0
0.543,2.209,0
1.825,0.35,0
1.764,0.277,0
0.715,0.792,0
0.709,-0.877,1
1.411,0.28,0
1.356,-0.491,0
0.422,1.4,1
0.524,0.129,0
3.163,1.249,0
1.315,0.572,0
0.734,0.34,1
3.198,0.31,0
1.201,-0.682,0
0.571,1.106,1
1.033,1.106,1
0.496,-0.066,0
0.809,0.954,1
1.895,0.204,0
1.288,0.442,0
2.842,-0.161,0
1.634,0.183,0
0.702,1.329,1
1.086,0.933,1
1.368,0.783,1
1.077,-0.581,1
0.333,1.505,0
0.652,-0.969,1
1.068,0.515,1
0.33,2.29,0
0.771,-0.118,0
2.657,0.449,1
0.369,2.025,0
0.808,-0.971,0
2.179,0.816,0
0.384,-0.353,0
0.447,2.028,1
2.204,0.348,0
1.225,1.224,1
1.069,2.259,1
0.565,0.918,1
0.36,0.095,0
0.838,-0.714,0
0.551,1.204,1
0.408,-0.56,1
1.356,-0.745,0
0.389,0.427,0
3.467,-0.222,0
2.596,-0.46,0
2.921,-0.222,0
-0.247,-0.062,0
1,1.428,1
1.987,0.678,0
2.064,0.508,0
0.319,1.813,0
3.142,0.545,0
1.624,1.028,1
2.421,-0.271,0
0.605,1.603,0
1.593,-0.546,0
0.731,1.89,1
2.591,-0.208,0
0.576,1.092,0
1.089,0.177,0
1.632,0.562,1
0.629,0.669,1
2.952,-0.376,0
1.305,0.813,0
0.979,-0.612,0
2.156,-0.197,0
2.127,0.22,0
0.739,1.878,1
0.949,0.603,1
0.369,1.567,0
0.395,-0.461,0
2.071,-0.198,0
0.931,0.902,1
0.511,1.577,1
0.604,0.896,1
2.854,-0.195,0
0.834,0.083,0
1.029,1.96,1
2.278,0.429,0
0.255,-0.667,1
0.721,-0.051,0
1.075,-0.948,0
1.266,-0.874,0
1.351,0.873,0
2.989,0.331,0
0.685,1.896,1
0.505,1.348,1
2.107,0.809,0
0.345,1.171,0
1.822,0.287,0
1.007,0.304,0
1.232,2.405,1
2.064,-0.342,0
0.363,-0.964,0
0.33,2.29,0
0.363,2.417,1
0.949,-0.656,0
1.74,0.373,0
0.912,-0.551,1
0.562,0.839,1
0.954,2.003,0
1.178,0.242,0
2.192,0.518,1
3.375,0.611,0
1.913,0.247,0
3.386,0.387,0
2.531,0.524,0
2.162,0.423,0
0.478,-0.757,0
0.517,2.47,1
0.879,0.208,0
1.059,-0.751,1
0.376,1.93,1
1.029,-0.799,0
2.375,-0.488,0
1.042,-0.786,0
1.999,-0.174,0
0.767,0.149,0
1.866,0.211,0
0.607,0.102,0
1.683,0.469,0
2.598,0.409,0
2.705,-0.26,0
0.572,-0.117,0
2.211,-0.485,0
1.612,0.528,0
2.461,-0.412,0
1.903,-0.134,0
0.546,1.965,0
1.134,-0.838,1
0.76,0.107,0
2.114,0.224,0
0.971,1.085,1
1.272,0.585,0
2.921,0.537,0
0.592,-0.103,0
2.786,-0.188,0
3.115,1.223,0
-0.295,-0.073,0
0.721,0.553,0
2.483,-0.239,0
0.592,0.858,0
1.153,0.371,0
1.039,0.899,1
0.719,-0.26,0
0.336,-0.053,0
1.231,-0.798,1
1.569,1.172,1
0.97,1.16,1
2.597,0.523,0
1.646,0.448,1
1.043,2.294,1
0.815,-0.502,1
1.334,-0.7,0
1.054,-0.85,0
1.302,-0.408,1
0.784,0.566,1
2.556,-0.221,0
3.251,0.702,0
0.948,0.103,0
1.523,-0.577,0
1.637,0.261,0
2.892,-0.239,0
0.629,0.704,1
2.228,0.295,0
2.156,-0.142,0
2.104,0.517,0
0.724,1.293,1
1.128,-0.952,0
0.898,0.139,0
1.316,0.676,0
3.026,-0.192,0
0.746,-0.393,1
0.545,0.979,1
0.653,0.669,0
2.87,-0.232,0
1.407,0.184,0
2.467,0.688,0
2.888,0.836,1
0.859,1.339,1
2.037,-0.176,0
3.289,0.517,0
1.173,-0.695,0
0.672,0.993,0
0.945,0.998,0
1.519,0.766,1
2.501,0.526,0
0.278,0.083,0
1.763,0.454,0
-0.599,0.806,1
1.538,-0.549,1
2.472,-0.429,1
0.874,0.641,1
1.318,-0.469,1
1.875,0.837,0
2.047,-0.248,0
1.703,0.721,0
1.329,-0.099,0
0.858,0.806,0
2.219,-0.524,0
-0.724,-0.163,0
0.436,1.177,0
1.411,0.28,0
1.266,0.394,0
2.428,0.357,0
2.225,-0.203,0
0.417,1.823,1
1.791,0.277,1
3.27,0.338,0
3.076,0.358,0
-0.254,0.153,0
0.929,0.931,0
0.59,0.884,1
2.814,-0.239,0
0.315,-0.304,0
0.512,1.731,0
2.017,0.99,0
0.708,1.517,1
2.18,1.548,0
2.535,0.428,0
1.372,0.604,0
1.502,0.413,0
1.357,0.199,0
2.98,-0.307,0
0.625,-0.235,0
0.675,1.631,0
2.709,0.369,1
0.443,-0.536,1
0.362,2.265,0
3.041,0.547,0
0.814,1.082,1
