@relation 'ring-weka.filters.unsupervised.attribute.Remove-V-R7-8,11,15-17,21'

@attribute A7 numeric
@attribute A8 numeric
@attribute A11 numeric
@attribute A15 numeric
@attribute A16 numeric
@attribute A17 numeric
@attribute Class {0,1}

@data
174,23,-801,1956,109,-242,1
-892,-1674,-727,1628,155,-531,0
4326,817,2662,1265,591,-442,0
1615,805,117,-787,1315,727,1
-934,284,-292,2041,2964,-218,1
14,-61,1559,3054,261,-572,1
-517,-2368,-1683,1408,-1306,-1231,0
313,417,2544,-2825,198,1296,0
457,814,1708,3227,-465,-2107,0
1564,251,173,632,-146,25,1
314,1841,-686,2255,132,275,1
366,1246,-8,576,664,-812,1
-1768,-1784,1573,-1334,2153,1838,0
858,-72,1717,1356,933,733,1
147,732,98,1042,-683,701,1
351,132,608,313,-1229,-229,1
347,1631,-543,-492,357,1232,0
608,282,-1408,756,326,543,1
-244,-408,1068,-278,708,759,1
773,-349,237,46,1358,43,1
1064,138,1144,-383,401,309,1
-1092,1255,324,1491,101,-322,1
-73,2161,-2609,-2682,-585,1688,0
308,1013,1785,158,-2337,1627,0
854,1067,1618,965,999,-428,1
3581,2866,-2826,-565,2938,3,0
879,2262,1442,1612,2511,207,0
6,-3447,-713,-2961,-3894,-82,0
1732,1852,-1064,308,-878,1628,1
1092,473,-216,186,-942,276,1
45,-536,511,173,-15,113,1
-1397,-86,-252,115,-161,-1868,1
-784,651,-263,-263,912,49,1
312,5,-842,1048,1756,3,1
285,2314,1643,3,344,1409,1
616,-282,-5,-2425,2116,-29,0
178,1231,1179,578,202,185,1
-3627,2248,-25,1352,4033,-428,0
-41,2299,1675,1192,227,-22,1
1261,-895,-389,354,2152,929,1
-3439,-126,-161,-955,1811,2552,0
1075,-452,-114,182,-252,931,1
61,366,-505,3006,1187,-513,1
-2099,3484,1884,344,954,-65,0
521,1443,141,302,-32,-1117,1
-31,99,595,-1136,-2769,-3285,0
267,-412,-36,-263,1179,78,1
845,-53,166,1717,-1003,2348,1
-411,417,3369,661,137,454,0
2292,1487,-1858,856,-203,2515,0
-3853,-79,833,351,1309,3513,0
161,-4,-241,239,472,222,1
-1799,-212,-269,151,232,-1977,0
118,236,837,-191,592,-2003,0
-2864,3463,-155,-2567,4145,-1148,0
576,973,1438,1789,-1698,1406,0
925,995,-141,794,342,-225,1
-752,1207,2329,122,928,-933,1
134,525,814,-1191,-1315,2329,0
298,1914,222,1266,747,1797,1
573,1524,1838,-416,905,8,1
-3076,-513,-1087,392,327,-3312,0
149,736,3373,528,564,-103,1
832,167,-216,1074,-303,653,1
-445,874,-163,-1072,-523,-1,1
155,-126,-3,508,1588,603,1
-2201,403,1323,-124,617,51,1
1212,1531,-1176,111,-799,-957,1
-2443,309,1338,-1616,1423,1474,0
506,1492,1064,611,1558,513,1
1335,68,47,1116,-227,651,1
1859,1467,-1382,-1732,2364,3317,0
2269,-169,-1064,-15,2858,-157,0
2384,1783,-329,-725,1206,144,1
1403,896,2844,-1229,1742,-566,0
2217,-107,-61,-22,66,2539,1
-1208,-145,-3343,-2534,1857,2494,0
718,711,-238,-524,109,-796,0
1842,3575,2734,-873,1789,-3884,0
-1637,-49,3797,-434,-1227,924,0
-1836,2595,-9,1,-1196,-5085,0
-131,951,153,1723,-534,626,1
553,1443,-1227,-671,129,968,1
451,-752,1044,975,842,1462,1
13,1461,-1075,1001,67,2299,1
3085,94,1203,357,2209,-437,0
-356,1676,57,-2097,-2918,3962,0
108,2716,192,-3649,9,1435,0
438,1322,-67,-234,-155,-1525,1
653,982,-662,1748,944,-2165,1
-1347,553,-1434,-213,-1293,4072,0
152,2875,2565,-307,1313,2954,0
-2565,1444,201,1837,3955,371,0
-512,372,-1422,1079,698,195,1
-31,2526,-115,147,44,2415,0
997,473,3584,-4701,-3569,-157,0
-2313,-41,-1427,5332,-1046,-551,0
297,107,312,-348,1229,2235,1
-1774,1008,-1529,-1548,-346,426,0
1989,244,4,1253,-584,-68,1
403,1919,591,-66,1668,-1545,1
-435,131,-321,-908,935,-1564,0
-2368,-339,176,354,-2728,938,0
1085,2272,-11,1521,-133,-5,1
927,6,1126,81,124,-1247,1
2413,1316,1592,1148,137,889,1
-151,-999,1163,-1466,1934,-646,1
234,1092,-1346,1258,264,536,1
-2703,1013,5063,2203,-5721,-56,0
937,1082,1902,-1012,5759,-1974,0
-54,382,707,55,1594,325,0
2638,-1041,-623,118,1886,-184,1
-4956,-384,995,-1768,-361,-131,0
1601,-244,-28,64,2629,1579,1
312,111,122,323,846,-1013,0
85,-1362,726,446,-514,-499,1
322,1441,1067,674,-1402,757,1
-454,1094,1578,63,2012,301,1
914,4068,-2328,-159,-2363,223,0
-504,1894,475,115,363,1071,1
-781,2142,3182,-715,34,-1922,0
-39,182,917,2165,804,283,1
1308,814,-444,1248,924,696,1
1421,-283,19,1312,39,11,1
2864,-1115,-2542,2178,1117,1028,0
1068,1367,-237,27,1078,1053,1
704,87,618,891,1715,-448,1
-4262,1099,1883,-4253,1963,-571,0
-2384,-1952,-2391,-1745,3174,132,0
-585,3158,1189,-1295,1043,1786,0
1506,1649,1687,3857,137,-1834,0
-209,-94,1953,119,346,925,1
496,1249,-2481,1821,1194,1226,0
1359,-2624,4221,-11,332,681,0
2108,1303,-387,-167,28,-722,1
-892,-1473,-2806,6,-42,-595,0
3272,-2244,2057,277,-141,-259,0
124,1396,-977,177,-212,746,1
924,449,86,-654,96,96,1
438,2338,1016,198,1036,2177,1
165,169,2613,3308,1194,1373,1
84,1265,227,945,736,776,1
-102,-385,165,-3267,1228,-226,0
713,2273,308,2741,1721,845,1
488,528,-748,-1324,83,163,1
651,2737,38,1474,-1224,1958,0
-133,-507,276,-85,1288,904,1
-3053,-985,-1866,2431,2118,1222,0
-1347,-2295,555,-954,1114,64,1
1472,798,-76,468,-378,142,1
-201,-2032,2841,-959,-3203,2702,0
1437,2015,1555,301,1099,1434,1
-44,-592,-1722,-141,388,724,0
2147,1928,1294,133,553,1291,1
-2575,743,283,-429,-3507,-304,0
1177,259,2204,689,558,84,1
-1805,1517,809,-638,-615,484,0
1034,-473,2315,366,-2038,1258,0
-1493,108,3349,1133,-107,-619,0
1055,199,597,294,48,936,1
164,494,297,1126,36,-282,1
719,712,6,1053,-2495,1096,0
2046,-35,-197,1214,-82,1692,1
-2619,-1037,-2001,-2203,4256,-3186,0
1445,3232,-3935,147,-2757,73,0
-387,1165,1908,276,36,431,1
95,16,1926,407,-1457,-1722,0
119,2827,746,795,335,436,1
1737,0,-1086,-269,57,857,1
-726,4073,531,-5722,2576,-176,0
1246,-256,2148,-433,-91,542,0
1073,166,-184,1163,46,-632,1
-802,-101,4258,-328,-94,633,0
1939,-378,1937,-1567,-116,2148,0
3157,1038,-3332,2812,1575,167,0
-4,951,523,37,-54,776,0
2565,2595,-783,628,-231,34,1
897,-17,-1063,48,1532,961,1
-628,-326,1163,1716,12,-975,0
1058,28,747,-221,-1877,1025,1
-501,1402,85,-1224,353,497,1
279,-4,-1708,796,1262,1545,1
-864,363,-1075,2013,1314,653,1
-828,-3429,-2197,2076,1,-812,0
-1261,0,1205,-78,-2,-27,1
-4921,1768,-1392,-2281,-3019,13,0
372,1833,21,-722,-96,-3595,0
-1434,-975,-917,143,1378,-1134,1
-776,767,2261,674,-106,1841,1
-28,1849,-1154,1442,162,602,1
3996,88,-1905,-33,609,3518,0
-47,1669,-707,-47,-607,762,1
-2548,432,269,868,-374,321,0
813,314,13,-905,-2,-544,1
287,2655,-1515,204,445,-723,1
84,224,324,1836,-406,1341,1
-261,564,1346,-567,846,1398,1
-932,-1047,1896,1523,3082,-201,1
-1069,146,-3416,1223,2788,-627,0
-585,1,2273,-34,207,104,1
194,-1783,-2187,532,-1168,3058,0
-11,1284,-562,-2741,2563,668,0
224,2376,156,735,-3845,-1888,0
74,1168,-199,-583,596,845,1
-187,858,-1715,68,2187,876,1
-743,62,1132,1,2823,442,1
135,36,112,1143,-1262,1175,1
189,-236,47,2498,121,-228,1
-837,-3406,2261,-474,-375,3646,0
464,1518,3868,13,556,1468,0
24,1474,-51,-747,366,666,1
-241,-481,-71,-467,1001,247,1
894,-1896,438,4278,2288,-2724,0
1119,1554,-873,788,609,864,1
247,3389,57,-991,1178,1947,1
-1785,-191,536,-293,-1104,3876,0
-72,-2374,-618,-3706,-3979,576,0
222,209,-42,1298,513,-108,1
2471,1147,642,446,-458,-351,0
598,98,82,434,239,404,1
-3732,1637,2396,-431,322,4,0
-97,2564,-2626,-374,2514,-2724,0
-342,-1131,302,1,903,1382,1
-17,-471,2191,577,928,122,1
1088,-361,996,1803,-164,947,1
25,1586,863,356,-347,244,1
-902,1584,2215,-3919,195,1094,0
2394,-875,689,-1485,-617,-1454,0
1639,1216,782,659,1324,728,1
157,105,1059,-969,-542,-1958,0
639,-829,6,-1109,242,545,1
-3733,106,565,154,793,2582,0
851,-1033,-1921,2531,-2408,629,0
1156,-5,-146,151,2365,1443,1
402,2419,1384,326,1947,129,0
-1044,-46,333,-1829,201,1364,0
539,2376,1057,1187,191,-1536,0
-794,448,1983,756,8,-246,1
-2588,1968,-656,836,-242,569,0
-2273,-1241,2459,-786,-1423,1046,0
1919,692,2144,-1003,-3336,699,0
-3711,-2019,-2672,-314,-2662,1926,0
-306,193,2241,-1,158,1099,1
317,-908,-1656,-3359,2376,-644,0
-827,-1859,-206,-1432,-1776,-295,0
-2887,-105,2767,-475,-1441,-4307,0
-2749,-3724,-1169,-96,2187,3108,0
376,-1039,602,-916,512,1153,1
-3508,1954,-252,244,-3438,-961,0
984,-268,-64,1287,-1109,946,0
-3044,-868,3192,77,101,3582,0
