@relation 'ring-weka.filters.unsupervised.attribute.Remove-V-R1-2,4,11,15,20-21'

@attribute A1 numeric
@attribute A2 numeric
@attribute A4 numeric
@attribute A11 numeric
@attribute A15 numeric
@attribute A20 numeric
@attribute Class {0,1}

@data
-1443,1065,207,221,14,2348,0
-984,792,21,-651,1964,1662,1
1007,242,1689,-381,-1293,274,1
2212,-1694,67,-853,303,-1286,0
2891,-608,2319,1971,-1547,-2407,0
-179,-1441,1579,1144,2515,86,1
-826,-1342,-3042,-3635,4745,-993,0
-584,925,-405,441,1437,945,1
694,164,1435,-148,-178,103,1
-1171,-233,-614,-1195,1167,912,0
-2142,-29,62,-281,-1929,578,0
-1508,3214,882,-1042,463,6,1
-296,854,-417,132,-743,2491,0
-333,-1463,-44,876,1744,78,1
1428,626,36,-123,1794,-434,1
-3424,3879,-764,2078,-2248,3723,0
-4928,667,-3367,1222,-2544,1921,0
958,-682,864,-2209,1005,821,1
-553,411,2809,1035,366,201,1
-875,36,2377,-1938,545,-442,0
-204,3454,344,716,-539,-436,1
1725,1119,-574,112,-1351,208,1
1294,396,609,-81,1107,365,1
-3502,-32,1477,-467,-3042,1317,0
1398,973,-556,763,-99,927,1
-2209,-226,2097,3442,2648,-2923,0
1328,-1501,-602,2746,323,-64,0
1028,-559,1453,-1494,-612,-755,1
-3824,-461,23,3353,3261,-1451,0
349,1049,-145,767,222,189,0
917,567,12,143,-94,792,1
1312,277,155,1404,491,1117,1
1806,156,-5,414,-308,2144,1
-68,1281,-648,1575,-263,-34,1
-352,1171,1801,-975,481,2725,1
-747,1215,735,-799,1707,1195,0
214,861,1411,1298,113,418,1
182,3275,-689,3489,697,822,0
-1555,-1799,-1761,-731,-3155,2789,0
209,-4695,-3257,1478,-1427,-943,0
-291,-59,1337,4391,1668,-129,0
2232,925,-603,1364,-737,3,1
405,-178,1368,398,439,2215,0
2904,-938,1627,-1461,-305,1158,0
2245,1149,269,-1143,-831,33,1
173,1239,874,2,1239,-338,1
-6,-712,-586,1354,1099,-271,1
29,1818,-6554,603,1814,-2258,0
-975,35,1102,2356,2053,1803,0
-466,969,-1716,13,122,148,1
-666,2512,1144,1944,875,386,1
2674,1329,-1798,-2908,-75,616,0
134,2444,-312,2629,114,996,0
-56,702,-37,1091,786,1333,1
1694,-1082,351,1464,662,1943,1
-451,-1767,-172,-111,2792,-1197,0
1687,1352,38,1579,1428,297,1
819,-517,756,1797,-968,1138,1
1795,731,-1031,-3252,1624,1142,0
57,1881,-429,155,658,-1634,1
2249,-1764,-937,-1411,467,-116,0
1539,1332,242,-76,-57,1734,1
-1042,1807,132,713,908,409,1
-137,3322,1342,-175,66,-1393,0
1162,1621,-342,-125,1443,744,0
-474,555,-905,84,-327,1657,0
-479,132,-92,405,1388,1057,1
-5,2341,157,-746,569,-1234,1
2097,-2234,1114,1779,46,-128,0
3626,4914,183,-1175,1258,-1393,0
1618,-382,-206,-316,16,2593,1
744,1335,-686,578,-168,744,1
-572,-303,-692,1524,-1622,26,1
-365,209,2972,-321,1835,-3199,0
-175,-516,937,939,-1259,1867,1
891,1484,85,836,-1381,-89,1
-25,-826,898,505,1263,527,1
1016,3209,1292,-61,1394,194,0
2539,3659,2879,651,-1314,-2328,0
-77,391,801,1389,943,836,1
-2537,275,-1531,3205,676,632,0
8,433,-837,-752,-2564,1869,0
666,753,1822,1158,97,-377,1
2671,-2712,391,-2183,176,3395,0
147,1927,-241,193,1469,-121,1
-2461,3123,4189,1728,3102,-1047,0
-2327,1358,2728,384,-92,-1299,0
-2196,-1966,-454,-236,-64,1921,0
1479,302,45,883,547,5,1
-305,1266,958,-1,564,-418,1
1925,783,-465,812,-562,-1647,1
1566,-2481,-1033,3898,2311,929,0
-1516,787,874,-3091,-259,-768,0
2588,1008,-68,1709,124,833,0
-1051,-374,1108,1565,727,-49,1
-1668,401,-506,1186,2026,1768,1
1623,347,-1137,1063,1078,-335,1
-1825,1956,-1429,-4042,3851,-4366,0
963,276,1114,542,-75,592,1
177,-694,2008,-501,685,-1128,0
1037,1579,1585,-418,711,-2647,0
1109,-2635,-603,707,-224,-459,0
-847,407,2935,1313,-1809,2427,0
1857,-1324,779,912,-175,1798,0
1421,84,-253,1363,237,-235,1
239,196,-737,791,832,2244,1
4675,-874,3091,85,3163,-179,0
1072,-1425,952,-1083,-447,-627,1
77,-4037,-3373,2543,-774,-459,0
-91,25,55,29,-51,618,1
-62,134,1467,17,1042,1319,1
-168,45,-45,238,-98,-1106,1
-32,1304,1604,586,-405,-1413,0
128,311,-181,2091,537,2004,1
-1683,2548,-2657,-35,1267,3902,0
