@relation ring

@attribute A13 numeric
@attribute A14 numeric
@attribute A17 numeric
@attribute A18 numeric
@attribute A20 numeric
@attribute Class {0,1}

@data
142,-2425,-2495,12,-1345,0
631,1264,-58,-2096,-62,0
1572,-1704,1345,-824,5462,0
-203,1134,2928,1178,-44,0
-826,2219,-1604,109,-3229,0
-1278,26,317,-1221,1053,0
-302,-1958,3429,-3805,965,0
-174,-3767,193,96,-1414,0
289,-47,-394,3452,-2983,0
1118,2732,1327,-3456,8,0
3004,3,73,61,-25,0
-1197,38,-1202,708,-1636,0
-622,-1775,195,1291,-441,0
1248,2238,1133,1138,-537,0
1216,3584,-651,-1587,-2848,0
2696,132,3991,1654,2111,0
-3428,708,-457,-402,2674,0
702,-1938,158,-306,3768,0
-329,391,-269,-49,-141,0
459,-2044,2138,1015,-203,0
-8,-2996,-1515,-6,-3,0
-2412,-6292,474,187,677,0
1896,165,3031,6,-539,0
-2269,1564,3726,2732,-1889,0
17,-1729,-1097,302,-2386,0
-3175,-2932,11,-338,-494,0
-3193,-314,2352,334,3093,0
-498,-553,-396,204,591,0
118,375,4111,-2549,3064,0
-2345,-527,508,-3308,1072,0
-1567,-2805,-1201,-5458,876,0
-6,2088,-1622,-296,1673,0
-1764,-1063,-2315,914,337,0
284,-197,-4077,-1859,-2612,0
-2427,-3942,-2267,-1227,-2367,0
405,-3827,3691,-6299,-1861,0
-575,-654,-856,2689,-894,0
-2806,136,-1808,3518,899,0
-4565,-429,-112,-664,-2023,0
-1681,1227,3961,1145,-1319,0
-2098,182,234,-4597,-2069,0
-276,576,-256,-322,-2809,0
502,828,1851,201,1536,0
4675,756,-1148,-395,17,0
-3919,2744,1466,1061,1653,0
-1586,83,-1779,365,-1133,0
-1199,-1152,-2244,2871,1619,0
-12,-655,954,-168,1134,0
804,-1971,2273,1356,2907,0
-1633,-2228,-476,-2196,-461,0
-1041,838,508,-1288,1971,0
4455,1854,196,-278,-1153,0
276,-2076,42,-1967,-2011,0
3251,-204,1413,3631,-3048,0
1358,5748,-3749,-1341,-1758,0
-185,938,703,-3633,-3131,0
-472,-1104,-19,3316,1333,0
1046,-3778,1784,652,-218,0
-1025,654,-402,2638,-65,0
2354,-2837,-2107,584,2097,0
1221,-224,-125,2821,115,0
2085,-3186,1583,2366,969,0
3688,-2431,-3306,486,342,0
521,1785,1622,-1409,-225,0
-117,-496,4492,2458,-4034,0
35,-34,-732,-1434,166,0
999,5258,-1788,26,-1186,0
-1946,-3283,-1107,222,7627,0
-4732,497,-384,1392,4988,0
4983,-4439,-686,2572,2027,0
3457,893,-1784,464,-2484,0
-873,-78,1225,-2049,-2648,0
1007,1654,-496,-204,666,0
-1031,299,919,-2712,611,0
1883,678,-1825,-3072,74,0
-2641,3322,27,-1861,-44,0
-1402,812,929,2016,-5948,0
-955,588,1034,-1257,-123,0
1636,341,-81,-2846,139,0
882,-2656,-1335,-68,253,0
-137,59,-961,-24,4588,0
2292,196,781,-1251,215,0
2189,-285,1389,1242,1025,0
1538,103,-1402,-2983,-1513,0
-3571,862,603,854,2937,0
-672,-504,-722,-1903,51,0
