@relation ring

@attribute A2 numeric
@attribute A10 numeric
@attribute A15 numeric
@attribute A20 numeric
@attribute Class {0,1}

@data
-53,-1251,-3181,-1246,0
-991,435,-1197,815,0
366,2098,-2351,-2454,0
2589,-866,-2514,1891,0
-1653,526,-1411,-819,0
5,1675,-187,3296,0
-292,2688,-51,1059,0
-68,935,-2364,-286,0
613,-1241,9,3452,0
-1342,329,4745,-993,0
1773,4179,9,1623,0
-2161,-1,-3253,-504,0
-342,655,782,-1484,0
-1705,-2121,374,-1438,0
-1308,877,1554,984,0
5191,-75,-1028,-3549,0
-313,-543,-1725,-704,0
3365,1247,1846,1212,0
-825,-492,57,-1333,0
3208,887,-209,-848,0
3056,-397,-413,-873,0
2359,-1496,-184,1064,0
-1312,152,4698,-4,0
1487,3902,1986,-1748,0
-1166,-1618,-1925,1229,0
-873,-2855,-4506,-6,0
-36,17,2014,384,0
-1181,-1939,1506,-48,0
253,-76,-496,-175,0
-724,-1438,-3791,-3476,0
2995,-3075,-1276,-5168,0
-2443,579,-776,-218,0
-159,-522,2564,1873,0
-43,-4624,4158,-3072,0
-338,-1784,3624,-744,0
-754,1205,1902,298,0
488,-172,-1199,-872,0
-175,1874,5386,-891,0
487,-1115,-921,2864,0
1268,-555,-923,-291,0
-1244,1711,-1502,-1716,0
-2996,1027,121,3199,0
-455,-1325,-2366,-276,0
172,-37,-12,175,0
-1208,-1645,-2178,627,0
-867,128,-667,-4591,0
181,-299,-1327,-44,0
1796,-895,-82,1576,0
27,2875,17,-571,0
-607,3004,1716,962,0
3492,-1366,-1062,-102,0
3175,2139,2372,79,0
-1852,1141,-93,-2442,0
-208,-1967,2354,5442,0
1861,-2042,2511,-1844,0
3466,-1809,1492,107,0
-1579,511,2042,348,0
-2941,-596,-728,34,0
1318,108,1483,-5446,0
-1407,-3744,2591,1259,0
1171,2614,-2154,-1872,0
-171,-1613,3128,1981,0
-1906,-85,126,164,0
1885,-32,2305,1842,0
-2696,-7,2431,-1436,0
2091,1603,3244,-31,0
-1288,-1988,-1923,117,0
2508,-1002,485,2451,0
1273,-1496,446,801,0
-667,-3688,-647,1134,0
-1461,-409,-1927,1047,0
-858,256,-217,41,0
-1769,-1615,-474,-416,0
-215,-3003,2279,352,0
1182,3252,-5446,114,0
1745,1433,-2042,1726,0
-1414,-148,-163,248,0
429,168,623,-4122,0
-592,-974,-248,1732,0
313,-2803,-213,2625,0
-253,-84,5213,-2384,0
-2023,-692,1202,494,0
-2402,452,2841,-4327,0
-46,47,-633,607,0
994,201,3274,-1516,0
-624,284,-2526,1206,0
-107,-179,3878,268,0
2496,7,-499,756,0
-5057,3368,2178,-204,0
972,4698,-266,762,0
-1703,84,1481,-1645,0
-1127,132,168,-1015,0
-1423,-609,-2172,-227,0
616,-1439,-1605,1889,0
-786,-2515,-2739,269,0
487,7,459,-2695,0
1397,1958,-213,-422,0
-451,184,1101,-3077,0
852,1333,-1729,-519,0
1311,-379,-1178,1627,0
-198,1402,4664,104,0
-452,-3357,954,-1521,0
967,8,-399,329,0
-1015,1922,-2289,242,0
-1801,57,-628,1137,0
1999,-112,-698,-791,0
-226,-2083,2648,-2923,0
-1008,495,128,-3194,0
455,-1963,1893,-928,0
76,-264,-4277,1877,0
-4045,416,571,1044,0
89,-1521,-1658,254,0
-639,244,281,1095,0
2046,1949,1931,1175,0
-104,646,1834,1474,0
2202,-2785,-543,2801,0
1568,-1849,-5683,657,0
327,1745,-568,1019,0
1182,2166,-109,-2835,0
-1151,-16,401,3973,0
-1821,-2703,1397,1411,0
