@relation 'ring-weka.filters.unsupervised.attribute.Remove-V-R8-9,13,16,18-19,21'

@attribute A8 numeric
@attribute A9 numeric
@attribute A13 numeric
@attribute A16 numeric
@attribute A18 numeric
@attribute A19 numeric
@attribute Class {0,1}

@data
-2642,1578,4664,-166,1664,309,0
-682,2188,619,76,51,41,1
672,1193,-2008,1452,-2894,-151,0
-2936,-1105,1372,-296,114,2326,0
1369,461,112,1383,-1022,2562,1
614,106,503,634,1104,666,1
-288,2006,384,-729,-156,1392,1
-162,1399,-276,-282,1108,2262,0
506,4428,671,-1255,361,2297,0
1257,84,836,1152,2801,2162,1
-3455,5762,186,-1562,2788,-131,0
-176,4247,-2869,-1294,-2423,-102,0
1283,-2815,2224,3381,-3182,-1604,0
623,735,1511,-746,-68,603,1
922,-1176,656,1212,1601,599,1
11,1893,2218,1724,-572,-127,1
426,1882,548,258,316,-1047,1
486,-131,1767,2261,-1116,-98,0
116,-2418,-703,-1472,-3421,-1172,0
878,174,-208,-501,1551,-344,1
1342,316,-588,1159,-1736,788,0
-89,558,299,2357,-2108,2491,0
147,1113,173,-923,-358,-1276,1
221,-1557,2168,4811,1572,-2244,0
-596,-231,-266,1397,-571,-29,1
221,1718,1538,2149,739,-1499,0
-642,143,104,128,398,-598,1
-3792,-1078,1872,2827,-2859,-3643,0
-44,484,-134,-187,1154,1226,1
-2584,976,646,1863,1684,102,0
2,-839,1293,1124,-85,1688,1
2875,-2348,1652,-1566,-1347,586,0
-804,1042,-522,1425,-2137,-76,0
325,1146,-2883,-1109,848,695,0
2115,-3203,203,477,-3583,1808,0
78,1735,-157,1131,288,343,1
-2537,-2137,3053,-1256,1519,2856,0
-3595,148,2213,-1198,-926,1317,0
343,434,-1724,864,828,-2,1
-1195,226,1117,407,347,-282,1
-1036,1675,2388,-2345,-1603,-3774,0
-1003,3104,-944,837,-158,1582,1
-3201,1922,-2884,-631,962,1811,0
723,836,1255,-198,-38,455,1
2404,1394,-765,3571,-265,674,0
-263,-2206,-2733,-2522,-18,1093,0
345,888,643,615,1854,576,1
591,634,-34,1596,1165,133,1
-904,-89,-351,-346,-366,1272,1
592,-74,649,-39,-1065,487,1
-685,376,32,2486,73,1067,1
2006,1287,1538,149,-4,-55,1
-1644,49,3082,2229,1886,381,0
707,256,1377,1285,343,512,1
-406,445,921,259,129,373,0
1503,1619,169,-15,-582,-42,1
-774,75,-326,1459,-566,17,1
-389,-1079,135,2022,337,-444,0
727,2899,2229,2975,127,2254,0
221,1035,459,-563,1047,2057,1
194,581,-109,988,2142,-134,1
1036,2624,-2672,3408,-1446,-225,0
1541,1671,1149,-868,977,528,1
1649,-876,-3582,1088,1497,-654,0
2027,-375,-109,-468,1454,2092,1
31,-942,-616,-235,1286,-181,1
-881,185,136,542,79,-455,1
-667,26,-476,-138,398,28,1
-955,1294,-1116,-538,734,-1035,1
-205,-2742,64,-121,-2819,-243,0
655,2744,4003,947,-1834,537,0
177,-3498,2978,78,93,2719,0
2381,1559,-2112,-203,922,-913,0
684,93,802,394,1072,2299,1
609,-57,343,64,-124,1404,1
221,-808,-478,-841,2026,-638,0
-31,839,-502,-3043,1232,81,0
1133,1214,-259,3008,1481,806,0
66,-478,-86,2615,-382,1822,0
-195,-816,2447,853,385,1455,1
1856,-544,99,226,195,704,1
158,129,1004,886,1889,294,1
1665,414,-88,-68,1359,-1472,1
-1312,-728,274,-1105,-1905,-981,0
-4618,98,3054,1684,272,-2517,0
539,59,117,27,-859,1385,1
-191,784,-79,372,1007,-1717,0
1512,1,-594,1434,1698,449,1
1599,-305,-62,132,1281,-15,1
-447,2379,929,-116,978,137,1
3338,-374,2301,1037,1071,-37,1
156,1857,1006,661,1673,887,1
2493,194,1317,2032,624,374,1
-1462,68,39,1923,241,-269,0
193,-8,1932,221,68,1271,1
1292,-127,113,-857,71,449,1
1877,272,-68,119,324,1495,1
1028,-1293,105,257,2046,435,1
571,24,-969,1068,-182,863,1
508,-13,-99,-1724,-265,582,0
132,951,-62,4,-1934,1426,0
-284,-1425,1793,347,-11,-1721,0
-1759,1543,648,2571,3406,1255,0
-111,-2692,-1483,-1577,63,-1849,0
98,-733,384,-115,-73,-285,0
2153,-1454,-82,795,986,1887,1
758,1538,1253,-1077,-1606,1168,1
1364,-1405,1217,1908,-771,1266,1
1829,1725,448,5,2373,509,1
-297,168,582,1114,142,-659,1
114,-1571,877,736,-4824,-1246,0
314,1154,71,-1996,1688,-1768,1
-891,647,436,151,-334,788,1
-2283,617,-238,1363,572,-1533,0
688,512,2701,1735,-187,55,1
2248,-607,375,134,99,-142,0
-4315,-3913,497,3317,1197,-1498,0
1738,107,786,764,-63,1417,1
-832,-12,1438,-2733,88,758,1
27,92,-764,1761,236,-18,1
181,-34,-1257,-675,-982,-778,1
-129,715,2141,683,1218,-69,1
743,73,-99,239,726,1232,1
168,381,327,2696,62,3886,1
6357,-308,-2345,-248,-3308,2095,0
2138,414,475,1003,267,251,1
1251,2046,17,819,697,666,1
-184,93,1422,-4614,-2742,-187,0
2836,1528,1552,-707,863,733,1
407,-289,-714,-229,-1506,1083,1
751,6,128,175,-755,-894,1
-2235,-2002,-745,-2641,1779,1381,0
-1138,-297,22,3732,-2287,754,0
2648,-2065,1061,953,-2482,-2175,0
-372,-11,121,372,-269,977,1
247,-148,3606,2771,-274,2694,0
-905,-81,1943,1704,-28,1319,1
-305,-756,163,-1047,141,889,1
471,1996,1999,-1189,121,-52,1
207,1785,-19,1806,-59,732,1
-67,836,-59,-288,-97,-786,1
67,-1175,246,344,179,2704,1
-49,-1825,-83,1331,-628,-811,1
1245,131,569,-1,1218,78,1
-1475,1066,1,958,24,-692,1
-1117,-2524,-2016,-1621,2841,-2102,0
963,1821,2156,-1735,-1258,-1737,0
774,202,1121,595,1311,-28,1
775,1934,121,548,1126,-401,1
-1149,422,-456,-119,-185,3948,1
-395,-1179,995,2594,-204,56,1
175,348,-1566,-934,-2,-983,0
-241,2028,-448,1519,215,132,1
398,-21,254,424,-13,4,1
-404,-6905,-593,-2177,-1552,-288,0
-98,115,2005,-1064,-3145,-853,0
-744,-1,-64,-158,1298,-1832,1
12,778,418,-38,2081,1474,1
1698,1195,1379,692,576,-624,0
-888,258,544,-4618,29,-1374,0
-1316,47,1332,-74,84,382,1
948,2477,-482,818,1255,885,1
-598,-861,886,59,766,753,0
35,2389,117,515,958,1799,1
-234,2552,2799,2688,-2164,-53,0
-4,56,-678,-301,1434,159,0
-68,845,-918,1154,105,-456,0
799,971,3669,-1069,-842,282,0
-146,963,-234,-249,-2577,-137,0
-1292,2304,-1509,-256,1935,-48,0
-298,64,1112,-125,-759,-1002,1
131,-1699,2146,1665,2261,-2686,0
432,189,-22,1409,-327,121,1
1004,-836,-1355,2253,-186,-1381,0
387,-4,-59,-1436,1903,28,0
753,-1751,1429,139,2572,-1444,0
138,-1815,1717,-273,17,237,1
45,201,-445,-804,117,-807,1
-342,2609,559,2525,-606,-346,1
967,-241,-2088,72,3644,2536,0
1306,1396,1532,89,3215,1486,1
1022,-304,-2417,137,1282,1632,0
1359,1856,3846,-3644,52,-394,0
431,117,2942,-1362,589,1777,1
199,115,98,66,-1716,-2977,0
-2786,679,1341,3768,-628,-1766,0
112,588,-1078,-574,211,-1019,1
1405,486,64,1171,1189,178,1
875,-1847,1336,-76,1131,2253,1
408,97,6,1813,228,89,0
-3405,-1937,3755,25,-92,2761,0
96,-2177,-3127,1736,4366,-351,0
-456,-335,207,362,429,-58,1
619,1452,775,-956,987,-911,1
2038,234,1096,1436,-1202,884,1
-543,-1868,-793,1256,-1993,839,0
-875,-3174,-2649,141,228,-316,0
-723,77,28,23,2312,-2831,0
-1633,-1267,-1603,1374,91,1597,0
1664,28,-468,761,-1053,629,1
1179,996,-161,-58,1973,-6408,0
-386,-202,616,1892,-23,-1287,1
2458,5,702,-1965,-306,664,0
-399,-1329,-2167,-1246,-2024,-3028,0
385,-67,-1275,97,-486,388,0
15,-2239,-1566,-822,-632,-887,0
73,1735,911,137,208,1259,1
-177,-701,-1878,-134,-172,1737,0
645,1309,1261,-172,14,-313,1
-3176,686,-1633,-931,-2196,638,0
-583,-407,-612,862,1291,1025,1
-1322,188,1637,346,-2202,-184,0
2529,484,1003,-308,-804,-2568,0
832,-133,-673,404,-27,-385,1
2272,-1795,1557,-3755,2532,2179,0
36,81,1849,-225,254,-653,1
1132,98,1563,-3544,-845,-1846,0
-184,-863,1086,276,-935,1867,1
1021,2744,786,186,724,-1326,1
277,2277,1639,93,-3381,-3395,0
-1457,-458,-1813,-414,-1796,-4245,0
6,2227,2133,1173,491,-2526,0
346,1373,573,293,1637,1306,1
141,124,-206,1592,-218,1486,0
-816,2598,1595,1511,-591,785,1
-947,-1635,1019,-5819,2118,-3937,0
-624,-733,407,-27,-582,-147,1
3948,872,-92,-265,1267,-224,0
-3061,-1827,4174,-105,-559,84,0
-17,-1592,-4516,2,-152,238,0
714,1196,-1942,873,2391,-141,0
417,1519,1297,-579,3781,638,0
-334,-3777,2122,-2666,592,118,0
723,446,194,-548,605,1913,1
256,1466,-1283,219,-1045,-55,1
1366,318,1187,-522,806,1044,1
-2389,-2142,2058,544,1838,281,0
136,1394,-328,1891,1321,-3667,0
13,-1715,924,574,19,103,1
1327,-59,-2,-1411,-8778,14,0
1341,-103,-548,1452,-726,-2,1
359,-562,43,-287,-398,-29,1
3,-5,2799,935,1444,1516,1
141,1001,-278,127,-57,-236,1
501,4336,-5444,2385,-1511,1827,0
1295,468,-397,706,-23,1271,1
395,85,34,-212,469,-2064,0
2916,-3596,1696,192,-2067,-1885,0
-76,-3762,-596,-1422,-219,471,0
-84,94,-192,342,52,24,1
-92,11,955,-1271,4,2069,1
728,-53,1856,109,2677,4064,0
1771,902,703,121,869,2279,1
-261,1632,-943,-364,638,577,1
448,1408,426,88,165,-402,1
-2178,702,2056,-277,23,551,0
634,143,1788,-151,-1657,1962,0
-169,1474,-1758,-852,65,26,0
-2478,454,2904,495,512,-378,0
1248,2357,2507,336,-2,-8,1
-98,1765,1111,1074,-898,936,1
-5474,-1183,409,1031,1571,-839,0
1076,-738,32,705,63,1423,1
-84,-5,582,156,-975,508,1
1161,-44,779,467,297,-89,1
-391,254,354,626,12,63,1
-1404,-915,-39,-4926,2972,-182,0
-2064,-491,-2381,-5,-642,-1935,0
462,-861,804,702,1068,767,1
1726,3,606,-134,1248,481,1
-486,-302,749,-116,-938,221,1
283,521,-364,-873,69,1416,0
-968,54,2867,-9,2158,952,0
-262,-272,262,389,391,2686,1
-1276,2076,402,-88,765,-2488,1
-292,-2323,5151,-1587,-428,2233,0
1652,1832,-1169,-88,1776,-978,1
1677,-984,-267,-182,1163,-26,1
1816,883,993,249,-537,-617,1
89,3606,75,601,541,906,1
-87,59,948,-2027,-9,-3762,0
663,-1601,-671,457,1967,-5217,0
-1616,2588,-1806,-11,-77,-182,0
162,1376,665,742,-585,664,1
104,-2804,-1278,-381,-475,-542,0
-1728,1631,-2731,155,802,-1334,0
5,-478,431,23,1881,96,1
-1,556,2992,-928,1272,-45,1
1099,-648,2068,1068,-392,818,1
1287,1141,331,49,744,-562,1
2987,922,-28,-117,433,1806,1
905,-47,104,-89,-127,821,0
382,171,-2534,-2851,1264,105,0
2668,187,409,681,14,234,0
1628,496,1624,74,1325,-898,1
-359,-1172,-161,-2263,3584,1909,0
206,18,1262,-282,1165,-436,1
-1435,-1596,1034,-932,32,-158,1
276,-206,279,-586,1378,664,1
2824,-879,-6,-399,-296,46,0
67,271,155,-457,1188,-1139,1
-54,-271,-2435,929,-804,-439,0
302,1049,-366,524,747,407,1
304,-867,-158,45,-145,-138,1
-1905,386,-78,-654,-144,1023,0
