@relation satimage

@attribute Sp11 numeric
@attribute Sp14 numeric
@attribute Sp16 numeric
@attribute Sp18 numeric
@attribute Sp23 numeric
@attribute Sp27 numeric
@attribute Sp32 numeric
@attribute Sp34 numeric
@attribute Sp37 numeric
@attribute Sp38 numeric
@attribute Sp43 numeric
@attribute Sp46 numeric
@attribute Sp49 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
67,98,112,101,101,101,94,111,68,115,111,64,98,1
50,76,75,76,76,76,72,69,53,71,64,50,70,1
51,79,75,79,71,78,78,67,56,81,73,52,72,1
68,85,95,88,92,92,92,107,66,104,109,70,92,1
50,76,67,73,73,72,76,66,50,68,64,53,67,1
63,101,111,101,101,98,98,111,64,116,121,64,99,1
63,92,103,87,92,92,92,100,59,99,99,63,86,1
67,96,107,96,96,92,96,100,63,99,95,67,94,1
64,91,94,91,91,92,92,103,71,107,103,67,92,1
67,100,111,100,96,100,100,109,63,108,108,67,94,1
68,102,115,102,91,96,103,112,67,111,111,71,100,1
76,98,111,102,102,96,103,116,71,79,103,84,100,1
70,100,113,100,96,98,98,108,67,106,106,67,94,1
67,79,91,79,75,96,89,91,75,108,99,67,79,1
55,87,87,87,83,85,78,83,56,84,77,52,75,1
78,94,106,90,94,91,91,98,64,103,103,53,85,1
56,83,84,83,79,80,76,79,57,73,73,57,79,1
68,92,103,92,96,92,96,103,70,104,109,70,96,1
93,101,106,94,94,102,94,106,84,116,112,71,88,1
70,92,109,92,96,94,94,108,63,111,111,67,97,1
64,96,116,103,96,100,100,116,70,118,113,70,100,1
63,87,97,87,87,87,87,85,64,95,99,64,88,1
67,100,111,96,96,96,96,113,63,103,103,63,94,1
52,70,75,74,78,75,79,84,53,71,75,57,80,1
53,73,71,73,73,79,76,73,53,83,75,53,74,1
71,96,107,92,87,92,92,100,59,95,91,59,86,1
52,78,79,81,74,75,75,66,53,71,71,50,73,1
79,90,95,90,94,94,87,97,60,98,85,53,83,1
66,89,96,85,78,90,83,88,63,106,97,63,83,1
60,94,111,97,90,91,98,106,56,87,103,64,96,1
63,97,106,97,94,94,98,111,68,107,112,64,99,1
56,79,81,79,79,80,76,75,60,89,94,60,76,1
66,89,100,92,92,94,98,112,70,106,106,74,97,1
59,86,84,83,86,90,87,84,68,106,98,57,87,1
66,96,109,96,100,98,98,108,67,111,115,67,94,1
66,100,113,100,100,98,101,108,63,120,115,67,101,1
60,85,87,88,88,83,87,83,66,91,87,63,85,1
66,100,113,100,100,101,98,112,63,115,111,63,101,1
56,81,87,81,81,87,87,95,63,100,100,63,89,1
64,92,99,88,85,79,83,79,56,75,75,59,81,1
71,96,107,92,87,100,100,113,67,103,103,67,86,1
53,83,79,83,80,79,76,69,50,79,79,50,78,1
53,87,73,76,72,81,74,64,48,72,68,51,71,1
60,83,111,94,94,91,98,111,68,112,107,71,96,1
49,70,71,74,70,72,75,77,50,71,75,53,80,1
75,100,111,100,96,100,100,113,67,112,112,63,101,1
52,72,70,72,72,73,65,71,50,73,69,53,72,1
67,101,106,90,83,98,98,102,71,112,112,76,96,1
64,99,112,96,96,100,96,107,63,109,109,63,100,1
67,98,112,101,101,104,101,102,72,111,115,68,98,1
63,87,75,79,79,92,85,79,59,88,95,63,83,1
68,98,111,98,102,96,96,112,71,111,107,71,100,1
53,73,75,76,73,76,79,73,60,83,75,56,78,1
57,94,94,87,87,88,85,79,51,83,75,48,75,1
59,86,91,86,90,87,83,88,57,81,81,53,76,1
50,80,75,80,80,76,76,73,46,71,71,50,78,1
70,96,100,89,78,101,90,88,67,111,111,70,87,1
55,83,79,79,79,81,78,67,49,73,70,52,75,1
67,92,75,83,92,96,89,79,75,108,99,67,79,1
63,86,84,83,75,83,80,79,60,73,81,64,83,1
64,98,111,102,102,96,99,116,71,116,111,71,104,1
57,76,85,79,83,85,88,83,59,83,87,63,87,1
66,92,109,92,92,94,90,99,60,97,92,57,83,1
68,99,112,96,88,96,92,91,70,109,113,70,100,1
63,86,81,79,75,90,80,79,57,94,85,50,76,1
55,75,79,75,83,70,74,79,52,66,70,56,79,1
63,92,96,89,89,94,90,103,67,97,97,67,90,1
56,83,84,83,83,83,87,79,53,77,77,53,76,1
64,94,106,94,94,92,92,103,67,103,99,67,92,1
67,94,99,90,94,94,90,111,72,106,106,68,94,1
57,79,77,79,83,85,81,87,63,91,91,75,92,1
70,96,83,89,81,98,94,77,70,106,97,67,87,1
51,75,75,75,71,81,74,71,49,66,66,52,72,1
74,94,97,94,94,91,91,85,60,91,87,50,78,1
68,99,116,99,99,104,100,111,66,113,113,66,96,1
57,83,92,83,87,83,83,85,53,83,79,46,78,1
70,100,109,100,100,94,90,103,67,106,102,63,87,1
63,90,103,94,90,90,94,106,68,106,106,72,94,1
80,103,116,99,96,100,100,111,70,113,113,66,100,1
56,74,75,78,81,83,83,81,57,84,84,50,80,1
67,92,87,87,87,92,85,79,59,91,84,52,79,1
50,68,69,76,76,74,70,71,51,68,68,55,71,1
68,94,111,94,94,92,92,107,71,99,103,67,96,1
70,96,100,92,96,94,98,103,70,106,106,70,97,1
52,75,73,75,72,76,76,71,50,77,77,50,76,1
72,102,115,102,98,99,99,116,71,111,111,67,96,1
59,94,103,94,90,87,87,92,57,94,85,53,87,1
59,83,81,79,79,80,76,79,53,77,77,53,76,1
80,102,115,102,94,103,103,112,79,103,111,84,92,1
52,72,70,72,72,73,76,75,53,73,77,57,72,1
60,79,73,79,79,85,81,83,63,95,95,63,87,1
68,88,103,92,92,92,92,107,66,104,104,70,96,1
50,73,67,65,73,76,72,69,56,68,68,53,74,1
66,96,113,96,96,94,94,108,67,102,102,63,97,1
59,86,95,90,86,87,83,106,57,85,94,60,94,1
68,92,91,88,85,96,87,87,74,104,104,56,89,1
63,92,104,92,89,94,90,95,60,88,75,63,83,1
64,85,95,85,85,92,92,87,66,113,109,66,100,1
57,90,111,97,94,94,94,106,60,95,103,64,96,1
67,98,112,98,98,97,94,115,72,111,111,68,94,1
63,89,104,92,96,86,94,95,60,97,92,63,87,1
70,94,115,101,101,98,98,111,68,112,116,71,99,1
71,98,108,98,94,94,94,97,72,106,111,76,94,1
64,85,71,85,81,87,87,72,63,83,83,63,81,1
76,96,116,103,103,92,100,111,74,83,71,74,92,1
67,96,116,100,104,92,96,109,67,103,103,67,98,1
51,79,72,75,71,78,78,75,52,70,73,56,79,1
57,87,102,94,94,88,92,103,63,95,99,67,92,1
60,99,51,114,128,83,87,68,70,100,100,66,85,1
85,94,115,97,94,94,91,98,71,103,99,64,96,1
53,80,71,73,73,79,79,77,53,79,83,53,78,1
67,90,103,90,86,87,87,92,64,98,98,64,87,1
63,92,104,92,81,90,90,99,60,97,111,63,90,1
52,75,73,75,79,76,80,84,60,73,77,60,83,1
67,96,107,96,96,78,85,109,63,91,88,67,86,1
67,92,111,96,96,89,92,109,67,95,95,67,86,1
72,98,102,87,83,103,92,103,67,111,111,71,96,1
67,98,112,98,98,97,101,111,68,111,111,68,98,1
56,81,83,78,81,83,75,83,56,83,91,59,85,1
50,70,64,74,67,71,67,61,52,67,63,49,66,1
67,94,111,94,94,98,98,111,71,107,112,68,99,1
67,86,112,98,98,83,87,111,60,85,89,64,91,1
59,79,91,83,87,81,81,83,63,84,73,63,83,1
66,89,113,96,96,86,98,108,63,88,97,67,94,1
79,90,103,86,83,101,94,106,76,111,106,68,91,1
60,85,91,85,85,92,87,87,63,96,96,52,85,1
59,75,81,83,86,83,87,92,64,81,85,64,83,1
71,92,107,96,96,96,92,107,70,109,109,74,96,1
70,92,91,81,81,86,79,77,57,97,84,50,76,1
63,90,102,97,104,91,98,111,60,99,99,68,99,1
53,74,75,78,70,75,79,79,56,75,79,56,81,1
66,96,109,96,96,98,98,108,63,111,106,63,97,1
84,96,83,85,81,92,79,75,78,96,91,66,78,1
63,83,73,75,83,80,83,88,60,81,81,64,83,1
53,76,77,76,76,81,85,83,67,103,91,59,79,1
64,88,103,88,92,92,92,107,70,109,104,70,92,1
52,79,73,75,75,76,69,71,53,69,66,50,76,1
