@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R7-8,10-12,17-18,20-21,24-25,28-30,33-34,36-37'

@attribute Sp17 numeric
@attribute Sp18 numeric
@attribute Sp21 numeric
@attribute Sp22 numeric
@attribute Sp23 numeric
@attribute Sp28 numeric
@attribute Sp29 numeric
@attribute Sp32 numeric
@attribute Sp33 numeric
@attribute Sp36 numeric
@attribute Sp37 numeric
@attribute Sp41 numeric
@attribute Sp42 numeric
@attribute Sp43 numeric
@attribute Sp46 numeric
@attribute Sp47 numeric
@attribute Sp49 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
94,76,89,98,76,76,87,67,71,70,75,71,75,87,71,87,67,4
111,87,106,111,87,92,112,92,92,92,93,87,93,107,88,107,92,3
106,87,102,111,83,84,99,85,84,81,84,83,88,99,84,99,79,3
78,65,77,86,65,71,79,63,68,67,71,67,67,72,67,64,67,7
118,85,103,104,81,88,121,100,84,87,90,92,90,113,95,128,103,3
104,78,99,104,81,84,99,79,84,79,95,103,95,123,82,100,85,3
113,85,95,100,78,79,103,79,79,79,82,85,82,100,78,96,78,3
87,67,79,87,63,67,75,62,71,62,70,70,70,83,66,79,63,4
118,88,107,118,88,88,107,87,88,87,86,89,90,104,90,109,89,3
79,67,68,79,67,67,64,67,59,71,70,66,66,71,66,63,66,5
139,108,126,134,104,90,109,89,90,92,96,90,92,103,87,108,86,3
109,87,107,109,87,82,100,78,78,81,83,83,79,103,79,99,83,3
100,79,91,96,75,78,91,74,74,70,83,72,79,91,79,91,68,4
109,83,107,113,87,86,100,85,90,85,71,75,83,99,87,103,86,3
104,87,107,109,83,86,104,85,86,85,87,86,87,95,83,99,83,3
109,87,103,109,87,86,100,85,90,89,87,86,87,103,87,108,86,3
113,87,107,113,87,90,109,89,90,89,92,86,87,103,87,103,86,3
109,87,103,109,87,90,109,89,86,85,92,86,87,103,92,103,83,3
109,87,111,113,92,86,96,81,86,85,92,86,87,99,87,103,86,3
100,83,91,104,79,82,96,81,82,78,79,79,79,99,83,95,83,3
85,71,75,85,67,82,96,81,78,70,83,83,87,103,79,88,72,7
88,70,87,84,70,79,88,68,79,72,78,73,82,88,78,92,73,4
122,125,40,117,114,42,34,131,46,131,44,133,44,37,44,34,136,2
108,85,104,108,85,83,99,83,87,86,85,83,85,97,82,97,83,3
108,85,100,108,85,87,99,86,87,86,85,83,82,97,93,106,90,3
112,89,104,117,92,87,108,90,92,86,89,87,89,106,89,102,87,3
104,78,96,104,81,83,95,83,83,79,85,83,82,102,82,102,87,3
97,72,91,93,72,78,92,73,74,69,80,72,80,89,80,89,72,4
97,75,88,93,72,74,88,76,67,80,64,83,57,49,50,40,128,4
114,90,112,114,90,93,111,90,89,87,92,87,88,106,84,102,83,3
105,79,103,105,83,78,102,83,82,87,80,79,84,98,80,98,83,3
82,68,77,86,68,70,88,69,74,69,76,72,76,85,68,85,68,7
93,76,75,93,80,57,49,109,50,128,53,114,46,34,46,31,143,2
119,122,37,119,129,47,34,135,44,131,43,146,43,31,43,31,139,2
114,90,111,110,94,88,111,87,92,87,88,88,88,107,88,107,88,3
114,87,106,114,90,84,106,87,88,87,92,92,88,112,84,99,85,3
110,87,106,114,87,92,106,87,92,87,84,85,84,103,88,107,85,3
102,79,98,102,79,84,99,78,80,78,84,87,84,103,84,99,79,3
102,79,98,102,79,80,95,78,80,78,84,83,84,99,79,99,79,3
94,72,81,94,72,56,54,103,56,92,44,129,44,34,48,37,121,2
125,135,34,131,135,46,31,146,43,146,41,150,44,32,44,29,150,2
120,139,34,131,135,43,31,139,43,135,44,141,44,32,48,34,129,2
131,135,31,131,139,43,31,135,43,132,44,129,44,37,48,34,133,2
106,83,102,106,83,88,103,85,88,88,88,83,88,107,88,103,87,3
115,91,111,115,91,88,107,92,88,88,88,87,93,111,88,107,87,3
120,94,111,120,91,92,112,92,88,85,88,96,93,116,88,111,87,3
122,96,107,113,85,88,103,87,84,87,86,92,90,113,90,109,92,3
108,88,107,113,85,88,107,87,88,87,66,85,82,96,90,104,85,3
113,88,107,113,88,88,111,87,93,92,86,89,86,109,86,109,85,3
113,92,112,122,92,84,107,92,88,92,86,89,82,104,86,109,92,3
108,85,107,113,88,88,107,87,88,92,90,85,90,104,90,109,85,3
113,92,107,113,88,84,111,92,84,92,90,85,90,109,90,113,96,3
