@relation segment

@attribute Region-centroid-row numeric
@attribute Region-pixel-count numeric
@attribute Rawblue-mean numeric
@attribute Exred-mean numeric
@attribute Exblue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
117,9,7.444445,3,4.666666,1
109,9,20,5.888889,8.222222,1
124,9,7.333334,4.222222,3.888889,1
142,9,5.222222,5.888889,1.222222,1
107,9,22.88889,3,12,1
145,9,6.555555,3.111111,3.777778,1
98,9,25.88889,0.333333,15,1
123,9,6.888889,3.888889,3.222222,1
115,9,24.11111,1.888889,12.555555,1
142,9,5.777778,4.555555,2.222222,1
102,9,25,0.222222,14.222222,1
64,9,31.88889,-4.222222,23.444445,1
85,9,21.88889,2.777778,11.777778,1
126,9,6.777778,5,3,1
88,9,26.333334,0.888889,15.555555,1
142,9,5.222222,4.888889,1.888889,1
73,9,24.11111,0.444444,15.111111,1
124,9,5.666666,5.333334,1.666667,1
95,9,26.222221,0,15.333333,1
61,9,30.666666,-3.222222,20.777779,1
56,9,37.666668,-7.555555,27.11111,1
147,9,6.666666,-0.777778,7.555555,1
143,9,6.222222,4.111111,2.777778,1
122,9,7.222222,5.111111,2.444444,1
125,9,7.666666,3.444444,4.444445,1
131,9,6.666666,4.777778,2.111111,1
40,9,23.333334,-4.555555,18.444445,1
117,9,7.444445,4,3.333333,1
113,9,6.333334,4.888889,2.555556,1
108,9,19.88889,5.666666,8.333333,1
98,9,20.777779,2.555556,9.888889,1
89,9,28.444445,-2,18.333334,1
131,9,5.444445,6,0.666667,1
134,9,6.666666,5.333334,2.333333,1
103,9,28,-1.888889,18.444445,1
111,9,6.333334,4.444445,2.777778,1
116,9,7,3.444444,4.111111,1
86,9,35,-6.777778,25.555555,1
57,9,34.444447,-4.888889,24.444445,1
118,9,6.666666,4.111111,3.111111,1
100,9,26,1.777778,14.777778,1
138,9,6.555555,4.777778,2.444444,1
56,9,31.333334,-4.777778,22.88889,1
114,9,7.333334,2,5.666666,1
143,9,5.888889,4.555555,2.555556,1
109,9,21,4.333334,9.666667,1
142,9,4.888889,6.333334,0.666667,1
125,9,7.666666,3.444444,4.444445,1
116,9,8.222222,3.222222,5.222222,1
110,9,21.444445,2.888889,10.555555,1
71,9,29.666666,-2.666667,20.666666,1
140,9,5.555555,4.666666,1.666667,1
75,9,34.77778,-7.888889,26.444445,1
123,9,8.444445,2.777778,4.444445,1
84,9,30,-0.888889,18.444445,1
51,9,25.666666,-2.444444,18.222221,1
128,9,6.555555,5.333334,2.666667,1
85,9,21.88889,2.777778,11.777778,1
79,9,21,1.555556,12.555555,1
89,9,23.88889,-0.555556,14.777778,1
111,9,7.666666,2.888889,4.888889,1
122,9,6.888889,4.444445,3.111111,1
110,9,6.333334,0.333333,6.333334,1
81,9,28.777779,-1.111111,18.222221,1
101,9,23.555555,1.888889,13.555555,1
66,9,24,-0.333333,16,1
100,9,28.444445,-1.333333,18.666666,1
115,9,7.888889,3.111111,4.777778,1
60,9,35.22222,-6.222222,25.444445,1
80,9,34.444447,-6,25.333334,1
64,9,31.222221,-5.555555,22.777779,1
141,9,6.222222,4.777778,2.444444,1
120,9,6.777778,5.444445,2.444444,1
118,9,6.222222,3.666667,3.666667,1
88,9,27.333334,-5.444445,20.222221,1
118,9,8.111112,3.333333,5,1
71,9,28.555555,-1.666667,18.666666,1
111,9,5.555555,0.888889,5.222222,1
68,9,23,-0.111111,15.888889,1
133,9,7.888889,4,4.333334,1
128,9,6.444445,5.888889,1.555556,1
62,9,27.222221,-1.888889,18.11111,1
136,9,8,4.555555,3.555556,1
58,9,27.333334,-2.777778,19.222221,1
115,9,28,-2.111111,17.88889,1
113,9,25.444445,-0.777778,15.555555,1
96,9,27.333334,0.666667,16.333334,1
112,9,8.111112,2.333333,5.666666,1
134,9,5.222222,5.111111,1.444444,1
83,9,24.444445,0.333333,15,1
135,9,4.777778,4.555555,1.888889,1
57,9,36.22222,-8.444445,28.222221,1
140,9,7.333334,4.666666,3,1
95,9,26.666666,-0.222222,15.777778,1
60,9,31,-4,21.666666,1
72,9,35.444447,-7.333334,27.666666,1
116,9,27.555555,-1.444444,17.555555,1
67,9,25.88889,-1.333333,17.666666,1
86,9,23.555555,-0.111111,14.888889,1
135,9,6.444445,5.222222,2.222222,1
55,9,26.666666,-1.444444,16.88889,1
129,9,7.333334,4.666666,3,1
85,9,27.11111,-1,18,1
124,9,7.333334,4.222222,3.888889,1
44,9,25.222221,-4.222222,19.444445,1
133,9,7.777778,5,3.333333,1
113,9,6.666666,4.111111,3.444444,1
123,9,8,4.444445,3.777778,1
56,9,25.444445,-1.222222,16.777779,1
140,9,7.333334,4.666666,3,1
92,9,23.333334,2.555556,11.888889,1
128,9,6.666666,4,3.333333,1
123,9,6.666666,5.222222,2.555556,1
89,9,30.444445,-2.333333,19.666666,1
123,9,6.777778,5.666666,2,1
103,9,19.11111,4.555555,8.888889,1
145,9,4,4.888889,0.222222,1
139,9,6.444445,3.666667,3.333333,1
128,9,7.222222,4.111111,3.777778,1
62,9,27.222221,-1.333333,18,1
50,9,30,-4.111111,20.88889,1
102,9,29.777779,-2.888889,20.11111,1
114,9,7.444445,3.333333,4.666666,1
129,9,7.555555,5.333334,2.666667,1
104,9,28.666666,-4.111111,20.222221,1
137,9,6.444445,5.777778,1.777778,1
90,9,32.22222,-3.555556,22.11111,1
134,9,7.111111,4.111111,3.111111,1
115,9,21.777779,-2.666667,15.666667,1
77,9,31.555555,-3.111111,21.222221,1
135,9,5.444445,5.666666,1.333333,1
130,9,6.666666,5,2.666667,1
92,9,24.11111,-0.888889,15.111111,1
117,9,26.333334,-0.333333,15.333333,1
138,9,6.333334,4.666666,2.666667,1
124,9,6,4.666666,2.666667,1
54,9,32.555557,-5.444445,23.88889,1
124,9,7.333334,4.444445,3.444444,1
107,9,20.666668,3.444444,10.444445,1
53,9,38.333336,-12.888889,33.77778,1
119,9,27.333334,-0.777778,17.222221,1
59,9,30.88889,-3.555556,21.11111,1
126,9,5.777778,4.555555,2.555556,1
111,9,7,4,4,1
92,9,29.777779,-3.333333,20.666666,1
149,9,8.666667,-4,9.666667,1
67,9,30.777779,-2.555556,21.11111,1
129,9,7.333334,4.666666,3,1
55,9,31.11111,-5.333334,23,1
138,9,6.555555,4.777778,2.444444,1
80,9,31.555555,-1.444444,20.222221,1
60,9,30,-3.888889,22.11111,1
57,9,34.444447,-4.888889,24.444445,1
67,9,25.88889,-1.333333,17.666666,1
139,9,7.222222,4.333334,3.333333,1
145,9,6.555555,3.111111,3.777778,1
120,9,30.444445,-4.666666,20.333334,1
104,9,23.222221,1.555556,13.555555,1
118,9,7,4.777778,2.777778,1
129,9,7.444445,4.777778,3.111111,1
101,9,26.777779,-0.222222,16.444445,1
108,9,21.11111,4,10.333333,1
67,9,35.88889,-6.111111,26.222221,1
68,9,28.444445,-3.444444,20.555555,1
116,9,8.222222,3.222222,5.222222,1
113,9,6.666666,4.555555,3.222222,1
106,9,25.11111,0,15.333333,1
72,9,35.77778,-8.777778,27.88889,1
63,9,27.777779,-3.777778,20.555555,1
130,9,6.222222,4.666666,2.666667,1
64,9,25.11111,-4,18.666666,1
117,9,7.555555,1.666667,5.333334,1
136,9,7.222222,4.555555,2.888889,1
106,9,29.88889,-3.111111,20.555555,1
55,9,31.11111,-5.333334,23,1
122,9,6.666666,4.111111,3.111111,1
132,9,6.222222,5.111111,1.444444,1
74,9,28.88889,-2.222222,19.444445,1
60,9,35.22222,-6.222222,25.444445,1
68,9,36.88889,-8.888889,29.11111,1
121,9,30.11111,-4.333334,21,1
118,9,6.666666,3.222222,3.555556,1
73,9,26.777779,-2.555556,18.444445,1
91,9,24.555555,0.111111,14.444445,1
67,9,27.88889,0.888889,16.88889,1
112,9,7.222222,3.555556,3.888889,1
111,9,7,3,4.666666,1
131,9,6,4.444445,2.444444,1
113,9,16.88889,7.222222,6.555555,1
115,9,8.555555,3,5.333334,1
114,9,20.11111,5.333334,8.666667,1
126,9,8,3.555556,4.555555,1
42,9,31.11111,-7.777778,25.555555,1
111,9,6.888889,5.222222,2.888889,1
63,9,29.666666,-6.111111,21.88889,1
114,9,6.111111,3.888889,2.555556,1
144,9,5.777778,3.555556,2.888889,1
131,9,6.111111,4.666666,2.333333,1
94,9,27.333334,-1.666667,18.333334,1
143,9,6.777778,4,4,1
108,9,28.222221,-2.777778,18.88889,1
116,9,7.666666,3,4.666666,1
