@relation segment

@attribute Vegde-sd numeric
@attribute Rawred-mean numeric
@attribute Rawblue-mean numeric
@attribute Exblue-mean numeric
@attribute Exgreen-mean numeric
@attribute Saturatoin-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
1.840741,20.88889,28.333334,19.666666,-17,0.430399,1
0.062963,7,7.444445,4.666666,-8,0.56746,1
4.611113,23.333334,34.77778,26.444445,-18.555555,0.429663,1
0.433333,19,19.88889,8.333333,-14,0.378839,1
0.285185,21.333334,28.11111,18,-15.666667,0.398448,1
1.051853,18.88889,21.88889,11.777778,-14.555555,0.399751,1
0.207407,6.444445,5.777778,2.555556,-7.111111,0.611111,1
1.407408,22,29.333334,19.777779,-17.555555,0.423501,1
1.274074,24.222221,35,25.555555,-18.777779,0.421495,1
0.062963,7.444445,6.777778,3,-8,0.581349,1
0.251852,4.111111,8.666667,9.666667,-5.666666,0.578339,1
1.440742,20.555555,24.11111,12.555555,-14.444445,0.375321,1
0.02963,7.555555,7.444445,3.666667,-7.666666,0.542108,1
1.911109,24,31.666666,20.444445,-17.88889,0.40212,1
1.629631,22.666666,35.11111,28.11111,-18.88889,0.446118,1
2.907407,21.333334,27.777779,17.666666,-16,0.400445,1
0.388889,7.333334,7.888889,4.777778,-7.888889,0.541887,1
0.088889,7.111111,6.888889,3.222222,-7.111111,0.531746,1
3.040741,25.333334,38.22222,29.444445,-20.222221,0.430558,1
2.018517,19,20.11111,8.666667,-14,0.393691,1
0.207407,7.666666,7.444445,3.333333,-7.333334,0.510362,1
5.351851,18.88889,21.444445,10.555555,-13.444445,0.368848,1
0.488889,18.777779,23.777779,15.222222,-15.444445,0.42886,1
0.8,19,21.11111,10.333333,-14.333333,0.388756,1
0.062963,6,5.777778,2.888889,-6.444445,0.574603,1
0.4,23.333334,36,28.666666,-19.333334,0.442788,1
3.411111,24.666666,34.444447,24.444445,-19.555555,0.425691,1
0.296296,7.111111,6.444445,2.777778,-7.555555,0.599427,1
3.185182,18.666668,24.222221,15.777778,-14.888889,0.419522,1
0.462963,21.666666,30,20.88889,-16.777779,0.418746,1
2.711112,15.666667,23.333334,18.444445,-13.888889,0.46306,1
0.018518,7,6.666666,3.111111,-7.222222,0.545635,1
0.151852,7.555555,8.222222,5.222222,-8.444445,0.559171,1
0.122222,7.333334,8.222222,5.333334,-8,0.53858,1
0.074074,7.666666,6.888889,2.888889,-8.111111,0.581349,1
1.051853,18.88889,21.88889,11.777778,-14.555555,0.399751,1
0.444444,7.777778,7.888889,4.333334,-8.333333,0.558201,1
3.411111,24.666666,34.444447,24.444445,-19.555555,0.425691,1
0.166667,7.444445,7.333334,3.888889,-8.111111,0.563492,1
0.074074,7,6.333334,2.666667,-7.333334,0.56746,1
0.166667,7.777778,6.444445,1.777778,-7.555555,0.573633,1
0.211111,8.777778,8.222222,2.777778,-7.222222,0.450309,1
0.596297,8.444445,7.222222,1.777778,-7.222222,0.501014,1
1.007407,22.555555,27.88889,16.88889,-17.777779,0.414836,1
0.833334,20.555555,27.222221,18.11111,-16.222221,0.419469,1
0.951851,21.11111,30.222221,22.444445,-17.555555,0.440708,1
3.940742,23.444445,31.555555,21.222221,-18.11111,0.415737,1
0.062963,7.333334,7.666666,4.444445,-7.888889,0.545635,1
1.52963,20,25.444445,15.555555,-14.777778,0.396589,1
0.266666,21.777779,28.444445,18.666666,-17.333334,0.421994,1
0.385185,21.666666,28.444445,18.333334,-16.333334,0.403687,1
0.72963,23,30.11111,19.333334,-17.333334,0.406015,1
3.733334,21.11111,26.222221,15.333333,-15.333333,0.388363,1
0.207407,6.888889,6.666666,3.444444,-7.555555,0.566138,1
1.762962,18.777779,23.88889,14.777778,-14.222222,0.402507,1
0.118518,7.555555,7.666666,4.222222,-8.111111,0.543871,1
0.488889,19.222221,20,8.222222,-14.111111,0.384997,1
0.162963,6.333334,6.555555,3.777778,-6.888889,0.564153,1
2.074072,22,29.11111,19.444445,-17.555555,0.420486,1
0.107408,21.666666,26,14.777778,-16.555555,0.401042,1
0.518519,20.777779,27.222221,18,-16.666666,0.423121,1
1.496295,24.555555,34.444447,24.11111,-18.555555,0.413217,1
0.562963,8.444445,7.555555,2.666667,-8,0.530556,1
4.744444,23.555555,35.77778,27.88889,-19.11111,0.436895,1
2.21111,20.333334,24.666666,14.444445,-15.888889,0.41031,1
2.029629,19.444445,23,13.111111,-15.555555,0.413785,1
2.388888,17.333334,25.222221,19.444445,-15.222222,0.457681,1
0.32963,19.222221,22.555555,12.666667,-15.333333,0.410306,1
