@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2-3,11,16,20'

@attribute Region-centroid-row numeric
@attribute Region-pixel-count numeric
@attribute Rawred-mean numeric
@attribute Exgreen-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
41,9,111.888885,-16.777779,2
141,9,0,-0.111111,5
197,9,56.22222,-22.666666,6
134,9,2.222222,-3.888889,3
146,9,0,-0.111111,3
58,9,6,-8.555555,5
182,9,48.555557,-22.222221,6
120,9,11.222222,-9.888889,3
130,9,0,0,5
138,9,0,-2.888889,3
42,9,95.666664,-12.111111,2
116,9,17.88889,-10.555555,5
108,9,41.77778,-9.777778,3
118,9,30.777779,-11.333333,4
136,9,4.111111,-4,3
175,9,50.77778,-23.555555,6
128,9,2.444444,-4.222222,3
117,9,33.555557,-15.777778,4
85,9,42.444443,-18.666666,4
158,9,6.333334,-6.888889,4
32,9,103.888885,-11,2
129,9,27.555555,-13.777778,4
92,9,21.777779,-17.333334,1
111,9,7,-7.777778,1
94,9,0.222222,-3.222222,5
94,9,0.111111,-4.777778,3
129,9,19.11111,-13.777778,4
13,9,134.33334,-8.777778,2
202,9,50.22222,-21.333334,6
98,9,1.222222,-3.333333,3
93,9,1,-4.666666,5
139,9,57.88889,-22,4
204,9,49.77778,-21.666666,6
247,9,6,13,7
33,9,114.666664,-14,2
90,9,17.333334,-14.222222,5
62,9,4.111111,-8,5
147,9,0.222222,-0.222222,5
73,9,115.44444,-14.888889,2
125,9,63.22222,-23,4
69,9,19.222221,-2.777778,3
98,9,2.333334,-5.222222,3
112,9,12.111111,-10.888889,5
232,9,11.222222,13.888889,7
169,9,13.444445,8.333333,7
203,9,48.666668,-20.222221,6
129,9,46.88889,-16.666666,4
140,9,7.444445,-7,1
134,9,6.444445,-6.555555,1
154,9,0.444444,-1.555556,5
188,9,13.333333,12.444445,7
180,9,11.111111,12.555555,7
245,9,6.222222,1.777778,7
66,9,41.555557,-9.666667,4
96,9,2.111111,-4.333334,3
85,9,45,-18.777779,4
21,9,116.22222,-14.222222,2
68,9,37.555557,-9.888889,4
232,9,11.333333,10.333333,7
223,9,4.888889,11.333333,7
144,9,0,-2.888889,3
86,9,8.777778,-5.555555,3
134,9,1,-4.333334,5
32,9,110.22222,-16.333334,2
140,9,0.222222,-0.555556,5
64,9,22,-17.777779,1
189,9,10.888889,17.222221,7
141,9,0,-0.222222,5
122,9,17.88889,-9.666667,3
162,9,37.444443,-11.888889,6
89,9,0.777778,-3.777778,5
67,9,0.777778,-1.222222,5
133,9,0,-1.111111,5
24,9,117.666664,-12.222222,2
220,9,5.333334,8.777778,7
200,9,5.777778,11.222222,7
57,9,24,-19.777779,1
82,9,4.333334,-5.777778,3
140,9,2.666667,-3.666667,5
201,9,6.222222,11.333333,7
131,9,0.222222,-1.555556,3
243,9,9.888889,14,7
19,9,131.55556,-7.333334,2
67,9,99.44444,-21.88889,2
193,9,53.11111,-24,6
222,9,8.555555,7.333334,7
89,9,13,-10.666667,5
197,9,4.111111,11.666667,7
94,9,20.666668,-16.666666,1
244,9,6.666666,5.444445,7
22,9,42.77778,-19,4
136,9,3.666667,-5.888889,5
194,9,51.77778,-20.11111,6
189,9,10.444445,17.666666,7
35,9,96.44444,-11,2
236,9,13.111111,7.111111,7
159,9,5.111111,-5.888889,4
198,9,45.555557,-19.333334,6
47,9,114.111115,-18.555555,2
100,9,2.777778,-6.555555,3
113,9,16.88889,-10.888889,5
184,9,28.444445,-9.555555,6
144,9,0,0,5
185,9,29.222221,-11.333333,6
79,9,73.55556,-30,2
