@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,4-5,7,10-11,14,16,20'

@attribute Region-centroid-row numeric
@attribute Short-line-density-5 numeric
@attribute Short-line-density-2 numeric
@attribute Vegde-sd numeric
@attribute Intensity-mean numeric
@attribute Rawred-mean numeric
@attribute Exred-mean numeric
@attribute Exgreen-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
153,0,0,0.062963,0.37037,0,-1.111111,-1.111111,5
145,0,0,0.611616,0.555556,0.333333,-0.666667,-1.333333,5
142,0,0,0.827759,1.814815,0.888889,-2.777778,-2.777778,5
173,0,0,1.069787,19.222221,16.444445,-8.333333,16.666666,7
122,0,0,0.062963,5.555555,7,4.333334,-7.666666,1
145,0,0,0.490654,3.407408,2.333334,-3.222222,-3.888889,5
249,0,0,3.629631,10.518518,7.555555,-8.888889,16.11111,7
199,0,0,2.97894,55.666668,49.11111,-19.666666,-22.666666,6
103,0,0,3.096298,61.25926,56,-15.777778,-20.777779,4
41,0,0,0.774073,137.14815,130.66667,-19.444445,-10.777778,2
123,0,0,0.374074,1.185185,0,-3.555556,-2.888889,3
188,0,0,2.573368,55.77778,49.666668,-18.333334,-21.666666,6
250,0,0,1.420746,9.222222,6.555555,-8,13.666667,7
134,0.111111,0,2.044446,26.703703,20.333334,-19.11111,-13.111111,5
111,0,0,0.403687,18.037037,9.666667,-25.11111,-11.111111,3
211,0,0,1.327765,17.962963,14.444445,-10.555555,15.444445,7
200,0,0,2.133507,61.037037,54.11111,-20.777779,-25.444445,6
135,0,0,1.128748,32.703705,28.555555,-12.444445,-12.444445,4
102,0,0,0.062963,51.703705,46.22222,-16.444445,-21.444445,4
184,0,0,0.077778,11.851851,9.777778,-6.222222,12.111111,7
61,0,0,0.278887,7,4.444445,-7.666666,-8.333333,5
94,0,0,0.311111,1.185185,0.222222,-2.888889,-3.222222,5
174,0,0,1.007406,19.074074,15.111111,-11.888889,15.777778,7
85,0,0,0.299998,101.03704,88.77778,-36.77778,-27.777779,2
116,0,0,1.633333,21.703703,21.222221,-1.444444,-16.11111,1
189,0,0,1.751853,34.11111,30.11111,-12,-14,6
86,0,0,0.018519,12.333333,7.777778,-13.666667,-12.666667,5
60,0,0,0.388886,123.666664,114,-29,-15,2
162,0,0,7.155551,42.185184,36.444443,-17.222221,-10.222222,6
141,0,0,0.136083,0.037037,0,-0.111111,-0.111111,5
136,0,0,0.02963,2.555556,1,-4.666666,-5,5
155,0,0,21.796297,8.259259,5.888889,-7.111111,-6.111111,5
73,0,0,0.82776,46.296295,45.666668,-1.888889,-12.555555,4
176,0,0.111111,1.06284,53.666668,47.11111,-19.666666,-22.333334,6
83,0.111111,0,0.785184,49.851852,46,-11.555555,-17.555555,4
133,0,0,1.007407,5.37037,3.666667,-5.111111,-5.777778,5
77,0,0,0.311108,135.92592,128.55556,-22.11111,-12.111111,2
184,0,0,0.774074,19.444445,15.222222,-12.666667,16.333334,7
215,0,0,0.958394,23.037037,17.11111,-17.777779,19.222221,7
44,0.111111,0,0.403687,47.814816,42.88889,-14.777778,-15.777778,4
193,0,0,1.686548,49.11111,43.333332,-17.333334,-19,6
42,0,0,0.607408,137.07408,130.44444,-19.88889,-11.222222,2
210,0,0,1.129629,17.481482,13.777778,-11.111111,15.555555,7
141,0,0,0,0,0,0,0,5
188,0,0,2.740741,33.333332,29.666666,-11,-13,6
169,0.111111,0,0.774073,19.592592,15.111111,-13.444445,16.222221,7
149,0,0,0.122222,7.518518,5.555555,-5.888889,-7.222222,1
113,0,0,0.996296,14.703704,17.11111,7.222222,-13.777778,1
186,0,0,1.572919,49.51852,45.11111,-13.222222,-21.555555,6
120,0,0,0.340741,1.444444,0,-4.333334,-3.333333,3
195,0,0,2.957101,57.11111,51.333332,-17.333334,-21.666666,6
64,0,0,1.206455,40,35.22222,-14.333333,-16,4
78,0,0,5.67026,30.296297,27.11111,-9.555555,-11.888889,4
116,0,0,0.151852,6.481482,7.555555,3.222222,-8.444445,1
226,0,0,1.424651,11.888889,10.111111,-5.333334,17,7
115,0,0,0.033333,6.666666,8.222222,4.666666,-8.333333,1
49,0,0,0.240742,108.888885,97.111115,-35.333332,-24.666666,2
17,0,0,0.5164,126.14815,115,-33.444443,-13.777778,2
79,0,0,2.285185,16.814816,17.333334,1.555556,-14.111111,1
180,0,0,0.936898,50.407406,45.22222,-15.555555,-20.222221,6
73,0,0,0.785185,4.851852,1.777778,-9.222222,-5.222222,3
110,0,0,2.905932,17.222221,9.222222,-24,-11.333333,3
194,0,0,1.14342,49.74074,44.444443,-15.888889,-19.88889,6
88,0,0,0.471405,7.333334,5.111111,-6.666666,-8,5
53,0,0,0.490654,40.444443,36.88889,-10.666667,-14,4
237,0,0,2.444445,5.851852,4.222222,-4.888889,8.777778,7
78,0,0,0.177777,43.814816,41.11111,-8.111111,-16.11111,4
135,0,0,1.262962,2.185185,0.777778,-4.222222,-3.888889,5
95,0,0,5.911111,5.185185,2.222222,-8.888889,-3.888889,3
198,0,0,1.204928,14.555555,12.111111,-7.333334,15.666667,7
111,0,0,0.45542,28.74074,24.555555,-12.555555,-8.888889,5
211,0.111111,0,6.08889,15.444445,12.444445,-9,9.666667,7
93,0,0,0.389682,17.925926,13.222222,-14.111111,-13.444445,5
50,0,0,1.062841,60.851852,53,-23.555555,-21.222221,4
81,0,0,442.17786,42.555557,34.88889,-23,-4.666666,3
114,0,0,0.062963,5.259259,6.555555,3.888889,-6.444445,1
41,0,0,0.68853,121.48148,110.22222,-33.77778,-18.444445,2
35,0,0,0.250923,69.44444,61.77778,-23,-24.666666,4
52,0,0,0.596301,111.62963,101,-31.88889,-20.88889,2
133,0,0,0.02963,0.592593,0,-1.777778,-1.777778,5
111,0,0,0.3,1.296296,0,-3.888889,-2.888889,3
70,0,0.111111,1.82168,36.74074,33.666668,-9.222222,-13.888889,4
127,0,0,0.960324,17.592592,9,-25.777779,-11.777778,3
69,0,0,45.929623,11.074074,6.888889,-12.555555,-2.222222,3
189,0,0,4.551854,29.62963,26.777779,-8.555555,-12.222222,6
177,0,0,0.879815,51.074074,46.333332,-14.222222,-21.88889,6
144,0,0,0,0,0,0,0,5
28,0,0,0.389683,122.51852,111,-34.555557,-13.888889,2
249,0,0,2.306994,18,14.666667,-10,17,7
95,0,0,0.699206,2.259259,0.666667,-4.777778,-0.111111,3
129,0,0,0.433333,6.333334,7.888889,4.666666,-7.666666,1
136,0,0,0.177778,0.703704,0.111111,-1.777778,-1.777778,3
92,0,0,0.488889,18.703703,18.777779,0.222222,-15.444445,1
182,0,0,0.433332,19.88889,16.88889,-9,14.333333,7
176,0,0,0.516398,18.481482,15.111111,-10.111111,14.555555,7
129,0,0,0.251852,6.407407,8,4.777778,-7.888889,1
121,0,0,0.800001,23.11111,21.666666,-4.333334,-16.666666,1
66,0,0,1.007407,18.666666,18.555555,-0.333333,-15.666667,1
104,0.111111,0,0.374074,65.296295,59.77778,-16.555555,-21.555555,4
145,0,0,0.196296,0.851852,0.333333,-1.555556,-0.222222,3
139,0,0,0.177778,5.333334,6.555555,3.666667,-7,1
92,0,0,2.418516,19.074074,18.777779,-0.888889,-14.222222,1
29,0,0,0.403687,112.07407,98.55556,-40.555557,-14.888889,2
144,0,0,0,0,0,0,0,5
39,0.111111,0,0.730297,113,99.44444,-40.666668,-13.666667,2
177,0,0,0.551852,19.592592,15.777778,-11.444445,14.888889,7
15,0,0,0.691214,70.07407,61,-27.222221,-24.88889,4
94,0,0,0.607404,95.296295,80.888885,-43.22222,-28.555555,2
176,0,0,0.879815,50.296295,45.444443,-14.555555,-20.88889,6
