@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,7,11,13-14,16,20'

@attribute Region-centroid-row numeric
@attribute Vegde-sd numeric
@attribute Rawred-mean numeric
@attribute Rawgreen-mean numeric
@attribute Exred-mean numeric
@attribute Exgreen-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
237,0.240741,4.222222,8.888889,-4.666666,9.333333,7
210,1.669998,45.444443,44.11111,-17.555555,-21.555555,6
140,0.033333,1.777778,1.222222,-3.777778,-5.444445,5
236,2.696296,9.555555,17.222223,-8.888889,14.111111,7
246,2.094968,21.11111,34.11111,-14.333333,24.666666,7
40,2.072751,1.222222,1,-0.111111,-0.777778,5
157,0.507408,13.888889,23.88889,-13.333333,16.666666,7
140,1.293859,23.444445,23.555555,-9,-8.666667,4
146,0,0,0,0,0,3
107,0.211111,0.333333,1,-5.666666,-3.666667,3
85,1.051853,18.88889,13.111111,2.777778,-14.555555,1
128,4.368658,46.333332,46.333332,-20.777779,-20.777779,4
121,17.3628,37.444443,36.22222,-10.777778,-14.444445,4
71,1.085182,96.666664,97.888885,-27,-23.333334,2
192,1.781593,47.333332,48,-18.333334,-16.333334,6
119,0.518519,21.333334,16.11111,-0.777778,-16.444445,1
35,0.781735,113.77778,120.44444,-34.22222,-14.222222,2
220,0.685185,11.555555,19.222221,-9.222222,13.777778,7
183,0.651852,29.444445,28.222221,-8.444445,-12.111111,6
109,0.488889,19.222221,12.555555,5.888889,-14.111111,1
123,0.385186,15.666667,15.888889,-10.888889,-10.222222,4
57,3.411111,24.666666,19.777779,-4.888889,-19.555555,1
39,5.737789,7.333334,6.888889,-6.555555,-7.888889,5
92,4.63641,8.777778,10.555555,-11.666667,-6.333334,3
95,1.040741,0.777778,1.222222,-7.111111,-5.777778,3
182,1.099999,31.555555,29.777779,-8.888889,-14.222222,6
183,1.18165,48.88889,46.666668,-15.444445,-22.11111,6
226,1.707407,10.222222,18.333334,-9.777778,14.555555,7
137,0.077778,0.666667,0.555556,-3,-3.333333,5
111,3.451851,15.555555,16.222223,-11.333333,-9.333333,5
85,1.051853,18.88889,13.111111,2.777778,-14.555555,1
225,1.00554,14.444445,21.333334,-5.222222,15.444445,7
144,0.062963,6,2.666667,3.555556,-6.444445,1
189,1.00554,14.555555,23.222221,-8.222222,17.777779,7
49,0.574134,35.666668,34.333336,-7.111111,-11.111111,4
188,1.128748,45,43.444443,-15.555555,-20.222221,6
162,3.985182,35,37.88889,-19,-10.333333,6
