@relation segment

@attribute Region-centroid-row numeric
@attribute Hedge-mean numeric
@attribute Rawred-mean numeric
@attribute Rawgreen-mean numeric
@attribute Saturatoin-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
111,0.5,6.444445,2.888889,0.60119,-1.181388,1
131,0.777778,6.666666,2.888889,0.566138,-0.874641,1
128,0.666667,6.888889,3.111111,0.561508,-0.985811,1
123,0.388889,8,3.555556,0.555776,-0.761648,1
121,2,21.666666,17.555555,0.415524,-1.740736,1
65,2.333334,20.11111,15.555555,0.419418,-1.665853,1
63,1.5,17.222223,13.333333,0.435021,-1.683847,1
149,0.722222,4.111111,3.555556,0.578339,-1.985703,1
128,0.888889,7.888889,3.444444,0.563713,-0.7213,1
140,1,7.888889,3.777778,0.537017,-0.909267,1
122,0.333333,7,3,0.581349,-0.953435,1
88,2.944445,18.777779,15.666667,0.424904,-1.785147,1
96,2.833333,20.777779,16.666668,0.399499,-1.676921,1
60,2.166666,22.444445,17.88889,0.420823,-1.713134,1
115,0.777778,7.333334,3.666667,0.541887,-1.175454,1
111,0.444445,7,3,0.59127,-1.041434,1
116,1.555556,21.222221,16.333334,0.407364,-1.632243,1
145,0.611111,5.555555,2.222222,0.600529,-0.57094,1
92,2,20.222221,14.555555,0.376574,-1.408242,1
123,0.888889,7.888889,4.555555,0.475,-1.18068,1
55,1.777777,21.666666,17.555555,0.43507,-1.771163,1
145,0.5,5.333334,1.888889,0.655556,-0.959485,1
34,1.5,18.222221,14.888889,0.466345,-1.823148,1
118,0.666667,7.555555,3.666667,0.56433,-1.134543,1
100,2.666667,20.88889,15.444445,0.394331,-1.519702,1
93,2.111111,18.88889,15.444445,0.419233,-1.730306,1
121,0.611111,8,3.777778,0.528219,-0.914324,1
149,1.055556,5.555555,5.111111,0.578708,-2.018631,1
55,1.277778,20.555555,15.888889,0.404791,-1.634416,1
116,4.777777,17,11.555555,0.447187,-1.162844,1
116,0.333333,6.777778,3.111111,0.575397,-1.099624,1
69,1.611111,22,18.444445,0.431547,-1.811203,1
138,0.5,6.777778,2.666667,0.603836,-0.722894,1
114,0.444444,6.111111,2.888889,0.603175,-1.314533,1
62,3.388889,23.777779,20.666668,0.450305,-1.888408,1
139,0.833333,7.555555,3.555556,0.532628,-0.965946,1
101,1.277778,21.222221,15.888889,0.404792,-1.558599,1
102,2.611111,22.11111,17.333334,0.417763,-1.68544,1
124,0.833333,7.555555,3.666667,0.542108,-1.011484,1
125,0.666667,7.333334,3.555556,0.545635,-1.121818,1
51,2.666667,22.666666,19.444445,0.446118,-1.873032,1
85,1.777778,18.88889,13.111111,0.399751,-1.386867,1
66,2.944444,25.333334,21.666666,0.430558,-1.844993,1
132,0.222222,7.111111,2.888889,0.593254,-0.808383,1
140,1,7.888889,3.777778,0.537017,-0.909267,1
120,3.222222,22.11111,18.444445,0.394863,-1.76489,1
112,0.555555,7.111111,3.444444,0.544092,-1.058277,1
56,1.5,22.11111,17.666668,0.43596,-1.748835,1
130,0.666667,7.444445,3.222222,0.575397,-0.871495,1
53,1.166667,20.88889,16.333334,0.404138,-1.662177,1
71,2.833333,21.88889,16.777779,0.43357,-1.66796,1
128,0.666667,7.444445,3,0.597443,-0.837598,1
145,0.722222,6.333334,3,0.564153,-1.068968,1
90,5.111111,22,16.777779,0.420486,-1.622331,1
116,1.555556,21.222221,16.333334,0.407364,-1.632243,1
133,0.5,8.333334,3.888889,0.53858,-0.924817,1
116,0.888889,21.333334,16.88889,0.398448,-1.670314,1
92,2.166667,18.777779,13.555555,0.42886,-1.548296,1
57,1.944445,24,20.222221,0.440509,-1.837675,1
124,0.444444,6.666666,2.666667,0.608466,-0.877707,1
70,1.833333,23,17.88889,0.406015,-1.649603,1
87,2.722222,18.222221,12.777778,0.391731,-1.318373,1
114,2.111111,16.11111,10.333334,0.408644,-1.179347,1
84,1.611111,23.555555,18,0.398791,-1.598867,1
135,0.833333,6.888889,2.666667,0.613757,-0.692028,1
92,2.5,18.777779,14.333333,0.401025,-1.570588,1
79,2.111111,17.333334,12.111111,0.422337,-1.453114,1
143,0.444445,6.555555,2.666667,0.595238,-0.907416,1
75,2.222222,23.333334,19.777779,0.429663,-1.8356,1
138,0.833333,7.333334,3.333333,0.543871,-0.862108,1
66,1.5,18.555555,13.444445,0.437855,-1.569253,1
135,0.888889,7.111111,3,0.599427,-0.892179,1
100,1.388889,21.777779,16.444445,0.421994,-1.623301,1
122,0.777778,7.333334,3.333333,0.549603,-0.942559,1
115,2.222223,15.666667,12.222222,0.425538,-1.54801,1
134,0.777778,7.444445,3.666667,0.529982,-0.966318,1
