@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R1,3,7-11,16,18-20,23-24,27,34,37,43,46,49,56,58'

@attribute Word_freq_make numeric
@attribute Word_freq_all numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_internet numeric
@attribute Word_freq_order numeric
@attribute Word_freq_mail numeric
@attribute Word_freq_receive numeric
@attribute Word_freq_free numeric
@attribute Word_freq_email numeric
@attribute Word_freq_you numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_money numeric
@attribute Word_freq_george numeric
@attribute Word_freq_415 numeric
@attribute Word_freq_1999 numeric
@attribute Word_freq_original numeric
@attribute Word_freq_edu numeric
@attribute Char_freq1 numeric
@attribute Capital_run_length_longest numeric
@attribute Spam {1,0}

@data
0,0,0.31,0.63,0.31,0.63,0.31,0.31,0,3.18,0,0,0,0,0,0,0,0,0,40,1
0,0,0,0,0,0.64,0.96,0.96,0.32,3.85,0,0,0,0,0,0,0,0,0,4,1
0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0.404,12,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1
0,3.03,0,0,0,0,0,3.03,0,0,0,0,0,0,0,0,0,0,0,11,1
0,0,0,0,0,0,0,0,0,0,0,0,1.26,0,0,0,0,0,0,17,1
0,0,0,0,0,0,0,1.08,0,1.08,0,0,0,0,0,0,0,0,0,30,1
0,0,1.04,0,0,0,0,0,0,3.66,0,0,0,0,0,0,0,0,0.061,59,1
0,0.45,0,0,0,0,0,0.45,0.91,1.36,0,0,0,0,0,0,0,0,0,61,1
0,0.94,0,0,0,0.94,0,2.83,0,0.94,0,1.88,0,0,0,0,0,0,0,245,1
0,0.46,0.46,1.86,0,0.93,0.46,1.86,0,0.93,0.46,0,0.46,0,0,1.4,0,0,0,64,1
0.05,0.4,0,0.05,0.1,0,0,0,0.5,1.55,0.3,0.15,0.2,0,0,0,0,0,0,96,1
0.5,0.34,0,0.19,0.57,0.65,0.3,0.23,0,3.08,0,0.5,0.5,0,0,0,0,0,0.011,595,1
0,0,0.4,0.4,0,0,0.4,0.4,0,4,0,0,0.4,0,0,0,0,0,0,12,1
1,0.33,0,0,0,0,0,0.66,0,2.33,0,1.66,0.33,0,0,0,0,0,0,21,1
0,1.68,0,0,0,0.33,0,0.33,0,2.02,0,0,0,0,0,0,0,0,0,19,1
0,0.35,0,0,0,0,0,0.35,1.42,1.77,0,0,0,0,0,0,0,0,0,61,1
0,1,0,0,0,0.5,0,0.5,0,2.5,0,0,0,0,0,0,0,0,0,19,1
0,0.53,0,0.05,0.11,0,0,0.05,0.53,1.19,0.35,0.23,0.23,0,0,0,0,0,0,14,1
0,0.56,1.12,1.12,0,0,0.56,2.25,1.12,2.25,0,0.56,0,0,0,0,0,0,0,5,1
0,0.61,0.61,0,0,0,0,0,1.85,2.46,0,0,0,0,0,0,0,0,0,13,1
0.46,0,0,0.46,0,0.23,0.23,0,1.84,1.84,0,1.61,0,0,0,0,0,0,0,30,1
0.07,0.81,0.07,0,0.07,0.37,0.07,0,0.44,3.55,0,0,0.14,0,0,0.14,0,0,0.049,44,1
0,0.33,0.33,0.33,0,0,0,0.33,0,1.98,0,0,0.33,0,0,0,0,0,0,50,1
0,0.58,0.58,0,0,0,0,0.58,0,1.76,0,0,0,0,0,0,0,0,0,8,1
0,0.47,0,0,0.47,0,0,0.95,0,1.42,0,0.95,0,0,0,0,0,0,0,61,1
0,0.69,0.17,0,0,0.51,0.17,0.17,0.86,0.34,0.17,0,0,0,0,0,0,0,0,149,1
0,0.57,2.28,0,0,0.57,0,0,0.57,3.42,0,0,0,0,0,0,0,0,0,147,1
0,0.32,0.32,0.32,0,0,0,0.32,0,2.28,0,0,0.32,0,0,0,0,0,0,10,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
0,1,1,0,0,0,0,0,3,2,0,1,1,0,0,0,0,0,0,11,1
0,0,0,0,0,0,0,1.05,0,3.15,0,0,0,0,0,0,0,0,0,28,1
0.64,0.64,0,0,0,0,0,1.29,0,1.93,0,0.64,0,0,0,0,0,0,0,22,1
0,0,0.6,0,0,0,0.6,0,1.21,1.82,0,0,0,0,0,0,0,0,0,11,1
0,0,0,1.29,0,0.43,0,0.43,1.73,0.43,0,0,0,0,0,0,0,0,0,8,1
0.48,1.45,0,0,0,0,0,0.48,0,4.36,0,0,0,0,0,0,0,0,0,8,1
0,0.71,0,0,0.23,0.23,0.23,0.23,0,3.81,0.23,0,0,0,0,0,0,0,0,97,1
0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,62,1
0,0.59,0,0.59,0,0,0,0,0.59,2.97,0,1.78,0,0,0,0,0,0,0,12,1
0.1,0.03,0,0,0,0.1,0.1,0.37,0,0.43,0,0,0,0,0,0.06,0,0,0.014,113,1
0,0,0,0.42,0,0,0,0,0.42,0.42,0,0,0,0,0,0,0,0,0,36,1
0.51,0.29,0,0.18,0.54,0.62,0.29,0.21,0.03,3.03,0,0.51,0.54,0,0,0,0,0,0.012,739,1
0,0.71,0,0,0,0,0,0.35,1.43,1.79,0,0,0,0,0,0,0,0,0,61,1
0,0.88,0,0,0,0,0,0,0,0.88,0,0,0,0,0,0,0,0,0,51,1
0,0,0,0,0,0,0,0,0,1.2,0,0,3.61,0,0,0,0,0,0,17,1
0,0.51,0,0,0,0,0,0,0,1.54,0,0,0.51,0,0,0,0,0,0,12,1
0,1.25,0,0,0,0,0,1.25,0,5,0,0,0,0,0,0,0,0,0,4,1
0,0,0,0.47,0,0.95,2.61,0,0,3.8,0,0.23,0,0,0,0.95,0,0,0,55,1
0,0.41,0.2,0,0.2,0.61,0.41,0.61,0,2.89,3.09,0,0.2,0,0,0,0,0,0.098,45,1
0.65,0.32,0,0.49,0.65,0.49,0.16,1.14,0.16,3.6,0.49,0,0.49,0,0,0,0,0.16,0,47,1
0,0,0,3.33,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
0,0.62,0,2.82,0,0.31,0.31,2.5,0,5.32,0.31,0,0.62,0,0,0,0,0,0,6,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1
0.14,0.29,0,0,1.03,0.29,0.14,0,0.14,2.36,0.14,0,0.44,0,0,0,0,0,0,73,1
0,0,0,0,0,0,0,0.92,0.92,1.85,0.46,0.46,0,0,0,0,0,0,0,10,1
0,0,0,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0,0,0,1,1
0,0,0,0.66,0,0,0,0,6.66,3.33,0,0,0,0,0,0,0,0,0,7,1
0.52,0.4,0.05,0.14,0.46,0.52,0.31,0.11,0.11,2.9,0,0.63,0.52,0,0,0,0,0,0,159,1
1.18,0.59,0.19,0.19,1.38,0.39,0,0.98,0,2.56,0.39,0,1.38,0,0,0,0,0,0,76,1
0.17,0.69,0,0.86,0.17,0.69,0.34,0,0.34,2.07,1.55,0,0.34,0,0,0,0,0,0,63,1
0,0,0,0.63,0,0,0,0,0,3.82,0,0,0,0,0,0,0,0,0,12,1
0.89,0.89,1.78,0,0,0,0.89,0,0,6.25,0,0,0,0,0,0,0,0,0,16,1
0.13,0.52,0.13,0,0,0.39,0.13,0.13,0.78,0.39,0.13,0,0,0,0,0,0,0,0,149,1
0,0.28,0,0,0,0,0.02,0,0,0.14,0,0,0.04,0,0.07,0,0,0,0,154,1
0,0.61,0,0.2,0.4,0.61,0,0,0,2.86,0,0,0.2,0.2,0,0,0,0,0,31,1
0,0,0,0,0,0,0,0,0,2.58,0,0.86,0,0,0,0,0,0,0.142,70,1
0,0.61,0.41,0.2,0,0.2,0,0.2,2.47,2.06,0,0,0,0,0,0,0,0,0,32,1
0,0,0,0,0,0.94,0,0,0,2.83,0,0,0,0,0,0,0,0,0,65,1
0.42,0.42,0.42,0,0,0.84,0.42,1.68,0,2.95,0,2.53,0,0,0,0,0,0,0,12,1
0,0.54,0.1,0,0.1,0.21,0,0,0,0,0,0.54,0,0,0,0,0,0,0,14,1
0.09,0.27,0,0.18,0.09,0,0,0,0,2,0,0.36,0.09,0,0,0,0,0,0.015,69,1
0.09,0.27,0,0.18,0.09,0,0,0,0,2,0,0.36,0.09,0,0,0,0,0,0.015,69,1
0,0.68,0,1.36,0,0,0.68,0,0,3.4,0,0.68,0.68,0,0,0,0,0,0,19,1
