@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R5-6,13-14,17-18,20-21,23-24,27,29-31,33-34,43,46-48,51-52,56,58'

@attribute Word_freq_our numeric
@attribute Word_freq_over numeric
@attribute Word_freq_people numeric
@attribute Word_freq_report numeric
@attribute Word_freq_business numeric
@attribute Word_freq_email numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_your numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_money numeric
@attribute Word_freq_george numeric
@attribute Word_freq_lab numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_telnet numeric
@attribute Word_freq_data numeric
@attribute Word_freq_415 numeric
@attribute Word_freq_original numeric
@attribute Word_freq_edu numeric
@attribute Word_freq_table numeric
@attribute Word_freq_conference numeric
@attribute Char_freq3 numeric
@attribute Char_freq4 numeric
@attribute Capital_run_length_longest numeric
@attribute Spam {1,0}

@data
0.71,0.35,0,0,0,0,0,2.85,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0.357,24,1
0.76,0.05,0.02,0,0.02,0.13,0.1,1.57,0.05,0,0,0,0,0,0,0,0,0,0,0,0.016,0.25,66,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.543,6,1
0.48,0,0,0,0,0.97,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0.963,61,1
1.32,0.36,0,0,0,0,0,3.01,0.12,0,0,0,0,0,0.12,0,0,0,0,0,0,0.019,34,1
0,0,0,0,0,0,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,3,1
0.53,0,0,0,0,1.06,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.877,61,1
2.24,0,0.56,0,2.8,0,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,1.083,140,1
0.14,0.03,0.59,1.23,0.44,0.07,0,1.53,0.59,0.63,0,0,0,0,0,0,0,0,0,0,0,0.613,763,1
0,0,0,0,0.46,0.46,0,2.31,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0.082,12,1
0,0.64,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0.284,0.662,131,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.907,7,1
0.33,0.16,0,0,1.68,0.33,1.68,3.69,0,0.33,0,0,0,0,0,0,0,0,0,0,0,1.194,101,1
0,0,0,0,0,0,0,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0.215,25,1
1.49,0,0,0,0,1.49,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,1.81,0,0,0,0,1.09,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0.063,35,1
0.81,0.81,0.27,0,1.63,0.27,1.35,2.44,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0.565,18,1
0,0,0,4.76,0,0,0,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
0.85,0.85,0,0,1.7,0,0,0.85,0,0.42,0,0,0,0,0,0,0,0,0,0,0,1.088,107,1
0,0,0.57,0,0,0.57,0,1.15,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0.518,33,1
0,0.78,0,0,0.78,0,0,0.78,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0.889,15,1
0.89,0,0,0,0,0,0,1.79,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0.944,28,1
0.08,0.43,0.94,0,0,0,0,0.77,0.34,0.34,0,0,0,0,0,0,0,0,0,0,0,0.258,300,1
6.25,0,0,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1
0.29,0,0.14,0,0,0.72,0.14,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0.585,132,1
0.43,0,0,0,0.86,0.43,0,4.76,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0.915,47,1
0,0,0,0,0,0,0,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
0.71,0,0,0,2.87,2.87,0,3.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.937,116,1
0.75,0,0,1.26,0.5,0,0,1.01,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.041,32,1
0.42,0,0,0,0,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,1.117,7,1
0.16,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.906,52,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.284,5,1
0.65,0.65,0.32,0,0.32,0,0,3.25,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,10,1
0.17,0,0,0,0,0.69,0,0.17,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0.754,52,1
0,0,0,0,0,0,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,41,1
0,0,0,0,0,1.73,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,8,1
1.44,0,0.6,0,0.24,0,0,1.8,0.72,0.96,0,0,0,0,0,0,0,0,0,0,0,0.101,54,1
0.33,0,0,0,0,1.65,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0.161,0.537,9,1
