@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R2,7,10,12-13,18,20,23,25-28,30,33,39,41-44,46,51-53,55,58'

@attribute Word_freq_address numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_mail numeric
@attribute Word_freq_will numeric
@attribute Word_freq_people numeric
@attribute Word_freq_email numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_hpl numeric
@attribute Word_freq_george numeric
@attribute Word_freq_650 numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_data numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_cs numeric
@attribute Word_freq_meeting numeric
@attribute Word_freq_original numeric
@attribute Word_freq_project numeric
@attribute Word_freq_edu numeric
@attribute Char_freq3 numeric
@attribute Char_freq4 numeric
@attribute Char_freq5 numeric
@attribute Capital_run_length_average numeric
@attribute Spam {1,0}

@data
0,0,0,0.58,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667,0,1.131,1
0.68,0,0.68,0,0,0,0,0,0.68,0,0,0.68,0,0,0,0,0,0,0,0,0.185,0,0,3.826,1
0,0,0.99,2.48,0.49,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,1.468,1
0.3,0.05,0.74,0.97,0.56,0.02,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325,0.756,5.891,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.529,0,5.5,1
0.3,0,0,0.3,0.2,0.5,0.3,0.15,0.05,0.05,0,0,0,0,0,0,0,0,0.05,0,0,0.054,0.118,2.379,1
0,0.3,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092,0.322,2.074,1
0.39,0,0,0.39,0,0.39,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.16,2.128,1
0,0,0,1.38,0,4.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.715,0,1.181,1
0,0,0,0.33,0.66,0,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.541,5.428,1
0,0,0,0.39,0.78,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261,0,1.461,1
0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,1.064,1
0,0.26,0,0,0,0,0,0,0,0,0,0,0,0.26,0.52,0,0,0,0,0,0,0.31,0,5.549,1
0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.893,0,2.122,1
0,0,0,0.65,0,0,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.816,0.068,3.173,1
0.02,0,0,0.25,0.25,0,0,0.37,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.022,1.423,1
0,0.16,0,0,0,1.5,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0.884,0.752,5.328,1
0,0,0.36,0.36,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0,1.543,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.103,1
0.16,0.08,0.08,1.3,0,0.08,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0.061,0.39,0.097,5.594,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.784,0,5.687,1
0,1.16,0,0,0,0.58,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.09,1.829,1
0.17,0.17,0.53,1.61,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.158,0.057,5.163,1
0,0.35,0,1.06,0,0,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411,0,2.917,1
0,0.06,0.12,0.54,0.3,0.06,0.24,0.85,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0.01,0.167,1.74,1
0,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199,4.818,1
0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085,0.511,0,4.617,1
0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209,0.209,2.776,1
0,0.32,0,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158,1.494,1
0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332,0.11,2.315,1
0.46,0,0.66,0.7,0.62,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319,0.479,6.11,1
0.35,0.35,0.35,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.397,0,3.388,1
0,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199,4.818,1
0,0.14,0.14,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.826,0.745,5.456,1
