@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R3,5-6,11,16,20-21,23,26,29-30,33-34,36-37,40-41'

@attribute A3 numeric
@attribute A5 numeric
@attribute A6 numeric
@attribute A11 numeric
@attribute A16 numeric
@attribute A20 numeric
@attribute A21 numeric
@attribute A23 numeric
@attribute A26 numeric
@attribute A29 numeric
@attribute A30 numeric
@attribute A33 numeric
@attribute A34 numeric
@attribute A36 numeric
@attribute A37 numeric
@attribute A40 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-0.761,-0.498,-0.361,-1.331,-0.662,-0.78,-1.331,-0.992,-0.63,-0.767,-1.02,-0.571,-0.784,-0.562,-0.952,-0.648,2
-0.607,-0.381,-0.315,-1.049,-0.518,-0.601,-1.049,-0.955,-0.603,-0.683,-0.891,-0.436,-0.65,-0.53,-0.835,-0.582,2
-0.699,-0.465,-0.412,-1.193,-0.603,-0.725,-1.193,-0.978,-0.588,-0.661,-0.884,-0.469,-0.711,-0.539,-0.883,-0.639,2
-0.813,-0.539,-0.487,-1.071,-0.77,-0.974,-1.071,-0.877,-0.595,-0.695,-0.982,-0.556,-0.626,-0.579,-0.796,-0.712,2
-0.932,-0.71,-0.671,-1.15,-0.813,-1.028,-1.15,-1.037,-0.608,-0.745,-1.059,-0.681,-0.787,-0.657,-0.964,-0.819,2
-0.773,-0.431,-0.359,-1.044,-0.567,-0.69,-1.044,-0.789,-0.337,-0.469,-0.833,-0.366,-0.574,-0.508,-0.739,-0.51,2
-0.837,-0.424,-0.307,-1.011,-0.633,-0.816,-1.011,-0.999,-0.586,-0.664,-0.926,-0.622,-0.611,-0.651,-0.765,-0.706,2
-0.69,-0.358,-0.216,-1.102,-0.496,-0.522,-1.102,-0.868,-0.4,-0.507,-0.853,-0.328,-0.585,-0.511,-0.746,-0.489,2
-0.564,-0.27,-0.22,-1.013,-0.606,-0.704,-1.013,-0.901,-0.425,-0.575,-0.918,-0.433,-0.527,-0.498,-0.692,-0.551,2
-0.822,-0.53,-0.434,-1.119,-0.692,-0.854,-1.119,-0.972,-0.505,-0.64,-0.986,-0.588,-0.678,-0.629,-0.843,-0.71,2
-0.849,-0.566,-0.458,-1.108,-0.721,-0.905,-1.108,-0.991,-0.484,-0.632,-0.998,-0.615,-0.673,-0.56,-0.847,-0.712,2
-0.907,-0.585,-0.496,-1.111,-0.822,-0.994,-1.111,-1.079,-0.604,-0.703,-1.036,-0.628,-0.652,-0.669,-0.817,-0.71,2
-0.522,-0.23,-0.087,-1.013,-0.345,-0.344,-1.013,-0.909,-0.488,-0.614,-0.881,-0.407,-0.642,-0.475,-0.827,-0.596,2
-0.697,-0.392,-0.282,-1.241,-0.664,-0.756,-1.241,-0.976,-0.435,-0.596,-0.921,-0.465,-0.66,-0.501,-0.81,-0.465,2
-0.75,-0.447,-0.357,-1.156,-0.634,-0.709,-1.156,-0.91,-0.414,-0.568,-0.896,-0.496,-0.606,-0.461,-0.779,-0.529,2
-0.853,-0.487,-0.342,-1.124,-0.68,-0.824,-1.124,-1.024,-0.648,-0.74,-1.036,-0.477,-0.68,-0.547,-0.851,-0.617,2
-0.817,-0.525,-0.415,-1.241,-0.671,-0.816,-1.241,-0.915,-0.462,-0.612,-0.911,-0.42,-0.675,-0.482,-0.833,-0.506,2
-0.929,-0.615,-0.496,-1.295,-0.743,-0.879,-1.295,-1.072,-0.543,-0.703,-1.041,-0.672,-0.776,-0.651,-0.948,-0.762,2
-0.712,-0.443,-0.32,-1.226,-0.639,-0.777,-1.226,-0.97,-0.509,-0.663,-0.993,-0.593,-0.684,-0.6,-0.841,-0.627,2
-0.708,-0.419,-0.331,-1.058,-0.659,-0.84,-1.058,-1.056,-0.599,-0.693,-0.956,-0.412,-0.647,-0.538,-0.804,-0.497,2
