@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R1,3-7,9,12,15,20,23,25,29,34,41'

@attribute A1 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute A6 numeric
@attribute A7 numeric
@attribute A9 numeric
@attribute A12 numeric
@attribute A15 numeric
@attribute A20 numeric
@attribute A23 numeric
@attribute A25 numeric
@attribute A29 numeric
@attribute A34 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-1.254,-0.668,-0.583,-0.419,-0.332,-0.772,-0.422,-0.882,-0.67,-0.853,-0.931,-0.631,-0.603,-0.633,2
-1.184,-0.701,-0.587,-0.461,-0.4,-0.749,-0.513,-0.817,-0.576,-0.739,-0.906,-0.625,-0.609,-0.672,2
-1.014,-0.774,-0.554,-0.478,-0.391,-0.68,-0.485,-0.698,-0.569,-0.786,-0.924,-0.653,-0.667,-0.644,2
-1.052,-0.818,-0.474,-0.414,-0.286,-0.628,-0.432,-0.694,-0.503,-0.717,-1.023,-0.733,-0.694,-0.662,2
-1.154,-0.731,-0.403,-0.346,-0.254,-0.599,-0.364,-0.706,-0.501,-0.604,-0.895,-0.556,-0.545,-0.564,2
-1.139,-0.619,-0.364,-0.241,-0.177,-0.571,-0.348,-0.646,-0.461,-0.559,-0.955,-0.618,-0.626,-0.606,2
-0.925,-0.577,-0.282,-0.218,-0.099,-0.426,-0.238,-0.535,-0.342,-0.493,-0.839,-0.461,-0.455,-0.488,2
-1.215,-0.877,-0.695,-0.592,-0.499,-0.84,-0.609,-0.878,-0.645,-0.819,-0.969,-0.685,-0.689,-0.718,2
-1.035,-0.811,-0.394,-0.403,-0.259,-0.593,-0.444,-0.648,-0.503,-0.667,-0.857,-0.476,-0.462,-0.553,2
-1.128,-0.778,-0.537,-0.437,-0.349,-0.679,-0.472,-0.72,-0.523,-0.655,-1.008,-0.753,-0.745,-0.714,2
-0.611,-0.494,-0.108,-0.125,-0.034,-0.208,-0.05,-0.379,-0.349,-0.548,-0.666,-0.437,-0.507,-0.362,2
-1.163,-0.901,-0.738,-0.637,-0.54,-0.847,-0.654,-0.824,-0.613,-0.823,-0.926,-0.654,-0.688,-0.754,2
-1.235,-0.965,-0.738,-0.666,-0.568,-0.871,-0.673,-0.91,-0.704,-0.891,-1.034,-0.706,-0.696,-0.754,2
-1.002,-0.753,-0.489,-0.436,-0.377,-0.611,-0.471,-0.688,-0.463,-0.656,-0.953,-0.624,-0.602,-0.597,2
-1.131,-0.865,-0.726,-0.63,-0.59,-0.828,-0.644,-0.81,-0.729,-1.005,-1.015,-0.69,-0.695,-0.744,2
-0.688,-0.66,-0.243,-0.314,-0.251,-0.391,-0.356,-0.446,-0.445,-0.717,-0.727,-0.399,-0.379,-0.353,2
-1.194,-0.925,-0.772,-0.69,-0.628,-0.898,-0.7,-0.883,-0.683,-0.882,-0.937,-0.637,-0.633,-0.709,2
-1.086,-0.772,-0.547,-0.431,-0.321,-0.688,-0.487,-0.73,-0.594,-0.805,-0.99,-0.648,-0.641,-0.622,2
-1.176,-0.717,-0.615,-0.486,-0.411,-0.784,-0.521,-0.801,-0.628,-0.809,-1.042,-0.744,-0.743,-0.708,2
-1.097,-0.869,-0.653,-0.57,-0.47,-0.759,-0.572,-0.781,-0.706,-0.958,-0.989,-0.679,-0.688,-0.66,2
-1.026,-0.797,-0.567,-0.485,-0.394,-0.665,-0.478,-0.755,-0.615,-0.831,-0.951,-0.701,-0.678,-0.652,2
-1.089,-0.838,-0.625,-0.55,-0.471,-0.773,-0.585,-0.792,-0.658,-0.895,-1.001,-0.68,-0.681,-0.647,2
-1.05,-0.751,-0.535,-0.462,-0.396,-0.666,-0.506,-0.706,-0.535,-0.741,-0.989,-0.584,-0.584,-0.635,2
-1.257,-0.508,-0.497,-0.312,-0.205,-0.664,-0.27,-0.857,-0.599,-0.754,-0.899,-0.621,-0.617,-0.613,2
