@relation 'twonorm-weka.filters.unsupervised.attribute.Remove-V-R2,5-7,9-11,13,15,20-21'

@attribute A2 numeric
@attribute A5 numeric
@attribute A6 numeric
@attribute A7 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A11 numeric
@attribute A13 numeric
@attribute A15 numeric
@attribute A20 numeric
@attribute Class {0,1}

@data
0.4441,1.4626,1.3269,0.9125,-0.0606,1.2063,2.6698,-0.1471,1.1777,1.6203,0
-0.8469,1.1393,1.3568,0.933,-0.9421,0.4421,2.9961,0.8809,-0.008,-2.0434,0
0.168,0.5017,1.8559,1.559,-1.13,0.1215,0.7229,-1.1217,2.1693,0.5078,0
-0.1297,-0.3089,0.4473,0.4668,1.9058,-0.0415,-0.1243,-0.3289,0.2592,1.2602,0
-1.4518,0.3199,1.0126,0.2142,1.0884,-1.082,-0.8306,0.2734,-1.1299,-1.1301,1
0.5456,-0.3746,0.8844,-1.3284,-1.4448,-1.231,-0.5063,0.9923,2.1898,-0.1309,1
-0.8678,-0.4873,0.1422,0.0307,-0.4757,-0.471,-0.4662,-1.0808,-0.4424,0.9232,1
-0.1512,-1.6006,0.0369,-0.7975,0.525,0.3477,-0.3386,1.0322,-0.8697,0.9907,0
-0.3232,0.9435,2.2654,2.6627,0.9224,-0.6274,2.1326,2.4293,2.2536,-0.4996,0
-0.1903,-0.203,-1.3212,-0.7582,-0.2971,-0.318,0.5854,-1.3474,-0.0622,-1.6687,1
0.7868,2.2131,0.5785,0.482,-1.9176,1.1389,0.9205,-0.9167,-0.5116,1.7423,0
-0.3384,0.3684,-1.8503,1.3212,0.9293,0.5118,-0.1847,-0.2866,1.8638,1.072,0
-0.0663,2.3323,-0.0022,0.3852,1.2257,0.5089,1.5797,0.589,1.338,1.033,0
-0.9636,0.0249,1.2136,0.8411,-0.6064,1.8004,1.9098,-1.0625,0.8662,0.0265,0
0.2475,-2.0025,-0.3425,-0.575,1.7034,-0.4794,-0.7267,-0.8705,1.5294,-0.797,0
0.2697,1.5099,-0.304,-0.4762,-0.3041,0.1958,-2.2203,0.072,0.109,2.505,0
-0.6913,0.4677,-2.0672,1.983,-1.4249,-1.5498,0.269,-1.56,-0.946,-1.8304,1
0.2179,-0.2422,1.3813,0.7468,-0.2748,1.2669,-0.008,-1.488,1.792,3.0733,0
0.7077,1.6947,-2.0127,-1.9396,0.155,2.5008,-0.8319,2.6295,-1.0794,-1.0915,0
-1.5429,-0.017,-0.4629,0.2241,-1.3886,-1.0156,0.82,0.5778,-1.3736,-0.8927,1
-0.0024,-0.4947,1.0991,0.7795,2.2021,0.9669,0.9367,0.0257,0.1976,1.2651,0
-0.3518,-0.3911,-1.1984,-0.4481,0.3169,-1.0904,0.7289,0.4726,-0.5179,-0.019,1
0.0447,0.8391,0.9749,-1.3165,0.5307,0.9398,-0.1729,0.3775,0.6252,1.8978,0
-1.757,1.3841,-1.6824,1.7668,0.1071,-1.8828,-0.3084,-1.1274,-0.848,0.746,1
-1.299,-1.0174,-0.465,-1.1435,-0.88,-0.4921,0.5965,-1.4429,-1.2097,0.8647,1
-0.2465,-1.7552,-0.4566,0.1272,1.2156,-0.7935,1.7562,-1.058,1.0265,0.9455,0
