@relation 'twonorm-weka.filters.unsupervised.attribute.Remove-V-R1,3,6,9-10,14,16-17,20-21'

@attribute A1 numeric
@attribute A3 numeric
@attribute A6 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A14 numeric
@attribute A16 numeric
@attribute A17 numeric
@attribute A20 numeric
@attribute Class {0,1}

@data
0.1713,-0.4155,-1.2382,0.645,-0.6253,-0.9731,-2.0039,-1.3395,0.0202,1
-1.6787,-1.7605,-1.0667,-1.7985,-0.5027,0.8229,-0.0754,-0.3115,-0.4501,1
-1.4109,0.3639,-1.9344,-1.1568,1.2674,0.0052,0.7856,-1.5538,-0.5213,1
0.3853,-1.6799,0.6665,-0.07,1.0888,0.3254,-0.0331,-1.5656,-0.6591,1
0.3975,-1.1988,-1.6196,-2.3324,0.3645,-1.517,-0.4296,-2.4746,-1.3519,1
1.6805,-0.0937,-1.7706,-0.4,-0.4632,0.6238,-1.887,1.2586,-1.4511,1
0.4954,-1.2046,-1.4074,-0.5016,1.0839,0.2951,0.9429,3.1887,-0.6946,0
-0.0708,-1.5999,1.7842,-0.7945,1.2749,1.1434,-0.2181,0.4712,0.7023,0
-0.7371,0.4422,-1.5447,0.9926,0.0283,-0.5935,-0.6759,0.4816,0.6339,1
0.2465,0.6418,-0.7132,1.4186,0.8703,-0.8201,0.0371,1.1465,1.3477,0
-0.1871,-0.9265,-0.7134,-0.7629,-1.1693,-0.9664,2.4691,-0.3858,0.0605,1
-0.5701,1.1428,1.2536,-0.1141,1.4762,0.7804,-0.4631,0.6532,-0.3952,0
-0.8414,2.9064,0.1607,-0.5969,0.2054,0.2954,2.6002,2.9243,-0.0349,0
-1.8508,-0.8667,-1.8986,0.3924,0.8006,-0.5082,-0.3167,-1.6112,-1.1709,1
-1.0327,-0.8219,-1.8191,1.2087,-0.0279,-0.9901,0.4509,-0.1453,-1.3369,1
-0.6501,-0.6828,-0.5426,-0.3345,0.7697,1.2831,-1.8071,0.6056,-0.7695,1
-0.5875,-0.6258,-2.0378,-0.6694,-0.5302,0.1803,-0.3873,-0.6359,-1.4898,1
0.8902,0.1011,0.7479,1.0706,-1.0148,0.5401,-1.6257,-0.2892,-0.2442,1
-2.3599,0.109,-0.5632,-2.2227,-0.8877,0.0242,-0.9321,-1.2259,0.1003,1
0.9488,-0.3344,0.2885,-0.9574,-1.0874,0.3629,1.3575,1.5562,-0.0352,0
-2.5397,-0.348,-1.9173,0.6168,-1.9103,-1.329,-1.1915,1.5515,-1.5338,1
-2.3268,-2.478,-1.142,0.1276,-1.4383,-0.7148,-1.074,0.3353,0.977,1
-1.9856,-0.1611,-0.2751,-0.0517,1.0438,-1.3878,1.2188,-0.2764,-1.318,0
0.5542,1.2082,0.9522,0.5097,1.8021,0.1689,0.4158,-1.4102,-0.362,0
0.5291,0.9273,-0.7507,1.3581,0.7306,0.262,-0.1198,0.6202,0.2286,0
0.5473,0.0028,1.3283,-1.2064,0.7973,0.992,0.3024,-0.4455,0.7649,0
0.3722,0.7452,1.7065,-0.385,-0.1444,1.6584,2.7077,-1.2562,-0.619,0
-0.826,-0.9849,-1.6449,-0.0269,-1.3368,0.4544,-0.1428,-1.8536,-0.8189,1
0.5251,-0.2282,-1.4368,-0.2138,-1.145,1.2411,-1.9375,-0.247,0.9207,1
-1.1948,-0.1118,0.4166,0.3788,-1.0442,-0.5884,0.7702,0.1958,-0.5254,1
-0.1583,-1.8267,0.8027,-0.1879,-0.3129,-0.4983,-0.1869,-0.6825,0.659,1
0.0734,0.9272,1.1331,0.0985,0.5359,0.1451,0.8552,1.0097,0.5206,0
0.4045,1.6369,2.1051,-1.0003,1.596,0.8045,0.3662,0.5167,0.9423,0
0.2207,-1.7461,0.1532,-0.3785,0.2847,1.0099,0.9858,-0.2102,0.9512,0
0.6086,2.3379,2.5208,-1.19,1.304,-0.1366,-0.1521,-0.0453,-0.1607,0
0.4965,-0.3183,1.6181,-1.9097,-0.3931,0.7658,0.8819,-0.4628,-1.4535,1
0.0023,0.2676,1.1178,-1.5576,1.4796,-0.9356,-1.315,0.2583,-0.7965,1
-0.276,0.0182,-0.4681,1.1078,0.0662,-1.6335,-2.2217,-0.9678,-3.0412,1
-0.7821,1.17,-2.8314,-0.6158,-0.287,-0.741,-1.1117,-1.5326,0.733,1
-1.432,-0.1784,1.108,-1.3371,-0.6689,0.104,-0.305,0.6807,0.6104,1
-0.4746,-3.0825,1.4161,0.1536,-0.83,-0.7221,0.325,-1.0317,-0.6232,1
-1.2839,-1.0384,-0.8607,0.4041,-0.1248,1.0314,-1.1709,-0.5668,-0.815,1
-0.3874,1.4385,0.6992,1.0015,-0.547,1.7528,-1.8005,0.8189,0.1453,0
0.0408,-1.5243,-1.9219,-0.2055,-1.9241,-0.9416,0.1844,-1.1977,-2.0477,1
0.9346,2.1516,-0.5339,1.2413,-0.5242,2.3892,0.9923,-0.4885,-0.0548,0
1.0832,0.8441,0.7892,-0.4166,2.1067,1.7719,-0.5542,-0.7735,2.0367,0
0.0746,0.1376,1.273,-0.3801,0.2883,-0.2812,1.9448,0.2994,1.2962,0
0.9449,-0.8072,-1.3017,1.3615,0.9075,0.8281,-0.0614,1.6957,0.5628,0
-0.4666,0.8697,0.0386,0.5525,1.4088,-1.565,-1.3404,-0.5783,1.8941,0
-0.8501,-0.3845,-1.8408,0.9458,0.202,-1.461,-0.5198,-1.2393,-0.5819,1
-1.8538,0.5057,0.2485,0.0325,-0.9683,1.1318,0.3443,0.3419,-1.2288,1
0.4126,-0.307,-0.861,0.9669,0.81,1.702,0.1073,-0.1974,1.6684,0
0.8206,0.5645,-0.0899,1.8317,-0.1103,-0.5025,-0.3786,0.2366,0.5774,0
-0.3475,-0.2093,0.7645,-1.3368,0.6602,-0.1014,-0.517,0.8222,-0.4343,1
0.7794,-0.5428,0.0233,0.0408,-1.1905,4.1238,0.0803,0.894,-0.6679,0
-0.7365,-1.1735,1.1792,0.433,0.1117,-1.2628,0.5565,0.8658,1.302,0
-1.2405,0.5036,-0.1434,0.8248,-1.1242,-1.0555,0.1093,-1.037,-0.2342,1
1.6907,-0.1809,0.1446,-0.0266,-0.6602,-0.4554,1.8065,1.0167,0.9735,0
0.3651,0.529,-0.1663,-0.9211,0.2692,0.8232,0.2544,1.0263,0.1651,0
-1.1039,1.0882,1.4203,-0.5759,1.3418,-0.9266,-0.8915,0.8151,-1.1351,1
-0.2259,0.3906,-0.863,-0.0205,0.0174,0.7282,-3.0044,-1.269,0.5919,1
-0.1334,1.3112,0.0085,1.1899,0.6615,-0.0997,-0.42,0.1228,3.055,0
1.1553,-0.2846,0.6937,0.0381,0.1744,1.8398,1.9341,-0.9109,-2.4726,0
-0.7422,3.285,0.1386,1.7539,1.1762,0.7706,-0.3336,-0.1587,1.0381,0
-0.4041,1.1957,0.352,-3.1624,-0.3013,-2.0901,0.0275,-0.834,-2.359,1
0.4219,1.8129,-0.5345,-1.6425,-0.0647,-0.2232,-0.8471,-0.6817,1.205,0
-1.1635,-0.7023,-0.5545,-0.8142,-0.7878,-0.12,-0.0481,0.3087,0.2861,1
1.0648,0.3433,-0.6717,-0.6939,0.188,-0.4524,-0.7579,-0.8928,-1.0265,1
0.4698,-0.7467,1.2054,-0.2963,-0.2647,-0.0228,0.5799,-0.7391,0.6053,0
