@relation vehicle

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Praxis_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
97,87,64,156,van
93,85,54,155,van
94,87,64,157,van
88,51,52,119,van
96,87,67,154,van
89,66,53,131,van
93,75,51,140,van
85,51,56,119,van
90,85,57,159,van
91,88,61,149,van
84,80,58,156,van
83,62,53,122,van
90,73,58,161,van
93,84,63,156,van
94,68,54,127,van
91,64,61,129,van
82,70,105,139,van
93,63,57,132,van
95,85,66,153,van
85,71,63,143,van
97,66,64,128,van
96,58,51,133,van
90,78,56,160,van
86,60,54,119,van
88,84,55,155,van
90,78,60,161,van
89,85,58,152,van
92,62,59,127,van
89,74,59,157,van
96,85,66,155,van
85,82,56,159,van
92,70,52,139,van
93,64,68,134,van
93,73,58,136,van
93,62,49,131,van
93,70,52,127,van
94,72,60,133,van
90,85,60,155,van
95,76,66,162,van
86,70,61,133,van
94,66,62,131,van
91,70,55,130,van
98,70,52,130,van
91,66,58,134,van
90,69,64,135,van
88,80,62,146,van
93,82,58,159,van
89,77,65,144,van
90,66,65,137,van
87,64,64,133,van
95,92,63,160,van
96,80,63,146,van
97,88,67,157,van
94,83,64,156,van
89,84,66,159,van
98,66,55,130,van
92,58,58,122,van
86,62,61,122,van
94,68,64,128,van
89,85,64,155,van
89,81,64,156,van
86,44,54,119,van
85,68,52,128,van
91,76,55,132,van
95,84,62,145,van
89,85,58,153,van
94,82,54,155,van
97,91,63,151,van
98,78,63,142,van
91,84,57,149,van
83,59,53,132,van
89,68,59,139,van
85,68,60,130,van
92,66,48,139,van
94,85,63,158,van
85,57,56,114,van
87,64,64,133,van
92,82,63,146,van
86,75,58,161,van
88,76,62,137,van
88,64,62,130,van
91,80,66,148,van
93,82,63,144,van
96,77,62,140,van
84,70,61,137,van
95,82,56,159,van
90,72,64,137,van
86,68,64,138,van
100,85,64,163,van
90,78,59,160,van
86,58,56,118,van
95,76,57,151,van
93,79,63,144,van
86,62,59,116,van
90,80,62,159,van
93,78,64,137,van
88,60,59,128,van
90,81,60,150,van
93,64,51,135,van
91,78,61,147,van
88,58,59,127,van
94,85,138,155,van
90,62,60,128,van
89,60,56,118,van
95,83,72,162,van
91,66,63,137,van
86,58,55,117,van
86,60,60,119,van
87,66,58,140,van
89,81,102,155,van
90,75,55,160,van
85,47,55,117,van
83,73,68,142,van
90,81,97,150,van
86,78,68,142,van
96,70,50,137,van
92,60,62,114,van
93,64,69,136,van
89,63,59,123,van
87,53,58,118,van
83,53,53,132,van
90,63,59,131,van
85,75,53,157,van
91,66,56,126,van
90,72,64,136,van
93,90,65,153,van
85,73,69,143,van
89,70,58,136,van
89,80,54,160,van
94,82,56,159,van
86,66,59,122,van
90,85,58,152,van
93,85,66,151,van
89,51,54,120,van
88,84,55,154,van
95,66,52,133,van
89,84,58,149,van
93,83,56,157,van
87,81,68,146,van
89,70,58,126,van
89,77,52,156,van
89,85,59,158,van
89,74,59,136,van
