@relation vehicle

@attribute Compactness numeric
@attribute Praxis_aspect_ratio numeric
@attribute Elongatedness numeric
@attribute Praxis_rectangular numeric
@attribute Major_skewness numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
89,59,44,20,79,184,191,van
87,62,45,19,72,188,198,van
94,61,50,18,62,201,208,van
91,58,50,18,69,191,197,van
86,61,54,17,64,200,208,van
95,52,52,18,78,184,183,van
88,55,44,20,75,183,195,van
90,60,52,18,61,201,208,van
94,63,43,20,68,189,199,van
86,59,57,17,64,199,204,van
93,52,53,18,71,191,190,van
87,64,50,18,67,193,201,van
96,50,50,18,80,183,183,van
98,67,43,20,66,194,202,van
88,56,43,20,76,184,195,van
90,64,49,18,75,187,191,van
93,64,48,18,63,203,210,van
90,58,43,20,76,182,193,van
83,53,55,17,79,181,185,van
98,49,51,18,75,186,186,van
90,60,43,19,75,185,196,van
100,64,42,20,71,189,196,van
94,64,43,20,75,184,195,van
93,69,49,18,67,193,204,van
89,58,45,19,72,188,200,van
84,59,55,17,82,179,183,van
89,54,56,17,82,181,183,van
94,54,43,20,75,183,194,van
86,54,56,17,72,186,190,van
91,57,45,19,72,189,199,van
90,126,44,19,118,185,194,van
92,58,55,17,64,197,203,van
86,56,57,17,78,184,186,van
100,67,43,20,67,192,200,van
90,62,43,20,74,185,193,van
89,55,44,20,74,182,192,van
89,58,44,19,72,187,197,van
94,62,50,18,66,196,201,van
90,57,43,20,75,182,192,van
86,64,48,18,69,192,201,van
89,58,54,17,63,199,206,van
88,62,48,18,63,201,209,van
93,51,49,18,77,184,185,van
86,55,57,17,69,190,194,van
89,54,44,20,76,184,193,van
96,67,44,19,67,192,201,van
85,57,57,17,65,196,203,van
90,58,42,20,77,183,191,van
86,58,43,20,75,183,192,van
95,66,44,19,65,196,204,van
89,102,44,20,90,183,192,van
93,66,48,18,64,201,208,van
89,59,43,20,75,183,193,van
88,55,44,19,73,185,196,van
91,61,45,19,70,189,200,van
85,56,57,17,81,181,184,van
89,61,44,19,72,187,199,van
90,60,43,20,75,184,193,van
