@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R3,8-11,16,19'

@attribute Distance_circularity numeric
@attribute Elongatedness numeric
@attribute Praxis_rectangular numeric
@attribute Length_rectangular numeric
@attribute Major_variance numeric
@attribute Minor_kurtosis numeric
@attribute Class {van,saab,bus,opel}

@data
66,48,18,146,162,3,van
98,36,22,146,202,14,saab
103,32,23,166,227,2,opel
51,57,17,129,137,14,van
77,36,21,139,202,10,bus
104,26,28,168,275,26,bus
68,53,18,135,148,8,van
66,45,19,144,174,2,bus
101,30,25,178,231,14,opel
68,44,19,142,179,9,bus
60,58,17,132,135,5,van
105,34,23,152,212,33,opel
85,44,19,153,174,13,van
79,37,21,158,189,10,bus
80,44,19,145,171,5,van
101,33,23,164,219,2,opel
105,32,24,162,222,23,opel
94,36,21,155,200,11,opel
81,46,19,139,167,13,van
72,44,19,144,181,16,bus
77,44,19,143,175,2,saab
74,43,19,149,175,10,bus
73,41,19,126,184,19,bus
71,45,19,147,171,16,bus
109,31,24,169,226,32,saab
85,39,20,153,188,5,saab
63,50,18,136,158,27,van
102,27,26,165,265,11,bus
86,33,22,161,212,6,bus
107,32,24,153,227,28,saab
107,32,23,158,222,32,opel
104,33,23,163,217,20,opel
62,52,18,145,160,6,van
63,45,19,147,166,4,bus
82,45,19,144,170,14,opel
88,45,19,147,164,17,van
102,28,26,171,243,11,bus
88,32,23,158,222,26,bus
110,31,24,163,228,25,saab
96,35,22,156,202,5,opel
87,43,20,149,173,13,van
53,57,17,125,138,15,van
75,43,19,136,175,0,bus
108,32,23,163,216,22,saab
68,51,18,130,150,14,van
71,45,19,134,167,1,opel
88,35,22,159,209,11,opel
90,37,21,144,189,8,saab
73,44,19,133,173,9,opel
104,32,24,171,222,24,saab
78,43,20,160,170,9,van
98,31,25,171,219,17,opel
53,57,17,128,137,14,van
100,30,25,178,231,11,opel
100,30,25,166,229,11,saab
70,46,19,145,166,9,bus
75,45,19,142,174,10,opel
96,28,26,170,267,9,bus
74,42,20,134,183,16,saab
75,42,19,133,175,5,bus
89,38,21,132,200,15,saab
108,30,25,178,231,30,opel
74,49,18,127,160,20,opel
77,46,19,146,163,5,saab
60,46,19,141,169,14,bus
49,55,17,128,144,16,van
81,44,19,156,173,0,van
63,50,18,142,154,3,van
65,45,19,150,168,13,bus
66,46,19,136,164,2,saab
72,49,18,145,158,6,van
66,46,19,143,169,7,bus
52,55,17,125,139,13,saab
108,31,25,168,228,21,saab
110,30,25,166,235,28,opel
96,32,23,153,226,15,opel
102,26,28,169,287,21,bus
78,48,18,138,161,1,opel
78,38,21,139,197,29,saab
95,34,22,160,220,2,saab
78,39,20,136,197,20,saab
96,33,23,150,219,13,saab
103,30,25,172,221,7,saab
82,43,20,162,173,10,van
